Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
0.292324,0.616262,14.2639,0.0181194,2.85717,0.0675753,All
0.581123,0.616262,16.8263,0.0181194,3.88777,0.0976088,All
0.869923,0.294734,19.3887,0.0543581,4.91836,0.157676,All
1.15872,0.187558,21.951,0.0785173,5.94896,0.105117,All
1.44752,0.107176,24.5134,0.111736,6.97955,0.262793,All
1.73632,0.241146,27.0758,0.0754974,8.01015,0.180201,All
2.02512,0.294734,29.6381,0.0332189,9.04075,0.0976088,All
2.31392,0.107176,32.2005,0.00905969,10.0713,0.0300335,All
2.60272,0.40191,34.7629,0.0150995,11.1019,0.0150167,All
2.89152,0.562674,37.3253,0,12.1325,0.0150167,All
3.18032,0.160764,39.8876,0.00603979,13.1631,0.0150167,All
3.46912,0.160764,42.45,0.0030199,14.1937,0.00750837,All
