iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1472.79,1,5.16,21.01,5.51,25.66,1,1,1,1,0.998761,1,1
2,1458.83,1,5.04565,25.0925,8.51124,30.6559,0.974679,0.974679,1.04965,0.974679,0.998761,0.974679,0.974679
3,1449.25,1,5.39341,25.7691,8.87881,31.8797,0.95,0.95,1.13028,0.95,0.998761,0.95,0.95
4,1439.75,1,5.02048,26.7909,9.85019,33.0474,0.925945,0.925945,1.20881,0.925945,0.998761,0.925945,0.925945
5,1427.23,1,4.79711,26.3545,7.94778,32.4105,0.9025,0.9025,1.1782,0.9025,0.998761,0.9025,0.9025
6,1415.82,1,4.72178,28.7151,8.32113,35.4263,0.879648,0.879648,1.24391,0.879648,0.998761,0.879648,0.879648
7,1400.69,1,4.78333,29.0634,9.84661,35.7389,0.857375,0.857375,1.21242,0.857375,0.998761,0.857375,0.857375
8,1383.34,1,5.06288,29.8668,12.5528,36.3715,0.835666,0.835666,1.18172,0.835666,0.998761,0.835666,0.835666
9,1393.17,1,5.01241,35.8146,10.9031,43.615,0.814506,0.814506,1.15179,0.814506,0.998761,0.814506,0.814506
10,1365.37,1,5.00632,32.8278,9.2039,39.9753,0.793882,0.793882,1.12263,0.793882,0.998761,0.793882,0.793882
11,1358.24,1,5.0412,32.0889,8.48558,38.872,0.773781,0.773781,1.09421,0.773781,0.998761,0.773781,0.773781
12,1339.94,1,5.41776,29.0959,8.3383,35.2765,0.754188,0.754188,1.0665,0.754188,0.998761,0.754188,0.754188
13,1338.68,1,5.16569,29.1831,9.20564,35.2754,0.735092,0.735092,1.10821,0.735092,0.998761,0.735092,0.735092
14,1328.7,1,5.06084,30.6017,7.10403,36.9111,0.716479,0.716479,1.16242,0.716479,0.998761,0.716479,0.716479
15,1308.25,1,5.16005,30.4936,8.90257,37.0285,0.698337,0.698337,1.1757,0.698337,0.998761,0.698337,0.698337
16,1312.01,1,4.82747,27.8725,10.1462,33.9432,0.680655,0.680655,1.39173,0.680655,0.998761,0.680655,0.680655
17,1290.69,1,4.95365,27.0303,6.895,33.0483,0.66342,0.66342,1.35649,0.66342,0.998761,0.66342,0.66342
18,1284.58,1,5.19668,32.0124,6.90003,39.2851,0.646622,0.646622,1.32214,0.646622,0.998761,0.646622,0.646622
19,1272.93,1,5.12554,31.9529,7.26425,39.1288,0.630249,0.630249,1.39412,0.630249,0.998761,0.630249,0.630249
20,1261.01,1,5.21418,29.9781,7.26726,36.6314,0.614291,0.614291,1.35882,0.614291,0.998761,0.614291,0.614291
21,1249.69,1,5.30594,28.107,7.29442,34.4217,0.598737,0.598737,1.32441,0.598737,0.998761,0.598737,0.598737
22,1238.39,1,5.36648,27.7437,7.24116,34.2206,0.583577,0.583577,1.29087,0.583577,0.998761,0.583577,0.583577
23,1225.21,1,5.38286,27.7209,6.03671,34.4289,0.5688,0.5688,1.25819,0.5688,0.998761,0.5688,0.5688
24,1206.84,1,5.26002,29.0852,5.81258,36.0977,0.554398,0.554398,1.22633,0.554398,0.998761,0.554398,0.554398
25,1200.47,1,5.31635,27.0901,6.25978,33.5363,0.54036,0.54036,1.19528,0.54036,0.998761,0.54036,0.54036
26,1192.51,1,5.24679,26.1237,6.47077,32.3685,0.526678,0.526678,1.17814,0.526678,0.998761,0.526678,0.526678
27,1175.8,1,5.14164,24.9972,8.45057,30.9524,0.513342,0.513342,1.14831,0.513342,0.998761,0.513342,0.513342
28,1166.5,1,5.27552,25.301,9.40058,31.0772,0.500344,0.500344,1.11923,0.500344,0.998761,0.500344,0.500344
29,1154.2,1,5.43157,24.4955,10.798,29.9526,0.487675,0.487675,1.14454,0.487675,0.998761,0.487675,0.487675
30,1133.19,1,5.43008,25.877,8.42409,31.5362,0.475327,0.475327,1.11556,0.475327,0.998761,0.475327,0.475327
