pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.40164,0.160616,-2.66678,0.0254963,-2.01838,0.024553,All
-0.902263,0.481848,-2.45591,0.096886,-1.5517,0.0982118,All
-0.402884,0.573629,-2.24505,0.0305956,-1.08502,0.343741,All
0.0964954,0.527738,-2.03418,0.0458934,-0.618347,0.392847,All
0.595875,0.298287,-1.82331,0.0815882,-0.151668,0.638377,All
1.09525,0.0458903,-1.61245,0.0254963,0.31501,0.466506,All
1.59463,0.0458903,-1.40158,0.0101985,0.781688,0.220977,All
2.09401,0.0458903,-1.19071,0.096886,1.24837,0.0982118,All
2.59339,0,-0.979843,0.234566,1.71504,0.0491059,All
3.09277,0.0229451,-0.768976,0.48443,2.18172,0.024553,All
,,-0.558108,0.576217,,,All
,,-0.347241,0.596614,,,All
,,-0.136373,0.515026,,,All
,,0.074494,0.392643,,,All
,,0.285361,0.326353,,,All
,,0.496229,0.305956,,,All
,,0.707096,0.27536,,,All
,,0.917964,0.224368,,,All
,,1.12883,0.13768,,,All
,,1.3397,0.0458934,,,All
,,1.55057,0.0458934,,,All
,,1.76143,0.112184,,,All
,,1.9723,0.0815882,,,All
,,2.18317,0.0254963,,,All
,,2.39404,0.00509927,,,All
,,2.6049,0.0356949,,,All
,,2.81577,0.00509927,,,All
,,3.02664,0.0203971,,,All
,,3.2375,0.0101985,,,All
,,3.44837,0.0203971,,,All
,,3.65924,0.00509927,,,All
