iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
1,5.2293,0.0339443,22.1614,0.136057,5.28878,0.320313
2,5.23171,0.0305568,22.2088,0.119556,5.33997,0.270681
3,5.22769,0.029102,22.2241,0.111676,5.37789,0.2542
4,5.22871,0.0287985,22.226,0.105894,5.45744,0.259547
5,5.23039,0.0292169,22.1829,0.104437,5.47938,0.26617
6,5.23539,0.0295641,22.1726,0.10255,5.49769,0.264131
7,5.23418,0.0293582,22.1301,0.100964,5.48971,0.262644
8,5.23485,0.0295554,22.1087,0.099982,5.49332,0.26418
9,5.23792,0.0299364,22.146,0.100463,5.47138,0.271107
10,5.23942,0.0302015,22.1566,0.101109,5.43674,0.271876
11,5.24113,0.0308473,22.1531,0.101235,5.41799,0.273673
12,5.2414,0.0308033,22.1561,0.0999874,5.42095,0.274612
13,5.24159,0.0313865,22.151,0.099988,5.43494,0.27345
14,5.2404,0.0312522,22.1232,0.100058,5.44386,0.271953
15,5.24013,0.0313321,22.1173,0.101024,5.45578,0.272328
16,5.2401,0.0313859,22.1275,0.101484,5.46784,0.276512
17,5.24019,0.0312285,22.1248,0.101766,5.46809,0.276554
18,5.24038,0.0311336,22.1229,0.102026,5.44729,0.276006
19,5.24015,0.0312805,22.1292,0.101891,5.43226,0.276419
20,5.23915,0.03123,22.1056,0.102108,5.42915,0.277049
21,5.23744,0.0311663,22.1329,0.102424,5.40838,0.276139
22,5.23619,0.0313014,22.1346,0.102093,5.38798,0.276294
23,5.23517,0.0311602,22.1315,0.101555,5.36773,0.276308
24,5.23417,0.0310468,22.1333,0.101154,5.34767,0.277353
25,5.2341,0.031149,22.1268,0.100929,5.33957,0.277101
26,5.23508,0.0311564,22.1318,0.101111,5.34112,0.277544
27,5.23613,0.0311556,22.1489,0.100658,5.34619,0.278744
28,5.23694,0.0311994,22.1582,0.10029,5.36351,0.279199
29,5.23735,0.0311634,22.139,0.100553,5.37213,0.280136
30,5.23743,0.0310389,22.1299,0.100781,5.37928,0.280521
31,5.23813,0.0309112,22.1126,0.10058,5.38909,0.281462
32,5.2391,0.0307738,22.0876,0.100987,5.40279,0.281289
33,5.23911,0.0307743,22.0785,0.100952,5.41654,0.281911
34,5.23875,0.0307208,22.076,0.100428,5.42534,0.281531
35,5.23882,0.030778,22.0518,0.100344,5.44359,0.281302
36,5.23854,0.0307607,22.0257,0.100474,5.46085,0.281397
37,5.23861,0.0307854,22.0062,0.101107,5.47405,0.282019
38,5.23911,0.0309334,22.0023,0.101063,5.48304,0.281843
39,5.24006,0.0309375,22.0042,0.100846,5.49332,0.281989
40,5.24088,0.0309224,22.0036,0.100538,5.50444,0.28198
41,5.24137,0.0309295,22.0065,0.100702,5.51828,0.282618
