simulations,OFV
500,971.788
1000,971.985
1500,972.35
2000,970.701
2500,970.669
3000,971.164
3500,971.383
4000,971.164
4500,971.634
5000,972.114
5500,971.205
6000,971.414
6500,971.664
7000,971.961
7500,972.119
8000,972.466
8500,972.704
9000,972.395
9500,972.467
10000,972.386
10500,972.213
11000,972.505
11500,972.592
12000,972.609
12500,972.637
13000,972.732
13500,972.879
14000,972.911
14500,972.932
15000,972.919
15500,973.079
16000,973.188
16500,973.114
17000,973.022
17500,973.1
18000,972.931
18500,972.927
19000,972.957
19500,972.971
20000,972.806
20500,972.764
21000,972.686
21500,972.596
22000,972.649
22500,972.682
23000,972.596
23500,972.535
24000,972.512
24500,972.549
25000,972.556
25500,972.549
26000,972.584
26500,972.593
27000,972.587
27500,972.581
28000,972.637
28500,972.627
29000,972.572
29500,972.616
30000,972.584
