Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
3.74101,0,16.0841,0,2.11231,0.00714286,20.1379,0,All
4.88562,0.00714286,18.817,0.00714286,2.24421,0.0142857,23.062,0.00714286,All
4.95678,0.0142857,21.6972,0.0142857,2.58079,0.0214286,24.516,0.0142857,All
4.98077,0.0214286,22.9449,0.0214286,3.10498,0.0285714,26.9393,0.0214286,All
4.99744,0.0285714,24.3078,0.0285714,3.33365,0.0357143,27.2137,0.0285714,All
5.0821,0.0357143,24.3151,0.0357143,3.44462,0.0428571,31.9504,0.0357143,All
5.12204,0.0428571,24.4179,0.0428571,3.44615,0.05,31.9713,0.0428571,All
5.1606,0.05,24.9544,0.05,3.60446,0.0571429,32.1289,0.05,All
5.21652,0.0571429,25.424,0.0571429,3.67278,0.0642857,33.5916,0.0571429,All
5.26743,0.0642857,26.9958,0.0642857,3.72183,0.0714286,35.6675,0.0642857,All
5.28771,0.0714286,27.3524,0.0714286,3.95788,0.0785714,35.9566,0.0714286,All
6.59556,0.0785714,27.4271,0.0785714,4.18844,0.0857143,36.36,0.0785714,All
6.63904,0.0857143,27.615,0.0857143,4.50668,0.0928571,36.8963,0.0857143,All
6.70127,0.0928571,28.0614,0.0928571,4.59888,0.1,37.7236,0.0928571,All
6.74255,0.1,28.5974,0.1,4.63244,0.107143,38.2172,0.1,All
6.74323,0.107143,29.5056,0.107143,4.69961,0.114286,38.277,0.107143,All
6.80123,0.114286,29.9414,0.114286,4.70463,0.121429,39.1208,0.114286,All
6.84469,0.121429,30.0138,0.121429,4.72378,0.128571,39.3059,0.121429,All
6.8835,0.128571,30.117,0.128571,4.76868,0.135714,39.4652,0.128571,All
6.91984,0.135714,30.1442,0.135714,4.81078,0.142857,39.9911,0.135714,All
7.14162,0.142857,31.0569,0.142857,4.82853,0.15,40.4321,0.142857,All
8.78402,0.15,31.338,0.15,4.93155,0.157143,40.4424,0.15,All
8.83485,0.157143,31.5304,0.157143,4.98293,0.164286,40.7511,0.157143,All
8.90831,0.164286,32.0625,0.164286,5.0039,0.171429,40.8038,0.164286,All
8.94432,0.171429,32.0892,0.171429,5.02316,0.178571,40.8666,0.171429,All
8.97327,0.178571,32.2295,0.178571,5.11505,0.185714,40.9573,0.178571,All
9.11888,0.185714,32.4653,0.185714,5.21061,0.192857,41.104,0.185714,All
9.12828,0.192857,32.7931,0.192857,5.48653,0.2,41.1054,0.192857,All
9.20278,0.2,33.3033,0.2,5.50074,0.207143,41.2402,0.2,All
9.2668,0.207143,33.5385,0.207143,5.56579,0.214286,41.7644,0.207143,All
9.36546,0.214286,33.5685,0.214286,5.57871,0.221429,42.7234,0.214286,All
9.51449,0.221429,33.7788,0.221429,6.27852,0.228571,42.8265,0.221429,All
9.5607,0.228571,34.257,0.228571,6.55517,0.235714,43.0083,0.228571,All
9.56946,0.235714,34.5561,0.235714,6.71765,0.242857,43.1495,0.235714,All
9.67375,0.242857,35.1781,0.242857,6.7691,0.25,43.4044,0.242857,All
9.70706,0.25,35.5901,0.25,6.89937,0.257143,43.6001,0.25,All
9.76524,0.257143,35.6842,0.257143,7.04483,0.264286,44.2309,0.257143,All
9.78882,0.264286,35.9618,0.264286,7.41981,0.271429,44.4302,0.264286,All
9.80995,0.271429,36.2907,0.271429,7.70193,0.278571,45.2684,0.271429,All
9.84532,0.278571,36.3778,0.278571,7.70428,0.285714,45.2782,0.278571,All
9.85649,0.285714,36.3951,0.285714,7.75373,0.292857,45.3229,0.285714,All
9.88373,0.292857,36.4092,0.292857,7.95488,0.3,45.5134,0.292857,All
9.88492,0.3,36.9714,0.3,7.9624,0.307143,45.5346,0.3,All
9.9339,0.307143,37.0428,0.307143,8.09613,0.314286,45.7228,0.307143,All
9.96542,0.314286,37.1762,0.314286,8.28396,0.321429,45.7419,0.314286,All
9.97197,0.321429,37.2314,0.321429,8.49832,0.328571,46.0858,0.321429,All
9.9971,0.328571,37.397,0.328571,8.61764,0.335714,46.2915,0.328571,All
9.99985,0.335714,37.4077,0.335714,8.85178,0.342857,46.521,0.335714,All
10.0181,0.342857,37.8704,0.342857,8.87656,0.35,46.552,0.342857,All
10.0383,0.35,38.1435,0.35,9.00792,0.357143,46.5999,0.35,All
10.0516,0.357143,38.2708,0.357143,9.11102,0.364286,46.703,0.357143,All
10.0899,0.364286,38.3261,0.364286,9.32369,0.371429,46.8117,0.364286,All
10.0926,0.371429,38.3382,0.371429,9.51134,0.378571,46.9199,0.371429,All
10.1129,0.378571,38.5162,0.378571,9.582,0.385714,46.9544,0.378571,All
10.1182,0.385714,38.518,0.385714,9.61092,0.392857,46.9708,0.385714,All
10.2065,0.392857,38.8238,0.392857,10.2209,0.4,47.0691,0.392857,All
10.2098,0.4,38.8923,0.4,10.5516,0.407143,47.2383,0.4,All
10.2816,0.407143,39.0701,0.407143,10.6419,0.414286,47.543,0.407143,All
10.3106,0.414286,39.2379,0.414286,10.8879,0.421429,48.0705,0.414286,All
10.4725,0.421429,39.7298,0.421429,11.1604,0.428571,49.0243,0.421429,All
10.5121,0.428571,39.7466,0.428571,11.1816,0.435714,49.3183,0.428571,All
10.5203,0.435714,40.4425,0.435714,11.2343,0.442857,49.4499,0.435714,All
10.5859,0.442857,40.6668,0.442857,11.3324,0.45,49.6988,0.442857,All
10.7183,0.45,40.6755,0.45,11.4331,0.457143,50.0104,0.45,All
10.7239,0.457143,40.835,0.457143,11.6158,0.464286,50.0135,0.457143,All
10.7741,0.464286,41.187,0.464286,11.8559,0.471429,50.3964,0.464286,All
10.784,0.471429,41.4736,0.471429,11.8796,0.478571,50.591,0.471429,All
10.7925,0.478571,41.644,0.478571,12.1362,0.485714,50.6559,0.478571,All
10.8599,0.485714,41.6763,0.485714,12.2939,0.492857,50.9636,0.485714,All
11.0243,0.492857,41.8029,0.492857,12.7637,0.5,50.9653,0.492857,All
11.038,0.5,41.822,0.5,12.796,0.507143,51.5199,0.5,All
11.1206,0.507143,42.16,0.507143,12.8673,0.514286,51.6751,0.507143,All
11.1894,0.514286,42.526,0.514286,12.9667,0.521429,51.6957,0.514286,All
11.2339,0.521429,42.5653,0.521429,13.1536,0.528571,52.1103,0.521429,All
11.239,0.528571,42.7007,0.528571,13.2267,0.535714,52.2518,0.528571,All
11.306,0.535714,42.7854,0.535714,13.2339,0.542857,53.1197,0.535714,All
11.415,0.542857,42.8277,0.542857,13.6267,0.55,53.13,0.542857,All
11.4376,0.55,42.9202,0.55,13.6841,0.557143,53.3742,0.55,All
11.4398,0.557143,43.2449,0.557143,13.8068,0.564286,53.4443,0.557143,All
11.4444,0.564286,43.4014,0.564286,13.9374,0.571429,53.4592,0.564286,All
11.4744,0.571429,43.8568,0.571429,14.0259,0.578571,54.1805,0.571429,All
11.5188,0.578571,43.9854,0.578571,14.1238,0.585714,54.2568,0.578571,All
