Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
2.32799,0.178567,13.0686,0.0318043,2.34269,0.143718,25.5144,0.0130326,All
2.718,0.0595224,15.9882,0.0265035,3.58106,0.162464,64.1082,0.00661654,All
3.10801,0.0595224,18.9079,0.0583078,4.81944,0.181209,102.702,0.00401002,All
3.49802,0.138886,21.8275,0.0715596,6.05781,0.143718,141.296,0.00100251,All
3.88803,0.0992041,24.7472,0.106014,7.29618,0.137469,179.89,0.00120301,All
4.27804,0.158726,27.6668,0.0397553,8.53455,0.0437402,218.483,0.000802004,All
4.66805,0.396816,30.5865,0.0106014,9.77293,0.0374916,257.077,0.000802004,All
5.05806,0.575384,33.5061,0,11.0113,0.0062486,295.671,0,All
5.44807,0.297612,36.4257,0.0159021,12.2497,0.0124972,334.265,0.000401002,All
5.83808,0.376975,39.3454,0.00795106,13.488,0,372.858,0,All
6.22808,0.257931,42.265,0,14.7264,0,411.452,0,All
6.61809,0.178567,45.1847,0.00265035,15.9648,0.0062486,450.046,0.000200501,All
