pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.98353,0.0206073,-3.02515,0.00407104,-1.79903,0.0235071,All
-1.4275,0.0824291,-2.76103,0.00814209,-1.31159,0.188057,All
-0.871465,0.515182,-2.4969,0.0122131,-0.824152,0.587678,All
-0.315432,0.45336,-2.23277,0.00814209,-0.336711,0.423128,All
0.240601,0.473968,-1.96865,0.0366394,0.150731,0.493649,All
0.796634,0.164858,-1.70452,0.0773498,0.638172,0.188057,All
1.35267,0.0618219,-1.4404,0.0854919,1.12561,0.0940284,All
1.9087,0.103036,-1.17627,0.187268,1.61305,0.0470142,All
2.46473,0.0618219,-0.912143,0.280902,2.1005,0.141043,All
3.02077,0.0412146,-0.648017,0.366394,2.58794,0.0705213,All
,,-0.383891,0.407104,,,All
,,-0.119765,0.476312,,,All
,,0.144361,0.460028,,,All
,,0.408487,0.512951,,,All
,,0.672613,0.256476,,,All
,,0.93674,0.236121,,,All
,,1.20087,0.187268,,,All
,,1.46499,0.0854919,,,All
,,1.72912,0.0814209,,,All
,,1.99324,0.0447815,,,All
,,2.25737,0.0244263,,,All
,,2.5215,0.0122131,,,All
,,2.78562,0.00814209,,,All
,,3.04975,0.00814209,,,All
,,3.31387,0,,,All
,,3.578,0,,,All
,,3.84213,0.00814209,,,All
,,4.10625,0.00814209,,,All
,,4.37038,0.00814209,,,All
,,4.63451,0.00814209,,,All
,,4.89863,0.00814209,,,All
