Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression
-3.27153,-0.0636595,-0.117182,-0.860235,0.0407982,-0.411578
-3.20728,-0.0531765,-0.11488,-0.847824,-0.0653513,-0.405571
-3.14302,-0.0448188,-0.112577,-0.835413,-0.131399,-0.399564
-3.07877,-0.0380538,-0.110275,-0.823002,-0.164432,-0.393557
-3.01451,-0.0329784,-0.107972,-0.810591,-0.169676,-0.38755
-2.95025,-0.0294197,-0.10567,-0.79818,-0.155734,-0.381543
-2.886,-0.0268672,-0.103367,-0.785769,-0.130196,-0.375536
-2.82174,-0.0254729,-0.101065,-0.773358,-0.100393,-0.369529
-2.75749,-0.0248945,-0.0987621,-0.760947,-0.0738615,-0.363522
-2.69323,-0.0249367,-0.0964596,-0.748536,-0.0580973,-0.357515
-2.62898,-0.0253798,-0.0941571,-0.736125,-0.0587203,-0.351508
-2.56472,-0.0260407,-0.0918546,-0.723714,-0.068061,-0.345501
-2.50046,-0.0267112,-0.089552,-0.711303,-0.0726872,-0.339494
-2.43621,-0.0271908,-0.0872495,-0.698892,-0.0605112,-0.333486
-2.37195,-0.027275,-0.084947,-0.686481,-0.0358318,-0.327479
-2.3077,-0.0267698,-0.0826445,-0.67407,-0.0139129,-0.321472
-2.24344,-0.0254678,-0.080342,-0.661659,-0.00873317,-0.315465
-2.17918,-0.023279,-0.0780395,-0.649248,-0.0230454,-0.309458
-2.11493,-0.0202705,-0.075737,-0.636837,-0.0543823,-0.303451
-2.05067,-0.0165247,-0.0734344,-0.624426,-0.101342,-0.297444
-1.98642,-0.0121208,-0.0711319,-0.612015,-0.158317,-0.291437
-1.92216,-0.00757245,-0.0688294,-0.599604,-0.228432,-0.28543
-1.85791,-0.0050817,-0.0665269,-0.587193,-0.305728,-0.279423
-1.79365,-0.00726117,-0.0642244,-0.574782,-0.383024,-0.273416
-1.72939,-0.0162694,-0.0619219,-0.562371,-0.460319,-0.267409
-1.66514,-0.0301202,-0.0596194,-0.54996,-0.537615,-0.261402
-1.60088,-0.0446284,-0.0573169,-0.537549,-0.614911,-0.255395
-1.53663,-0.0555885,-0.0550143,-0.525138,-0.692207,-0.249388
-1.47237,-0.0593655,-0.0527118,-0.512727,-0.756415,-0.243381
-1.40811,-0.058244,-0.0504093,-0.500316,-0.809982,-0.237374
-1.34386,-0.05826,-0.0481068,-0.487905,-0.85162,-0.231367
-1.2796,-0.0652856,-0.0458043,-0.475494,-0.881206,-0.22536
-1.21535,-0.0777446,-0.0435018,-0.463083,-0.890739,-0.219353
