Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression
-1.41401,0.0453668,0.0864946,-0.534819,-0.0298002,-0.160761,-0.342278,-0.127666,0.126479,-0.534819,-0.390102,-0.228914,-0.342278,-0.321862,-0.199231,-1.41401,-0.0254423,-0.0599386
-1.37996,0.0564432,0.0857003,-0.522392,-0.0351418,-0.155795,-0.332562,-0.0184694,0.123535,-0.522392,-0.34817,-0.223451,-0.332562,-0.305233,-0.194315,-1.37996,0.025951,-0.0584795
-1.34592,0.0675197,0.084906,-0.509965,-0.0404834,-0.150829,-0.322845,0.0907275,0.120591,-0.509965,-0.306237,-0.217989,-0.322845,-0.288604,-0.189399,-1.34592,0.0773443,-0.0570205
-1.31188,0.0725506,0.0841118,-0.497539,-0.0450876,-0.145863,-0.313129,0.184228,0.117647,-0.497539,-0.270299,-0.212526,-0.313129,-0.273622,-0.184482,-1.31188,0.0803027,-0.0555614
-1.27784,0.0770738,0.0833175,-0.485112,-0.0484093,-0.140897,-0.303413,0.251997,0.114703,-0.485112,-0.244649,-0.207063,-0.303413,-0.261336,-0.179566,-1.27784,0.0791936,-0.0541024
-1.2438,0.081597,0.0825233,-0.472685,-0.0511022,-0.13593,-0.293696,0.29728,0.111759,-0.472685,-0.223858,-0.2016,-0.293696,-0.25125,-0.17465,-1.2438,0.0780845,-0.0526434
-1.20976,0.0861202,0.081729,-0.460259,-0.0527671,-0.130964,-0.28398,0.328002,0.108815,-0.460259,-0.210605,-0.196138,-0.28398,-0.242504,-0.169733,-1.20976,0.0769754,-0.0511843
-1.17571,0.0906434,0.0809347,-0.447832,-0.0542466,-0.125998,-0.274263,0.342347,0.105871,-0.447832,-0.198679,-0.190675,-0.274263,-0.23517,-0.164817,-1.17571,0.0758663,-0.0497253
-1.14167,0.0951666,0.0801405,-0.435405,-0.0549525,-0.121032,-0.264547,0.345363,0.102927,-0.435405,-0.191921,-0.185212,-0.264547,-0.228741,-0.1599,-1.14167,0.0747572,-0.0482663
-1.10763,0.0996898,0.0793462,-0.422979,-0.0551689,-0.116066,-0.25483,0.325773,0.0999834,-0.422979,-0.188085,-0.17975,-0.25483,-0.223725,-0.154984,-1.10763,0.0736481,-0.0468072
-1.07359,0.102358,0.0785519,-0.410552,-0.0549793,-0.1111,-0.245114,0.302829,0.0970394,-0.410552,-0.186347,-0.174287,-0.245114,-0.218897,-0.150068,-1.07359,0.0597495,-0.0453482
-1.03955,0.102984,0.0777577,-0.398125,-0.0544727,-0.106134,-0.235397,0.279885,0.0940954,-0.398125,-0.185903,-0.168824,-0.235397,-0.214069,-0.145151,-1.03955,0.0317702,-0.0438892
-1.0055,0.103497,0.0769634,-0.385699,-0.053663,-0.101168,-0.225681,0.245457,0.0911514,-0.385699,-0.185973,-0.163361,-0.225681,-0.209599,-0.140235,-1.0055,0.00348797,-0.0424301
-0.971463,0.103622,0.0761692,-0.373272,-0.0525797,-0.0962018,-0.215964,0.198048,0.0882074,-0.373272,-0.184604,-0.157899,-0.215964,-0.204807,-0.135319,-0.971463,-0.0251793,-0.0409711
-0.937421,0.103697,0.0753749,-0.360845,-0.0514964,-0.0912357,-0.206248,0.148713,0.0852634,-0.360845,-0.183235,-0.152436,-0.206248,-0.199898,-0.130402,-0.937421,-0.0522471,-0.039512
-0.903379,0.103872,0.0745806,-0.348419,-0.0504131,-0.0862696,-0.196531,0.0993781,0.0823194,-0.348419,-0.181866,-0.146973,-0.196531,-0.194989,-0.125486,-0.903379,-0.0760747,-0.038053
-0.869337,0.104298,0.0737864,-0.335992,-0.0493192,-0.0813035,-0.186815,0.0477849,0.0793754,-0.335992,-0.177457,-0.14151,-0.186815,-0.18868,-0.12057,-0.869337,-0.0952864,-0.036594
-0.835295,0.105086,0.0729921,-0.323565,-0.0483271,-0.0763374,-0.177099,-0.00559159,0.0764314,-0.323565,-0.168472,-0.136048,-0.177099,-0.181267,-0.115653,-0.835295,-0.108973,-0.0351349
-0.801254,0.106306,0.0721978,-0.311139,-0.047458,-0.0713713,-0.167382,-0.058968,0.0734874,-0.311139,-0.156431,-0.130585,-0.167382,-0.173853,-0.110737,-0.801254,-0.115567,-0.0336759
-0.767212,0.107679,0.0714036,-0.298712,-0.0469817,-0.0664052,-0.157666,-0.107798,0.0705435,-0.298712,-0.137209,-0.125122,-0.157666,-0.164037,-0.105821,-0.767212,-0.116761,-0.0322169
-0.73317,0.108961,0.0706093,-0.286285,-0.0467506,-0.0614391,-0.147949,-0.152555,0.0675995,-0.286285,-0.113506,-0.11966,-0.147949,-0.152359,-0.100904,-0.73317,-0.112627,-0.0307578
-0.699128,0.109867,0.069815,-0.273859,-0.0465195,-0.0564731,-0.138233,-0.196731,0.0646555,-0.273859,-0.0898022,-0.114197,-0.138233,-0.140492,-0.0959878,-0.699128,-0.104335,-0.0292988
-0.665086,0.109992,0.0690208,-0.261432,-0.0462884,-0.051507,-0.128516,-0.230006,0.0617115,-0.261432,-0.0660985,-0.108734,-0.128516,-0.125188,-0.0910714,-0.665086,-0.092498,-0.0278398
-0.631044,0.109492,0.0682265,-0.249005,-0.0462581,-0.0465409,-0.1188,-0.255187,0.0587675,-0.249005,-0.0396259,-0.103271,-0.1188,-0.107746,-0.0861551,-0.631044,-0.0789196,-0.0263807
-0.597003,0.107497,0.0674323,-0.236579,-0.046424,-0.0415748,-0.109083,-0.267515,0.0558235,-0.236579,-0.0107287,-0.0978086,-0.109083,-0.088686,-0.0812387,-0.597003,-0.063438,-0.0249217
