Parameters,Run_1,Run_2,Run_3
Cl_pop,10.1908,10.19,9.62091
Q_pop,10.0942,9.89456,9.63535
V1_pop,43.4745,43.6949,46.3835
V2_pop,54.2935,52.6949,78.818
b,0.0935852,0.0923387,0.0952162
omega_Cl,0.262753,0.262751,0.262723
omega_Q,0.960746,0.969021,0.502767
omega_V1,0.0710131,0.0857891,0.14586
omega_V2,0.134552,0.153389,1.09627
-2LL,427.834,427.715,440.258
