iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q2,sd_Q2,E_V2,sd_V2,E_Q3,sd_Q3,E_V3,sd_V3
1,5.30906,0.0319514,21.225,0.152067,7.12284,0.404501,25.8869,0.335539,9.69874e-08,7.75372,7622.15,7.57296
2,5.30488,0.0274891,21.1266,0.130159,7.11709,0.345435,26.1039,0.30855,1.23599e-06,7.01115,5121.79,6.90239
3,5.29447,0.0279042,21.1539,0.121555,7.14609,0.332739,26.541,0.291763,9.53527e-07,6.77422,4002.65,6.65881
4,5.29593,0.0273623,21.1885,0.117666,7.11866,0.32338,26.6678,0.285775,7.67936e-07,6.64744,3345.54,6.54321
5,5.29244,0.027473,21.1591,0.11595,7.16624,0.316123,27.0232,0.286217,6.40998e-07,6.65697,2898.27,6.58851
6,5.28779,0.0282248,21.1048,0.114512,7.22895,0.313969,26.8381,0.28358,5.6089e-07,6.55697,2586.05,6.77709
7,5.2892,0.0281841,21.0629,0.112427,7.29003,0.306897,26.6678,0.282904,4.91242e-07,6.46812,2276.68,6.86334
8,5.29382,0.0283791,21.0469,0.111522,7.38552,0.31202,26.5757,0.281273,4.37523e-07,6.41038,2098.39,6.80952
9,5.29691,0.0283106,20.9874,0.111764,7.4328,0.308933,26.4738,0.275688,3.93874e-07,6.36941,2124.99,6.75897
10,5.29717,0.027892,20.9414,0.111124,7.53237,0.308771,26.3475,0.273794,4.93751e-07,6.31393,2382.98,6.73416
11,5.29643,0.0278189,20.9277,0.111318,7.54248,0.307398,26.317,0.2731,4.54169e-07,6.2671,2186.9,6.66964
12,5.29588,0.0276445,20.9204,0.111221,7.58387,0.307451,26.2437,0.270652,4.19595e-07,6.2085,2021.76,6.69194
13,5.298,0.0274638,20.9267,0.11082,7.58407,0.303605,26.2327,0.269777,3.9991e-07,6.19987,1879.6,6.693
14,5.2998,0.0273779,20.9377,0.110762,7.60235,0.301846,26.26,0.269767,3.8447e-07,6.24096,1758.34,6.66678
15,5.30142,0.0273267,20.9268,0.110572,7.63229,0.302581,26.2621,0.268936,3.60832e-07,6.30477,84446.7,6.68639
16,5.30189,0.0273038,20.9069,0.110696,7.65636,0.303039,26.2284,0.268894,3.39934e-07,6.33439,158357,6.76196
17,5.30141,0.0271201,20.9,0.110796,7.67055,0.30304,26.2182,0.268576,3.21109e-07,6.33181,149741,6.7762
18,5.30278,0.0270498,20.8833,0.110415,7.67831,0.302848,26.1174,0.265489,3.05881e-07,6.30755,141860,6.73313
19,5.30392,0.0268501,20.8748,0.110284,7.66727,0.301825,26.0631,0.264934,2.91134e-07,6.3165,134811,6.7002
20,5.30568,0.026876,20.8815,0.110088,7.64665,0.300996,26.0224,0.265917,2.89887e-07,6.33076,128393,6.70694
21,5.30516,0.0266083,20.8953,0.110226,7.64009,0.304186,25.9843,0.266081,2.76999e-07,6.33296,122565,6.67735
22,5.30554,0.0264837,20.8951,0.110425,7.62623,0.304725,25.9503,0.26558,2.66224e-07,6.3574,117253,6.63661
23,5.30594,0.0266693,20.9076,0.110461,7.63057,0.308074,25.9214,0.264775,2.55256e-07,6.35717,112380,6.63106
24,5.30608,0.0265652,20.9144,0.111048,7.62943,0.311109,25.9225,0.26393,7.18799e-07,6.41932,107903,6.65899
25,5.3055,0.0268124,20.9162,0.11264,7.64901,0.315991,25.951,0.265187,7.86471e-07,6.4384,103753,6.6663
26,5.30534,0.0268237,20.9168,0.114644,7.66176,0.317828,25.9397,0.266075,7.57459e-07,6.40676,99922.9,6.6648
27,5.30511,0.0269162,20.9148,0.115538,7.66053,0.318518,25.9149,0.2665,7.3047e-07,6.38686,96354.8,6.64962
28,5.30458,0.0268635,20.9144,0.116151,7.66894,0.31881,25.8894,0.266711,7.05404e-07,6.34266,93033.3,6.65508
29,5.30447,0.0269542,20.9197,0.116431,7.6705,0.319482,25.8995,0.266697,6.8207e-07,6.31352,89970.1,6.65822
30,5.30532,0.0268381,20.9152,0.116438,7.66196,0.318604,25.886,0.266257,6.60176e-07,6.3028,87069.8,6.63475
31,5.30662,0.0268483,20.9017,0.116557,7.69145,0.318893,25.8919,0.265447,6.49327e-07,6.31174,84373.1,6.62605
32,5.30711,0.0268454,20.8946,0.116497,7.70257,0.318221,25.8762,0.263843,6.29935e-07,6.29056,82028.4,6.63311
33,5.30606,0.0268189,20.8883,0.116417,7.69451,0.31824,25.8741,0.264281,6.11458e-07,6.26685,79616.9,6.60236
34,5.30489,0.0267688,20.881,0.116196,7.68731,0.317772,25.8642,0.263931,6.67481e-07,6.25056,77373.3,6.60489
35,5.30435,0.0268198,20.8924,0.116846,7.66031,0.317262,25.8853,0.263216,1.16031e-06,6.25615,75263.4,6.64592
36,5.30415,0.0266875,20.9116,0.117313,7.63026,0.317301,25.8808,0.262365,1.15084e-06,6.27732,73230.8,6.63712
37,5.30372,0.0267511,20.9255,0.117186,7.61094,0.31759,25.9069,0.263112,1.12059e-06,6.29148,71639.6,6.63928
38,5.30345,0.0267381,20.9377,0.117496,7.60655,0.318381,25.9474,0.264765,1.09188e-06,6.2985,69941.4,6.68036
39,5.30361,0.0267182,20.9555,0.117858,7.59062,0.31819,25.9798,0.265362,1.06468e-06,6.31124,68205.1,6.68395
40,5.30323,0.0267133,20.9641,0.118138,7.5804,0.318911,26.0076,0.264452,1.04145e-06,6.30059,67116.8,6.65938
41,5.303,0.0265851,20.9706,0.11812,7.56724,0.318964,26.0291,0.263905,1.02873e-06,6.3068,71435.3,6.66115
42,5.30273,0.0265769,20.9808,0.1179,7.55225,0.318793,26.0383,0.26244,1.00784e-06,6.30011,70044.2,6.65235
43,5.30286,0.0265983,20.992,0.117926,7.53942,0.319286,26.0121,0.263343,9.87331e-07,6.30231,68460.1,6.63423
44,5.3023,0.0266051,21.0008,0.117668,7.52677,0.319017,25.9776,0.264321,9.65407e-07,6.28333,66938.9,6.61696
45,5.30251,0.0265514,21.0048,0.117542,7.53045,0.318439,25.9933,0.26395,9.44923e-07,6.28814,65492.6,6.62947
46,5.30253,0.0265751,21.0107,0.117261,7.51295,0.318136,26.0008,0.263479,9.34118e-07,6.29917,64100.5,6.60766
47,5.30156,0.0267193,21.0163,0.11731,7.499,0.319093,26.0511,0.26408,9.14672e-07,6.28478,62766.5,6.59934
48,5.30107,0.0267798,21.0268,0.117352,7.48618,0.319195,26.08,0.263962,8.96145e-07,6.28851,61487.3,6.58508
49,5.30036,0.0268664,21.0407,0.11723,7.47128,0.319757,26.0881,0.264532,8.82842e-07,6.28957,60259.7,6.57306
50,5.30015,0.0268221,21.0449,0.117262,7.46397,0.319933,26.0884,0.264116,8.74517e-07,6.31849,59087.6,6.58204
51,5.29974,0.0268461,21.059,0.117296,7.45302,0.321294,26.0889,0.263947,8.57753e-07,6.32869,57953.6,6.57448
52,5.29943,0.026803,21.0683,0.117056,7.4418,0.321643,26.0759,0.262969,8.4918e-07,6.35049,56884.8,6.56781
53,5.29888,0.0268235,21.0679,0.116698,7.43947,0.322213,26.0919,0.262737,8.33669e-07,6.35048,55833.1,6.56367
54,5.29837,0.0268474,21.0654,0.116439,7.43544,0.321825,26.0924,0.262438,8.1852e-07,6.34783,54818.4,6.56676
55,5.29791,0.0267927,21.0653,0.11651,7.44112,0.321987,26.1058,0.262144,8.0485e-07,6.34618,53840.4,6.57778
56,5.29842,0.0267956,21.0624,0.116295,7.44572,0.322247,26.1128,0.261362,7.90739e-07,6.33024,52900.5,6.59661
57,5.29799,0.0267355,21.0522,0.116353,7.44898,0.322546,26.1131,0.261615,7.77132e-07,6.31427,52007.5,6.60178
58,5.29817,0.0266877,21.0474,0.116526,7.45772,0.323474,26.114,0.261313,7.64087e-07,6.31951,51286.7,6.60543
59,5.29796,0.0266885,21.0473,0.116641,7.45696,0.323966,26.129,0.261408,7.51408e-07,6.32505,50829.1,6.60987
60,5.29793,0.0267162,21.0569,0.117111,7.4514,0.324613,26.1224,0.261562,1.01048e-06,6.33092,50571.2,6.59572
61,5.29794,0.0267637,21.0665,0.117457,7.4411,0.325446,26.1312,0.261278,9.94409e-07,6.32424,49758.6,6.58216
62,5.29764,0.0267721,21.0679,0.11796,7.4374,0.325325,26.1724,0.261854,9.85742e-07,6.34062,48969.7,6.5764
63,5.29713,0.0268579,21.0621,0.118053,7.44129,0.325691,26.2022,0.262687,9.71767e-07,6.33212,48220.2,6.56821
64,5.29677,0.0268356,21.056,0.11823,7.446,0.325383,26.2183,0.263589,9.56842e-07,6.32289,47478.4,6.55294
65,5.29653,0.026862,21.0511,0.118109,7.44746,0.32513,26.2211,0.263693,9.46021e-07,6.32084,46759.6,6.54179
66,5.29601,0.0268398,21.0445,0.118099,7.44623,0.325106,26.2231,0.263145,9.35436e-07,6.33326,46102.5,6.54123
67,5.29604,0.0268045,21.0477,0.118437,7.44508,0.325127,26.2386,0.262872,9.23825e-07,6.35085,45424.6,6.53657
68,5.29617,0.0267773,21.0497,0.118355,7.44252,0.32539,26.2496,0.262875,1.65796e-06,6.3561,44770.9,6.54298
69,5.29617,0.0268499,21.0478,0.118648,7.44163,0.32554,26.2514,0.263005,1.63486e-06,6.35735,44190.3,6.54444
70,5.29624,0.0268598,21.0496,0.118459,7.44172,0.325419,26.2705,0.263167,1.61188e-06,6.36261,43568.6,6.52909
71,5.29679,0.0269795,21.0503,0.118576,7.4424,0.325416,26.2804,0.263123,1.58954e-06,6.35527,42993.6,6.52581
72,5.29692,0.0269764,21.0508,0.118583,7.44438,0.325444,26.2956,0.262972,1.569e-06,6.35372,42417.6,6.52527
73,5.29695,0.0270571,21.0527,0.118254,7.44063,0.324745,26.3221,0.262883,1.54856e-06,6.3448,41861.1,6.5279
74,5.29687,0.0270507,21.0525,0.11796,7.43725,0.324163,26.3423,0.262671,1.52848e-06,6.34841,41303.3,6.52026
75,5.29709,0.0271612,21.0559,0.117995,7.43673,0.324524,26.3545,0.262733,1.50838e-06,6.34518,40761.6,6.52036
76,5.29698,0.0271165,21.0576,0.117996,7.43944,0.325421,26.3741,0.262816,1.48975e-06,6.3513,40241,6.52635
77,5.29652,0.0271722,21.058,0.117977,7.4385,0.325208,26.3946,0.264149,1.48225e-06,6.34641,39730.7,6.52297
78,5.29615,0.0271965,21.0595,0.117886,7.435,0.325227,26.4172,0.264767,1.48501e-06,6.34227,39272.5,6.53556
79,5.29611,0.0272084,21.0591,0.11769,7.4334,0.325332,26.4219,0.264727,1.46689e-06,6.34597,38795.9,6.55078
80,5.29608,0.0271789,21.0584,0.117547,7.42842,0.32507,26.4167,0.2643,1.44881e-06,6.33971,38317.4,6.55011
81,5.29575,0.0271264,21.0611,0.117445,7.42315,0.324537,26.4283,0.264293,1.43166e-06,6.3493,37851.3,6.54603
82,5.29553,0.0271614,21.0679,0.117289,7.41531,0.324535,26.4183,0.264385,1.41841e-06,6.35745,37876.7,6.54686
83,5.29555,0.0271404,21.0742,0.117304,7.40436,0.324797,26.4136,0.26418,1.40194e-06,6.36396,37429.4,6.56011
84,5.29581,0.027148,21.0832,0.117357,7.39528,0.325033,26.4071,0.264191,1.39939e-06,6.37917,36991.6,6.56132
85,5.29572,0.0271421,21.089,0.117388,7.38996,0.324964,26.4002,0.264284,1.38317e-06,6.38809,36582.6,6.56096
86,5.29591,0.0271298,21.0924,0.117422,7.38847,0.32504,26.4073,0.264792,1.36732e-06,6.38335,36175.3,6.5659
87,5.2958,0.0271495,21.0985,0.117371,7.37847,0.324718,26.4059,0.265116,1.35187e-06,6.3819,35779.1,6.56987
88,5.29565,0.0272492,21.1095,0.117217,7.36747,0.324908,26.4276,0.265632,1.34449e-06,6.3765,35378.5,6.57607
