standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.80174,0.00142857,-2.33543,0.00142857,-2.71717,0.00142857,-2.33935,0.00142857,All
-2.61136,0.00285714,-2.33159,0.00285714,-2.64102,0.00285714,-2.32858,0.00285714,All
-2.59866,0.00428571,-2.27298,0.00428571,-2.47212,0.00428571,-2.32652,0.00428571,All
-2.56452,0.00571429,-2.24505,0.00571429,-2.4557,0.00571429,-2.29321,0.00571429,All
-2.56067,0.00714286,-2.23879,0.00714286,-2.45096,0.00714286,-2.19317,0.00714286,All
-2.53111,0.00857143,-2.17074,0.00857143,-2.41643,0.00857143,-2.1638,0.00857143,All
-2.51421,0.01,-2.16503,0.01,-2.3881,0.01,-2.11722,0.01,All
-2.50536,0.0114286,-2.15532,0.0114286,-2.35935,0.0114286,-2.10206,0.0114286,All
-2.48551,0.0128571,-2.11948,0.0128571,-2.332,0.0128571,-2.10173,0.0128571,All
-2.47151,0.0142857,-2.10569,0.0142857,-2.24503,0.0142857,-2.09899,0.0142857,All
-2.4476,0.0157143,-2.0662,0.0157143,-2.23185,0.0157143,-2.08808,0.0157143,All
-2.44456,0.0171429,-2.04557,0.0171429,-2.23082,0.0171429,-2.08718,0.0171429,All
-2.43884,0.0185714,-2.03992,0.0185714,-2.22347,0.0185714,-2.0762,0.0185714,All
-2.42459,0.02,-2.03676,0.02,-2.16663,0.02,-2.05814,0.02,All
-2.41195,0.0214286,-2.0318,0.0214286,-2.16581,0.0214286,-2.03462,0.0214286,All
-2.39242,0.0228571,-2.01831,0.0228571,-2.14653,0.0228571,-2.02857,0.0228571,All
-2.39239,0.0242857,-2.01067,0.0242857,-2.12696,0.0242857,-2.02727,0.0242857,All
-2.38504,0.0257143,-2.00814,0.0257143,-2.11002,0.0257143,-2.01873,0.0257143,All
-2.35844,0.0271429,-2.00676,0.0271429,-2.10503,0.0271429,-2.01513,0.0271429,All
-2.35154,0.0285714,-2.00315,0.0285714,-2.09075,0.0285714,-2.01217,0.0285714,All
-2.34587,0.03,-1.99824,0.03,-2.09065,0.03,-2.0089,0.03,All
-2.34351,0.0314286,-1.99103,0.0314286,-2.08107,0.0314286,-1.91167,0.0314286,All
-2.34344,0.0328571,-1.95091,0.0328571,-2.06418,0.0328571,-1.90403,0.0328571,All
-2.33971,0.0342857,-1.93746,0.0342857,-2.0626,0.0342857,-1.90391,0.0342857,All
