standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.42279,0.0640467,-2.50514,0.031595,-2.78823,0.0145572,-2.53147,0.0235273,All
-2.26087,0.137243,-2.31758,0.0552913,-2.58469,0.00727861,-2.34257,0.0470547,All
-2.09895,0.20129,-2.13002,0.110583,-2.38115,0.0582289,-2.15366,0.109794,All
-1.93703,0.0548972,-1.94246,0.157975,-2.17761,0.036393,-1.96476,0.141164,All
-1.77511,0.00914953,-1.7549,0.173773,-1.97407,0.131015,-1.77585,0.149006,All
-1.61319,0.00914953,-1.56734,0.102684,-1.77053,0.101901,-1.58695,0.156849,All
-1.45127,0.100645,-1.37978,0.157975,-1.567,0.152851,-1.39804,0.149006,All
-1.28935,0.265336,-1.19223,0.06319,-1.36346,0.181965,-1.20914,0.0548971,All
-1.12743,0.457477,-1.00467,0.102684,-1.15992,0.225637,-1.02023,0.109794,All
-0.965516,0.0731963,-0.817108,0.165874,-0.956378,0.174687,-0.831325,0.172534,All
-0.803597,0,-0.629549,0.205368,-0.752839,0.181965,-0.642419,0.219588,All
-0.641678,0.00914953,-0.44199,0.308051,-0.5493,0.291144,-0.453513,0.282328,All
-0.479759,0.100645,-0.254431,0.426533,-0.34576,0.276587,-0.264608,0.407807,All
-0.31784,0.19214,-0.0668724,0.347545,-0.142221,0.371209,-0.0757023,0.337225,All
-0.155922,0.713664,0.120687,0.458128,0.0613178,0.414881,0.113203,0.439177,All
0.00599721,0.951551,0.308245,0.600305,0.264857,0.458552,0.302109,0.603868,All
0.167916,0.78686,0.495804,0.56871,0.468396,0.494945,0.491014,0.580341,All
0.329835,0.494075,0.683363,0.560811,0.671935,0.414881,0.67992,0.596026,All
0.491754,0.19214,0.870922,0.292254,0.875474,0.327537,0.868825,0.298013,All
0.653672,0.247037,1.05848,0.205368,1.07901,0.247473,1.05773,0.172534,All
0.815591,0.292785,1.24604,0.12638,1.28255,0.174687,1.24664,0.141164,All
0.97751,0.0914953,1.4336,0.094785,1.48609,0.167408,1.43554,0.117637,All
1.13943,0.109794,1.62116,0.102684,1.68963,0.0946219,1.62445,0.0627396,All
1.30135,0.0731963,1.80872,0.0236963,1.89317,0.036393,1.81335,0.0392122,All
1.46327,0.311084,1.99628,0.0473925,2.09671,0.0145572,2.00226,0.0470547,All
1.62519,0.311084,2.18383,0.00789875,2.30025,0.0291144,2.19116,0,All
1.7871,0.155542,2.37139,0.031595,2.50379,0.0145572,2.38007,0.0313698,All
