Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,split
1.63772,0,8.42486,0,0.992865,0,All
2.4127,0.00714286,12.5019,0.00714286,1.15772,0.00714286,All
2.49467,0.0142857,12.7717,0.0142857,1.42878,0.0142857,All
2.49902,0.0214286,13.0745,0.0214286,1.55505,0.0214286,All
2.51314,0.0285714,13.075,0.0285714,1.57454,0.0285714,All
2.52284,0.0357143,13.4325,0.0357143,1.59172,0.0357143,All
2.58165,0.0428571,13.7321,0.0428571,1.69117,0.0428571,All
2.6117,0.05,13.7704,0.05,1.74609,0.05,All
2.61461,0.0571429,14.0606,0.0571429,1.77782,0.0571429,All
2.62241,0.0642857,14.0875,0.0642857,1.79202,0.0642857,All
2.65236,0.0714286,14.2574,0.0714286,1.79469,0.0714286,All
3.15259,0.0785714,14.2879,0.0785714,1.86932,0.0785714,All
3.2646,0.0857143,14.2926,0.0857143,1.96373,0.0857143,All
3.29409,0.0928571,14.6973,0.0928571,1.99537,0.0928571,All
3.33913,0.1,14.9787,0.1,2.00472,0.1,All
3.36034,0.107143,15.0171,0.107143,2.02825,0.107143,All
3.37977,0.114286,15.0971,0.114286,2.04148,0.114286,All
3.45091,0.121429,15.5428,0.121429,2.10592,0.121429,All
3.52317,0.128571,15.8282,0.128571,2.15383,0.128571,All
3.6158,0.135714,16.5815,0.135714,2.16886,0.135714,All
3.76261,0.142857,16.8406,0.142857,2.2094,0.142857,All
4.29386,0.15,16.941,0.15,2.21307,0.15,All
4.30914,0.157143,17.3262,0.157143,2.23408,0.157143,All
4.46539,0.164286,17.5299,0.164286,2.2598,0.164286,All
4.5195,0.171429,17.7214,0.171429,2.35213,0.171429,All
4.55155,0.178571,17.9285,0.178571,2.38059,0.178571,All
4.57422,0.185714,18.1558,0.185714,2.45192,0.185714,All
4.57528,0.192857,18.3556,0.192857,2.46777,0.192857,All
4.63856,0.2,18.4279,0.2,2.48049,0.2,All
4.66466,0.207143,18.4775,0.207143,2.50498,0.207143,All
4.74451,0.214286,18.5013,0.214286,2.57319,0.214286,All
4.77075,0.221429,18.912,0.221429,2.60189,0.221429,All
4.78518,0.228571,19.0405,0.228571,2.66351,0.228571,All
4.82354,0.235714,19.0669,0.235714,2.98555,0.235714,All
4.8372,0.242857,19.0767,0.242857,3.08132,0.242857,All
4.85493,0.25,19.1867,0.25,3.12054,0.25,All
4.87198,0.257143,19.2361,0.257143,3.12565,0.257143,All
4.8729,0.264286,19.3994,0.264286,3.12624,0.264286,All
4.87953,0.271429,19.5524,0.271429,3.15631,0.271429,All
4.88307,0.278571,19.6122,0.278571,3.31317,0.278571,All
4.88506,0.285714,19.6494,0.285714,3.35878,0.285714,All
4.9018,0.292857,19.7525,0.292857,3.42493,0.292857,All
4.91486,0.3,19.8867,0.3,3.55586,0.3,All
4.95688,0.307143,20.0882,0.307143,3.7463,0.307143,All
4.9619,0.314286,20.0905,0.314286,3.82966,0.314286,All
4.97255,0.321429,20.1693,0.321429,3.83718,0.321429,All
4.98149,0.328571,20.2894,0.328571,4.12367,0.328571,All
