Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
2.60645,0.199685,13.3371,0.0416926,1.92256,0.161876,All
2.99397,0.0199685,15.0075,0.0416926,3.45224,0.0809381,All
3.38148,0.13978,16.6779,0.01853,4.98192,0.156818,All
3.769,0.039937,18.3483,0.0555901,6.5116,0.096114,All
4.15651,0.039937,20.0187,0.0787526,8.04128,0.0505863,All
4.54403,0.13978,21.6891,0.0972827,9.57096,0.0455277,All
4.93154,0.519181,23.3595,0.12971,11.1006,0.0252932,All
5.31906,0.319496,25.0299,0.0926502,12.6303,0.0101173,All
5.70657,0.279559,26.7003,0.0602226,14.16,0.0151759,All
6.09409,0.559118,28.3706,0.0138975,15.6897,0.0354104,All
6.4816,0.439307,30.041,0.00926502,17.2194,0,All
6.86912,0.0998426,31.7114,0.00926502,18.749,0.0303518,All
