parameter,value,se_lin,rse_lin
Cl_pop,5.17815856246112,0.305618143325252,5.90206228022488
beta_Cl_logtCLCRMLMIN,0.638577964303417,0.250530654330146,39.2325868311841
V1_pop,22.0224696379275,1.64860225386675,7.48600080268698
Q_pop,4.7560473704105,0.865856510293383,18.205380284483
V2_pop,36.9531473539069,8.41875350711606,22.7822367239471
omega_Cl,0.21391852511937,0.0411439183664662,19.233452709861
omega_V1,0.259148216432023,0.0566495535793659,21.8599048680798
omega_Q,0.630743021787619,0.135878109507634,21.5425466178818
omega_V2,0.214241979993679,0.35868199854781,167.419101783129
corr_V2_V1,0.99878244390485,1.14624387828134,114.764119581434
a1,0.305320859808256,0.0224222950689283,7.34384643191745
a2,0.0648878585809759,0.0063443203726156,9.77736129895285
