iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1473.15,1,5.6796,0.757903,0.609706,40.6172,12.4684,47.6947,1,1,1,1,0.998743,1,1
2,1465.98,1,5.0991,0.681765,0.813144,47.5944,17.5296,56.1191,0.974679,0.974679,1.02527,0.974679,0.998743,0.974679,0.974679
3,1460.54,1,4.87784,0.775308,0.836578,48.7356,16.6095,58.0042,0.95,0.95,1.04445,0.95,0.998743,0.95,0.95
4,1444.07,1,12.726,0.371232,-0.220187,44.8233,19.8467,53.5342,0.925945,0.925945,1.09139,0.925945,0.998743,0.925945,0.925945
5,1427.8,1,6.82734,0.577652,0.414657,51.7346,18.0031,61.3952,0.9025,0.9025,1.06375,0.9025,0.998743,0.9025,0.9025
6,1417.15,1,5.99449,0.826801,0.552302,51.4111,18.6513,60.9861,0.879648,0.879648,1.04107,0.879648,0.998743,0.879648,0.879648
7,1411.31,1,7.00368,1.14707,0.439113,57.1845,20.2093,67.583,0.857375,0.857375,1.01471,0.857375,0.998743,0.857375,0.857375
8,1386.09,1,7.74276,1.06501,0.332848,53.3235,23.7338,62.5164,0.835666,0.835666,0.989015,0.835666,0.998743,0.835666,0.835666
9,1390.25,1,7.93854,1.19806,0.378609,65.2042,20.5792,76.1213,0.814506,0.814506,1.12757,0.814506,0.998743,0.814506,0.814506
10,1385.02,1,7.45977,0.823852,0.405096,64.8283,18.2833,75.6696,0.793882,0.794249,1.20708,0.796532,0.998743,0.793882,0.793882
11,1367.49,1,4.32591,1.01577,0.944828,65.5602,15.6325,76.0938,0.773781,0.774138,1.17651,0.776364,0.998743,0.773781,0.773781
12,1346.32,1,8.13651,1.05297,0.354042,59.3601,13.9182,68.83,0.754188,0.754537,1.15981,0.756706,0.998743,0.754188,0.754188
13,1342.91,1,9.11122,0.827357,0.26529,67.2316,17.5193,78.1651,0.735092,0.735431,1.13044,0.737545,0.998743,0.735092,0.735092
14,1333.46,1,8.86522,0.579507,0.212925,73.367,14.5856,85.7115,0.716479,0.71681,1.30626,0.71887,0.998743,0.716479,0.716479
15,1317.97,1,5.84657,0.692364,0.68782,68.3068,14.4458,79.788,0.698337,0.69866,1.30957,0.700668,0.998743,0.698337,0.698337
16,1318.33,1,5.75579,0.615174,0.662798,60.5659,16.3078,70.5883,0.680655,0.680969,1.412,0.682927,0.998743,0.680655,0.680655
17,1300.31,1,8.2154,0.673474,0.297821,63.5929,13.1599,74.0007,0.66342,0.663727,1.3916,0.665635,0.998743,0.66342,0.66342
18,1285.15,1,6.07226,0.759408,0.632563,58.0524,15.9955,67.9047,0.646622,0.646921,1.35636,0.64878,0.998743,0.646622,0.646622
19,1278.41,1,8.09417,0.889435,0.357462,55.6271,14.9948,64.6465,0.630249,0.630541,1.44578,0.632353,0.998743,0.630249,0.630249
20,1257.01,1,8.95067,0.671673,0.239415,54.9088,15.3284,63.7089,0.614291,0.614575,1.40917,0.616341,0.998743,0.614291,0.614291
