standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.77844,0.00714286,-2.49916,0.00714286,-2.28921,0.00714286,-2.99511,0.00714286,-3.358,0.00714286,-2.33379,0.00714286,All
-2.73907,0.0142857,-2.40469,0.0142857,-2.13219,0.0142857,-2.98681,0.0142857,-2.58557,0.0142857,-2.28801,0.0142857,All
-2.72838,0.0214286,-2.27735,0.0214286,-1.77359,0.0214286,-2.56819,0.0214286,-1.68366,0.0214286,-2.12962,0.0214286,All
-2.65561,0.0285714,-1.724,0.0285714,-1.61609,0.0285714,-2.03523,0.0285714,-1.57907,0.0285714,-2.06372,0.0285714,All
-2.61198,0.0357143,-1.64869,0.0357143,-1.51102,0.0357143,-1.90402,0.0357143,-1.55742,0.0357143,-1.89245,0.0357143,All
-2.57003,0.0428571,-1.63643,0.0428571,-1.44554,0.0428571,-1.7748,0.0428571,-1.55277,0.0428571,-1.85616,0.0428571,All
-2.53013,0.05,-1.5753,0.05,-1.40363,0.05,-1.61209,0.05,-1.47826,0.05,-1.84724,0.05,All
-2.50478,0.0571429,-1.56281,0.0571429,-1.39954,0.0571429,-1.52774,0.0571429,-1.39711,0.0571429,-1.8144,0.0571429,All
-2.47858,0.0642857,-1.52807,0.0642857,-1.38887,0.0642857,-1.49522,0.0642857,-1.37546,0.0642857,-1.76853,0.0642857,All
-2.45351,0.0714286,-1.49269,0.0714286,-1.356,0.0714286,-1.45726,0.0714286,-1.33671,0.0714286,-1.75776,0.0714286,All
-1.72199,0.0785714,-1.44476,0.0785714,-1.33553,0.0785714,-1.42372,0.0785714,-1.32433,0.0785714,-1.75239,0.0785714,All
-1.67767,0.0857143,-1.42386,0.0857143,-1.29706,0.0857143,-1.36304,0.0857143,-1.30743,0.0857143,-1.74571,0.0857143,All
-1.6746,0.0928571,-1.39055,0.0928571,-1.29452,0.0928571,-1.30989,0.0928571,-1.25749,0.0928571,-1.60524,0.0928571,All
-1.66596,0.1,-1.36459,0.1,-1.28672,0.1,-1.28816,0.1,-1.23339,0.1,-1.44272,0.1,All
-1.61111,0.107143,-1.34694,0.107143,-1.28636,0.107143,-1.26243,0.107143,-1.21964,0.107143,-1.34994,0.107143,All
-1.54298,0.114286,-1.24939,0.114286,-1.24351,0.114286,-1.21981,0.114286,-1.13278,0.114286,-1.28849,0.114286,All
-1.48875,0.121429,-1.20988,0.121429,-1.20037,0.121429,-1.19661,0.121429,-1.07401,0.121429,-1.27839,0.121429,All
-1.44473,0.128571,-1.16857,0.128571,-1.1433,0.128571,-1.16279,0.128571,-1.05377,0.128571,-1.2441,0.128571,All
-1.4417,0.135714,-1.11761,0.135714,-1.14053,0.135714,-1.1088,0.135714,-1.05267,0.135714,-1.18925,0.135714,All
-1.42074,0.142857,-1.0772,0.142857,-1.09578,0.142857,-1.09432,0.142857,-1.03159,0.142857,-1.0428,0.142857,All
-0.647314,0.15,-1.0638,0.15,-0.958806,0.15,-1.08632,0.15,-1.02919,0.15,-0.9693,0.15,All
-0.632162,0.157143,-1.03161,0.157143,-0.935127,0.157143,-1.0851,0.157143,-0.998052,0.157143,-0.966681,0.157143,All
