standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q2_abscissa,standEta_Q2_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_Q3_abscissa,standEta_Q3_pdf,standEta_V3_abscissa,standEta_V3_pdf,split
-2.61471,0.236301,-2.30919,0.0611004,-2.09944,0.0407758,-2.77046,0.0516684,-3.09247,0.0145708,-2.12669,0.0747285,All
-2.28724,0,-1.92926,0,-1.71989,0.0407758,-2.32116,0,-2.5614,0.0145708,-1.7125,0.168139,All
-1.95977,0,-1.54932,0.224035,-1.34035,0.265043,-1.87187,0.0516684,-2.03033,0,-1.2983,0.112093,All
-1.6323,0.16541,-1.16938,0.162935,-0.960808,0.305819,-1.42258,0.172228,-1.49926,0.160279,-0.884101,0.224186,All
-1.30484,0.0708902,-0.789448,0.407336,-0.581265,0.183491,-0.973284,0.378902,-0.968189,0.37884,-0.469904,0.317596,All
-0.977367,0,-0.409511,0.366603,-0.201722,0.448534,-0.523991,0.310011,-0.43712,0.407982,-0.0557059,0.560464,All
-0.649899,0.14178,-0.0295746,0.427703,0.177821,0.448534,-0.0746973,0.310011,0.0939498,0.349699,0.358492,0.411007,All
-0.32243,0.425341,0.350362,0.44807,0.557364,0.265043,0.374596,0.396125,0.625019,0.335128,0.77269,0.35496,All
0.00503781,0.567122,0.730298,0.162935,0.936907,0.407758,0.82389,0.499461,1.15609,0.247703,1.18689,0.242868,All
0.332506,0.307191,1.11023,0.386969,1.31645,0.183491,1.27318,0.086114,1.68716,0.0582831,1.60109,0.0560464,All
0.659974,0.779792,1.49017,0.101834,1.69599,0.183491,1.72248,0.103337,2.21823,0.0291416,2.01528,0.0747285,All
0.987442,0.614382,1.87011,0.101834,2.07554,0.0815517,2.17177,0.0516684,2.7493,0.0437123,2.42948,0.0186821,All
