rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
1,1,-1.90946,-0.44153,-1.56404,0.299854,-0.306707,-1.83339,0
2,1,-2.42947,-0.396565,-0.0629827,-0.149652,0.902695,-0.491475,0
3,1,-2.46345,0.880646,1.08875,-1.47256,1.67438,-0.735823,0
4,1,-2.12727,-0.807313,-2.19084,-0.0047873,0.295409,-1.0145,0
5,1,-2.36515,-0.479608,-1.29617,0.107482,0.458588,-0.718252,0
6,1,-2.04079,-0.174792,-1.7706,-1.44597,3.10512,-1.08029,0
7,1,-1.95731,-0.585378,-0.300722,-0.636382,0.0389778,-1.07962,0
8,1,-1.95934,-0.296737,-2.3541,-0.489339,0.582861,-1.44581,0
9,1,-2.15703,-0.550934,-2.96988,0.0459243,-0.15637,-0.914743,0
10,1,-2.56078,-0.280282,-1.12471,-0.943693,1.02717,-0.421967,0
1,2,1.12036,0.562084,-0.392077,0.06156,0.294679,0.156532,0
2,2,1.40683,0.735638,1.05336,0.456068,-0.465756,-1.09241,0
3,2,0.904707,0.237495,-0.663615,0.47262,-0.244016,0.501602,0
4,2,0.206371,-0.338693,0.457375,0.393962,0.693869,1.30913,0
5,2,1.37627,0.340881,1.19429,-0.217316,-0.0681285,-2.00696,0
6,2,0.260954,-0.816037,-0.469249,0.731314,-0.287053,1.47678,0
7,2,0.913818,0.915771,-0.977592,0.339021,-0.351622,0.354745,0
8,2,0.362622,0.840273,0.676094,-0.0171808,0.206252,1.24873,0
9,2,0.71854,0.721437,0.630093,0.0123184,0.679683,0.854852,0
10,2,-1.02637,0.298943,0.113435,0.783848,1.56847,2.34115,0
1,3,1.09097,-0.107416,-0.946329,0.240253,0.558674,-0.690222,0
2,3,0.435302,0.928947,-0.730857,-0.0832913,1.28725,0.790723,0
3,3,1.08358,0.444968,0.650181,0.169676,0.70595,-0.408433,0
4,3,0.867557,0.403519,-0.0880149,0.362353,1.16987,0.437247,0
5,3,0.902526,0.333189,0.214689,0.374632,0.194205,-0.0856726,0
6,3,0.880817,1.19886,0.372807,-0.541308,1.04437,-0.273566,0
7,3,0.667457,0.247994,-0.447972,0.565821,0.0605645,0.257719,0
8,3,0.744272,1.61902,1.38937,-0.817162,1.47305,0.347569,0
9,3,0.73864,-0.169099,-0.355667,0.553139,0.952009,0.549091,0
10,3,0.873538,-1.49232,0.487357,0.357418,0.329463,0.108326,0
1,4,0.339136,0.902833,0.0824139,-0.799569,-0.679587,-1.22989,0
2,4,-0.449041,-0.970996,1.21912,-0.324428,-0.128831,0.694275,0
3,4,-0.241799,-0.148104,0.732591,-0.476203,-1.74946,0.370714,0
4,4,-0.741973,-0.874795,0.589605,-0.1687,0.331005,1.13688,0
5,4,-0.352997,1.16049,-0.365148,-1.04089,-0.64423,0.556874,0
6,4,0.423178,0.455603,-0.565539,-0.811937,-1.25198,-1.03112,0
7,4,0.333645,-0.162211,-0.805631,-0.171185,-0.720169,-0.422275,0
8,4,-0.505291,-0.724279,1.84286,-0.372748,-0.870433,0.67401,0
9,4,-0.561073,-0.183415,-1.05401,-0.409081,-1.8208,0.989051,0
10,4,0.062878,-0.648633,1.4279,-0.33679,-0.789594,-0.0765223,0
1,5,0.0148435,0.0256016,0.285094,0.0431284,0.948227,-1.11431,0
2,5,0.136038,0.876146,-1.50221,0.28069,1.40133,-0.80217,0
3,5,-1.55015,-1.10671,-0.666899,0.878333,-0.0457029,1.19673,0
4,5,-0.191942,1.26438,-0.839254,0.652132,-2.00139,-0.63477,0
5,5,-0.882855,0.741071,1.0043,-0.543095,2.09672,0.564679,0
6,5,-0.231341,-0.144799,-0.919919,0.882034,0.577491,-0.212442,0
7,5,-0.861924,-0.298649,0.103045,0.0486579,0.381839,0.399687,0
8,5,-0.972667,-0.0517183,-0.0389105,0.64419,0.764079,0.69492,0
9,5,-0.885192,-0.0479588,-0.863366,1.13558,1.29026,0.607442,0
10,5,-0.637589,0.098422,1.02028,0.519,0.662095,0.285368,0
1,6,0.407198,-0.865617,0.717466,2.62385,-1.59704,0.752026,0
2,6,-0.735757,0.299175,1.58913,1.8473,-0.679316,2.40565,0
3,6,0.830535,-0.586063,0.210034,2.0608,-0.427517,-0.866633,0
4,6,0.720166,-0.133438,1.04753,2.29761,1.15063,0.11026,0
5,6,0.915841,-1.06791,1.72815,2.2342,-0.0763598,-0.685645,0
6,6,-1.11233,-0.335022,-0.0907924,1.89675,1.75354,1.52059,0
7,6,0.560072,-0.479602,0.885607,1.81711,0.899918,0.152419,0
8,6,0.805975,-1.40085,0.842007,2.58882,-0.976477,-0.812115,0
9,6,0.00894174,0.750218,0.253562,1.90125,0.801697,0.685764,0
10,6,0.60228,2.47114,-0.25423,0.83517,-0.642252,-0.175269,0
1,7,-0.252978,-0.954058,-0.267107,-2.04087,0.145859,1.28229,0
2,7,-0.582723,-1.31369,-0.260066,-2.20194,0.552846,1.45608,0
3,7,0.670976,-1.01675,-0.0624452,-1.98928,-0.868358,-0.135272,0
4,7,-0.335185,-0.799432,1.23908,-2.02818,0.129677,1.24867,0
5,7,0.208711,0.677638,0.860328,-2.4973,-0.418967,0.835819,0
6,7,0.527508,-0.610074,0.179699,-2.20049,-0.449733,0.192833,0
7,7,0.568788,-0.912883,-1.80222,-1.56179,-0.811382,0.407304,0
8,7,-0.125828,0.17323,2.19679,-2.35984,-0.138978,1.12786,0
9,7,0.246093,-0.141243,-0.788247,-1.97002,-1.14263,0.435446,0
10,7,0.931346,-1.00877,2.01143,-1.6983,-1.19431,-1.12164,0
1,8,1.38952,0.662625,-0.210422,-0.444796,-0.448845,-0.913267,0
2,8,1.16367,-1.0658,0.128556,-0.184704,0.234866,-0.150389,0
3,8,0.213918,0.920988,1.22777,-0.738497,1.74389,1.26691,0
4,8,1.38419,0.324513,-1.14559,0.271412,-0.0703013,-0.256804,0
5,8,1.28247,0.21575,0.0594451,-0.0829625,-0.134808,-0.480061,0
6,8,1.00608,1.44814,0.516743,-1.20256,-0.34743,0.04698,0
7,8,-0.180684,0.498017,0.0147865,-0.39396,1.15359,1.5632,0
8,8,1.09294,-1.39975,0.604409,0.227219,0.539402,0.240061,0
9,8,0.80128,0.71927,-0.516695,-0.326686,0.531843,0.54866,0
10,8,1.4927,-0.703854,1.57013,0.0616632,0.607554,-1.39193,0
1,9,-0.346512,-0.151993,-1.37441,0.873375,-0.165092,0.362918,0
2,9,0.336449,-0.375329,-0.309983,0.350687,0.469595,-0.819977,0
3,9,-0.46554,-0.952548,-0.771168,-0.288806,1.73277,0.547259,0
4,9,0.446826,0.128673,-0.723387,0.996585,-0.0205867,-1.24433,0
5,9,0.191532,-0.150395,-1.02164,0.333992,0.743519,-0.446016,0
6,9,-0.0847658,-0.0864841,-0.466707,1.33711,-0.569199,0.302956,0
7,9,-0.27561,-1.57391,-1.28981,0.918686,-0.468531,0.370455,0
8,9,0.322626,-0.0431848,-1.38048,0.106558,0.681293,-0.984338,0
9,9,0.504784,-1.88273,-1.39225,0.97516,0.805711,-1.11139,0
10,9,0.325757,-1.03145,-1.83301,0.927096,0.63639,-1.36424,0
1,10,-0.832447,-2.02018,-0.335148,-0.323206,-2.37593,-1.78995,0
2,10,-1.27748,-0.778119,-0.358682,-0.49082,-1.41171,-0.652725,0
3,10,-1.23819,0.681778,2.23915,-1.23769,-1.6493,-0.545516,0
4,10,-1.58579,-1.13085,1.24131,-0.72848,-0.547738,0.0570995,0
5,10,-0.809197,-1.48331,1.70283,-0.85969,0.524773,-2.58821,0
6,10,-1.13133,0.378245,0.0840762,-1.16293,-1.24907,-1.04577,0
7,10,-1.36052,-1.42255,-0.0308902,-0.785415,-1.20742,-0.428157,0
8,10,-0.967341,-2.1233,0.415107,-0.593894,-0.754627,-1.53737,0
9,10,-1.72197,-0.748394,-0.543434,-0.541012,-1.74507,0.179377,0
10,10,-1.02223,-1.03495,-0.627238,-0.382974,-1.1485,-1.00157,0
1,11,0.0346006,-0.395655,2.44288,0.376343,0.850518,1.28702,0
2,11,1.02757,0.034762,1.39111,0.0184385,-0.250594,-0.502443,0
3,11,1.26144,1.33251,1.79725,-0.346862,0.849632,-1.04824,0
4,11,0.785118,-0.0623957,-0.523202,0.902168,0.122625,0.61423,0
5,11,1.10067,0.655982,0.483167,0.368421,0.151479,-0.380497,0
6,11,1.00505,0.930304,3.07664,-0.112458,0.139729,-0.181436,0
7,11,1.23529,-0.531553,0.622201,0.577065,-0.118397,-0.346944,0
8,11,0.92877,-1.41665,-0.928989,1.01291,-0.383957,0.228607,0
9,11,0.266554,0.891854,-0.505671,0.156341,0.731948,1.17138,0
10,11,0.955406,-1.38941,1.30736,0.763583,-0.828271,-0.217654,0
1,12,0.184396,1.06766,-0.582353,0.516597,0.243048,-0.433652,0
2,12,0.288725,0.500972,-0.563839,0.831912,-1.40884,-0.970291,0
3,12,0.158788,-0.649283,0.142968,0.777989,1.97828,-0.372978,0
4,12,-0.465178,0.477216,0.115059,0.955587,0.464459,0.482413,0
5,12,0.159308,-0.265698,0.879678,0.87445,0.211445,-0.473321,0
6,12,0.242636,0.90859,0.591989,1.16489,-0.259713,-0.619225,0
7,12,0.38998,-0.25429,1.80481,0.707662,1.52441,-1.09882,0
8,12,-0.702974,0.0503158,0.0751692,0.743836,0.129874,0.702592,0
9,12,0.56142,1.20688,-0.238707,1.38475,-0.748101,-1.72597,0
