Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,bias_abscissa,bias_pdf,split
2.36929,0.108244,10.4189,0.0207149,1.94825,0.0642549,9.58867,0.0136623,-20.2208,0.00896996,All
2.54721,0.241468,11.6347,0.0316817,3.33163,0.0803186,11.9743,0.0260825,-19.2299,0.00896996,All
2.72513,0.0666119,12.8505,0.0182779,4.71501,0.121013,14.3598,0.0279455,-18.2389,0.0134549,All
2.90306,0,14.0663,0.025589,6.09839,0.127439,16.7454,0.0279455,-17.248,0.0239199,All
3.08098,0.00832649,15.2821,0.025589,7.48177,0.0931695,19.131,0.0267035,-16.257,0.0134549,All
3.25891,0.016653,16.4979,0.0365558,8.86515,0.0760349,21.5166,0.0478179,-15.266,0.00597997,All
3.43683,0.208162,17.7137,0.0402113,10.2485,0.0567585,23.9022,0.04906,-14.2751,0,All
3.61475,0.149877,18.9295,0.0670189,11.6319,0.0471202,26.2878,0.050302,-13.2841,0,All
3.79268,0.033306,20.1453,0.0779856,13.0153,0.0224892,28.6734,0.0447129,-12.2931,0,All
3.9706,0,21.3611,0.0670189,14.3987,0.024631,31.059,0.0360187,-11.3022,0,All
4.14852,0,22.5769,0.0767671,15.7821,0.012851,33.4446,0.0223564,-10.3112,0,All
4.32645,0.033306,23.7927,0.0840783,17.1654,0.00428366,35.8302,0.0229775,-9.32026,0,All
4.50437,0.258121,25.0085,0.0852968,18.5488,0.00535457,38.2158,0.0099362,-8.32929,0,All
4.6823,0.158203,26.2243,0.0706745,19.9322,0.00321274,40.6014,0.00869417,-7.33833,0,All
4.86022,0.324733,27.4401,0.0402113,21.3156,0.00214183,42.9869,0.00683113,-6.34737,0,All
5.03814,0.632813,28.6559,0.023152,22.699,0.00214183,45.3725,0.00372607,-5.35641,0,All
5.21607,0.358039,29.8717,0.0109667,24.0823,0.00321274,47.7581,0.00310506,-4.36545,0.00149499,All
5.39399,0.30808,31.0875,0.0121853,25.4657,0,50.1437,0.00248405,-3.37448,0.0164449,All
5.57192,0.199836,32.3032,0.00243705,26.8491,0.00214183,52.5293,0.000621012,-2.38352,0.155479,All
5.74984,0.258121,33.519,0.00365558,28.2325,0,54.9149,0.000621012,-1.39256,0.124084,All
5.92776,0.449631,34.7348,0.00609263,29.6159,0,57.3005,0.00124202,-0.401596,0.143519,All
6.10569,0.424651,35.9506,0.00974821,30.9992,0,59.6861,0,0.589367,0.119599,All
6.28361,0.391345,37.1664,0.00731115,32.3826,0,62.0717,0,1.58033,0.119599,All
6.46153,0.549548,38.3822,0.00243705,33.766,0,64.4573,0.000621012,2.57129,0.142024,All
6.63946,0.349713,39.598,0.00243705,35.1494,0,66.8429,0,3.56225,0.0867096,All
6.81738,0.233142,40.8138,0.00243705,36.5328,0,69.2285,0.000621012,4.55322,0.0508298,All
6.99531,0.0666119,42.0296,0.00243705,37.9161,0.00107091,71.614,0.000621012,5.54418,0.0119599,All
