Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,bias_abscissa,bias_pdf,bias_cdf,split
1.65545,2.22885e-05,1.7476e-06,7.51419,0.000175586,9.08563e-05,1.25656,0.0119859,0.0029803,7.01516,0.000933411,0.000715417,-20.7163,0.00424118,0.00470568,All
1.80096,0.000104134,9.64496e-06,8.02937,0.000394617,0.000231494,1.63385,0.0277238,0.0103022,7.733,0.00186345,0.00169183,-20.4461,0.00508235,0.0059638,All
1.94646,0.000379341,4.11857e-05,8.54454,0.00079965,0.000529278,2.01113,0.0470806,0.0243556,8.45085,0.00330184,0.0035127,-20.1758,0.00599556,0.00745933,All
2.09196,0.00112819,0.000142662,9.05972,0.00148335,0.0011032,2.38842,0.0667264,0.0458597,9.16869,0.00531882,0.00657112,-19.9055,0.00696276,0.00920943,All
2.23747,0.00283844,0.000415762,9.57489,0.00255005,0.00212342,2.76571,0.0842694,0.0744361,9.88653,0.00793,0.0112915,-19.6353,0.00796013,0.0112256,All
2.38297,0.00621207,0.0010491,10.0901,0.00410407,0.00381441,3.14299,0.0984357,0.109019,10.6044,0.0110933,0.0180886,-19.365,0.00895873,0.0135122,All
2.52847,0.0120922,0.00234509,10.6052,0.00623567,0.00645139,3.52028,0.108816,0.148234,11.3222,0.0147161,0.0273282,-19.0947,0.00992566,0.0160652,All
2.67398,0.0213147,0.00473044,11.1204,0.00900761,0.0103495,3.89756,0.115544,0.190667,12.0401,0.0186684,0.0392953,-18.8245,0.0108258,0.0188713,All
2.81948,0.0345235,0.00874174,11.6356,0.0124443,0.0158468,4.27485,0.119044,0.235014,12.7579,0.0227994,0.0541729,-18.5542,0.0116238,0.0219076,All
2.96498,0.0520063,0.014985,12.1508,0.0165258,0.0232825,4.65213,0.119856,0.280157,13.4757,0.0269531,0.0720333,-18.284,0.0122863,0.025142,All
3.11049,0.0735976,0.0240759,12.6659,0.0211864,0.0329738,5.02942,0.118532,0.325186,14.1936,0.0309817,0.0928389,-18.0137,0.0127845,0.0285338,All
3.25599,0.0986722,0.036572,13.1811,0.0263194,0.0451932,5.4067,0.11558,0.369393,14.9114,0.0347552,0.116452,-17.7434,0.0130958,0.0320354,All
3.40149,0.126222,0.0529107,13.6963,0.0317849,0.0601493,5.78399,0.111443,0.41225,15.6293,0.038168,0.14265,-17.4732,0.0132059,0.0355942,All
3.547,0.154993,0.0733629,14.2115,0.0374206,0.0779721,6.16128,0.106491,0.453382,16.3471,0.0411409,0.171144,-17.2029,0.0131096,0.0391549,All
3.6925,0.183637,0.0980084,14.7266,0.0430541,0.0987052,6.53856,0.101019,0.49254,17.0649,0.043622,0.201597,-16.9326,0.0128115,0.0426621,All
3.838,0.210866,0.126734,15.2418,0.0485145,0.122303,6.91585,0.0952621,0.529573,17.7828,0.0455842,0.233647,-16.6624,0.0123253,0.0460629,All
