Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,bias_abscissa,bias_cdf,split
1.65545,0,7.51419,0,1.25656,0.00142857,7.01516,0,-20.7163,0.00142857,All
2.28032,0.00142857,9.81098,0.00142857,1.2691,0.00285714,8.39587,0.00142857,-20.6924,0.00285714,All
2.28211,0.00285714,9.98694,0.00285714,1.42827,0.00428571,8.86214,0.00285714,-20.3994,0.00428571,All
2.31982,0.00428571,10.026,0.00428571,1.53871,0.00571429,9.03198,0.00428571,-20.3192,0.00571429,All
2.34422,0.00571429,10.1399,0.00571429,1.5413,0.00714286,9.03328,0.00571429,-20.1623,0.00714286,All
2.3501,0.00714286,10.3452,0.00714286,1.54407,0.00857143,9.18293,0.00714286,-20.1029,0.00857143,All
2.36957,0.00857143,10.3522,0.00857143,1.56353,0.01,9.28208,0.00857143,-19.2877,0.01,All
2.39468,0.01,10.3883,0.01,1.5773,0.0114286,9.33476,0.01,-19.2087,0.0114286,All
2.39639,0.0114286,10.3999,0.0114286,1.60878,0.0128571,9.40473,0.0114286,-18.9656,0.0128571,All
2.40457,0.0128571,10.4071,0.0128571,1.61277,0.0142857,9.48985,0.0128571,-18.9111,0.0142857,All
2.42096,0.0142857,10.5448,0.0142857,1.63074,0.0157143,9.55435,0.0142857,-18.871,0.0157143,All
2.43249,0.0157143,10.5884,0.0157143,1.64052,0.0171429,9.76963,0.0157143,-18.7808,0.0171429,All
2.44127,0.0171429,10.6045,0.0171429,1.67243,0.0185714,10.0406,0.0171429,-18.5175,0.0185714,All
2.4462,0.0185714,10.7228,0.0185714,1.71102,0.02,10.0842,0.0185714,-18.4963,0.02,All
2.46754,0.02,10.7377,0.02,1.77413,0.0214286,10.109,0.02,-18.3951,0.0214286,All
2.47053,0.0214286,10.8431,0.0214286,1.78651,0.0228571,10.2744,0.0214286,-18.2371,0.0228571,All
2.47069,0.0228571,10.8484,0.0228571,1.78993,0.0242857,10.4226,0.0228571,-18.2039,0.0242857,All
2.48612,0.0242857,11.0218,0.0242857,1.80962,0.0257143,10.4982,0.0242857,-17.9513,0.0257143,All
2.4875,0.0257143,11.0492,0.0257143,1.81754,0.0271429,10.5093,0.0257143,-17.8886,0.0271429,All
2.48854,0.0271429,11.0498,0.0271429,1.82264,0.0285714,10.5141,0.0271429,-17.8446,0.0285714,All
2.49703,0.0285714,11.1159,0.0285714,1.84258,0.03,10.58,0.0285714,-17.7777,0.03,All
2.51209,0.03,11.1233,0.03,1.85143,0.0314286,10.73,0.03,-17.7022,0.0314286,All
2.51794,0.0314286,11.1871,0.0314286,1.85195,0.0328571,10.7309,0.0314286,-17.5688,0.0328571,All
2.52357,0.0328571,11.2043,0.0328571,1.86059,0.0342857,10.7834,0.0328571,-17.546,0.0342857,All
2.52663,0.0342857,11.2204,0.0342857,1.89009,0.0357143,10.8078,0.0342857,-17.5095,0.0357143,All
2.53302,0.0357143,11.271,0.0357143,1.91008,0.0371429,10.8486,0.0357143,-17.3447,0.0371429,All
2.53352,0.0371429,11.3638,0.0371429,1.91173,0.0385714,10.9655,0.0371429,-17.1731,0.0385714,All
2.54118,0.0385714,11.4115,0.0385714,1.92545,0.04,11.0237,0.0385714,-17.1367,0.04,All
2.54228,0.04,11.4579,0.04,1.92982,0.0414286,11.1237,0.04,-17.0692,0.0414286,All
2.55245,0.0414286,11.4579,0.0414286,1.94059,0.0428571,11.1276,0.0414286,-16.9929,0.0428571,All
2.55363,0.0428571,11.4607,0.0428571,1.94111,0.0442857,11.1299,0.0428571,-16.9026,0.0442857,All
2.55758,0.0442857,11.5141,0.0442857,1.97759,0.0457143,11.2189,0.0442857,-16.8766,0.0457143,All
2.56312,0.0457143,11.5426,0.0457143,1.97935,0.0471429,11.2253,0.0457143,-16.8736,0.0471429,All
2.57205,0.0471429,11.5675,0.0471429,1.99231,0.0485714,11.2471,0.0471429,-16.826,0.0485714,All
2.58519,0.0485714,11.6011,0.0485714,2.00233,0.05,11.2964,0.0485714,-16.8209,0.05,All
2.59017,0.05,11.6042,0.05,2.04661,0.0514286,11.3389,0.05,-16.7824,0.0514286,All
2.59164,0.0514286,11.9198,0.0514286,2.04961,0.0528571,11.3881,0.0514286,-16.778,0.0528571,All
2.59165,0.0528571,11.9429,0.0528571,2.07703,0.0542857,11.4009,0.0528571,-16.6893,0.0542857,All
2.59829,0.0542857,11.9429,0.0542857,2.08507,0.0557143,11.4842,0.0542857,-16.6847,0.0557143,All
2.60326,0.0557143,11.9429,0.0557143,2.09279,0.0571429,11.728,0.0557143,-16.6211,0.0571429,All
2.60354,0.0571429,11.9573,0.0571429,2.15178,0.0585714,11.7616,0.0571429,-16.545,0.0585714,All
2.61215,0.0585714,11.9907,0.0585714,2.19041,0.06,11.7806,0.0585714,-16.522,0.06,All
2.63595,0.06,12.1434,0.06,2.19327,0.0614286,11.8494,0.06,-16.3507,0.0614286,All
2.64987,0.0614286,12.2151,0.0614286,2.21056,0.0628571,11.8838,0.0614286,-16.1974,0.0628571,All
2.66215,0.0628571,12.2853,0.0628571,2.21276,0.0642857,11.8866,0.0628571,-16.1889,0.0642857,All
2.66381,0.0642857,12.5014,0.0642857,2.23005,0.0657143,11.9315,0.0642857,-15.997,0.0657143,All
2.6808,0.0657143,12.7198,0.0657143,2.33046,0.0671429,11.9479,0.0657143,-15.6456,0.0671429,All
2.68101,0.0671429,12.934,0.0671429,2.36412,0.0685714,12.0077,0.0671429,-15.2927,0.0685714,All
