simulations,OFV
500,958.756
1000,958.22
1500,957.249
2000,956.682
2500,957.789
3000,958.157
3500,958.341
4000,958.288
4500,958.426
5000,958.424
5500,958.19
6000,957.767
6500,957.756
7000,957.896
7500,957.841
8000,957.905
8500,958.063
9000,957.956
9500,957.81
10000,957.641
10500,957.608
11000,957.55
11500,957.508
12000,957.383
12500,957.394
13000,957.137
13500,957.029
14000,956.95
14500,957.016
15000,957.069
15500,957.072
16000,957.129
16500,957.002
17000,957.033
17500,956.911
18000,956.894
18500,956.913
19000,956.785
19500,956.653
20000,956.559
20500,956.508
21000,956.424
21500,956.38
22000,956.454
22500,956.516
23000,956.403
23500,956.409
24000,956.431
24500,956.512
25000,956.583
25500,956.591
26000,956.636
26500,956.641
27000,956.591
27500,956.628
28000,956.739
28500,956.713
29000,956.747
29500,956.77
30000,956.799
