Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_fi_abscissa,Cl_vs_fi_spline,Cl_vs_fi_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,Q_vs_fi_abscissa,Q_vs_fi_spline,Q_vs_fi_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_fi_abscissa,V1_vs_fi_spline,V1_vs_fi_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_fi_abscissa,V2_vs_fi_spline,V2_vs_fi_regression,fi_vs_Cl_abscissa,fi_vs_Cl_spline,fi_vs_Cl_regression,fi_vs_Q_abscissa,fi_vs_Q_spline,fi_vs_Q_regression,fi_vs_V1_abscissa,fi_vs_V1_spline,fi_vs_V1_regression,fi_vs_V2_abscissa,fi_vs_V2_spline,fi_vs_V2_regression
-1.25596e-07,-0.0219663,-0.0219663,-0.54027,-0.571282,-0.346036,-3.10717,0.137866,0.210968,-0.695345,-0.611136,-0.5032,-0.781574,1.67326e-09,-9.06821e-09,-0.54027,9.09197e-09,-5.03633e-09,-3.10717,-5.99129e-08,-2.12879e-08,-0.695345,-4.87984e-09,-1.01224e-08,-0.781574,-0.221365,-0.316166,-1.25596e-07,-0.00477375,-0.00477375,-3.10717,0.0112013,-0.130796,-0.695345,-0.44499,-0.406161,-0.781574,0.984828,0.869753,-1.25596e-07,-0.217284,-0.217284,-0.54027,-0.0682446,-0.528276,-0.695345,-0.146453,-0.453742,-0.781574,-0.444514,-0.32267,-1.25596e-07,-0.0109438,-0.0109438,-0.54027,-0.433136,-0.283919,-3.10717,-0.127339,-0.0761617
-1.22463e-07,-0.0215835,-0.0215835,-0.529813,-0.547613,-0.339424,-3.04958,0.133194,0.206939,-0.685301,-0.612551,-0.496047,-0.770224,2.00486e-09,-9.00752e-09,-0.529813,8.08174e-09,-5.03421e-09,-3.04958,-5.80171e-08,-2.09859e-08,-0.685301,-4.08598e-09,-1.00475e-08,-0.770224,-0.249547,-0.311597,-1.22463e-07,-0.00476451,-0.00476451,-3.04958,0.0160656,-0.128462,-0.685301,-0.436156,-0.400367,-0.770224,0.903436,0.857178,-1.22463e-07,-0.211336,-0.211336,-0.529813,-0.11459,-0.517737,-0.685301,-0.0946529,-0.447028,-0.770224,-0.460049,-0.317924,-1.22463e-07,-0.0106303,-0.0106303,-0.529813,-0.431617,-0.278356,-3.04958,-0.116419,-0.0747346
-1.1933e-07,-0.0212007,-0.0212007,-0.519356,-0.523944,-0.332812,-2.99199,0.132229,0.20291,-0.675256,-0.61359,-0.488895,-0.758875,2.04066e-09,-8.94684e-09,-0.519356,7.07152e-09,-5.03209e-09,-2.99199,-5.56022e-08,-2.06838e-08,-0.675256,-3.34584e-09,-9.97257e-09,-0.758875,-0.273183,-0.307027,-1.1933e-07,-0.00475526,-0.00475526,-2.99199,0.016688,-0.126129,-0.675256,-0.427508,-0.394574,-0.758875,0.829673,0.844604,-1.1933e-07,-0.205388,-0.205388,-0.519356,-0.160935,-0.507197,-0.675256,-0.0464238,-0.440314,-0.758875,-0.470124,-0.313178,-1.1933e-07,-0.0103167,-0.0103167,-0.519356,-0.430099,-0.272793,-2.99199,-0.110035,-0.0733074
-1.16197e-07,-0.0208178,-0.0208178,-0.508899,-0.502744,-0.3262,-2.9344,0.131575,0.198882,-0.665212,-0.612464,-0.481742,-0.747526,2.02391e-09,-8.88615e-09,-0.508899,6.16252e-09,-5.02997e-09,-2.9344,-5.31436e-08,-2.03817e-08,-0.665212,-2.91477e-09,-9.89765e-09,-0.747526,-0.296012,-0.302458,-1.16197e-07,-0.00474602,-0.00474602,-2.9344,0.0169535,-0.123795,-0.665212,-0.419931,-0.38878,-0.747526,0.757264,0.832029,-1.16197e-07,-0.199441,-0.199441,-0.508899,-0.195089,-0.496657,-0.665212,-0.01874,-0.433601,-0.747526,-0.479229,-0.308432,-1.16197e-07,-0.0100031,-0.0100031,-0.508899,-0.425541,-0.267231,-2.9344,-0.104033,-0.0718803
-1.13064e-07,-0.020435,-0.020435,-0.498441,-0.482987,-0.319588,-2.87682,0.130922,0.194853,-0.655167,-0.611338,-0.474589,-0.736176,1.94794e-09,-8.82546e-09,-0.498441,5.31186e-09,-5.02785e-09,-2.87682,-5.0685e-08,-2.00796e-08,-0.655167,-2.48369e-09,-9.82274e-09,-0.736176,-0.317852,-0.297889,-1.13064e-07,-0.00473677,-0.00473677,-2.87682,0.0172189,-0.121462,-0.655167,-0.412354,-0.382986,-0.736176,0.686582,0.819454,-1.13064e-07,-0.193493,-0.193493,-0.498441,-0.222252,-0.486118,-0.655167,0.00894386,-0.426887,-0.736176,-0.48719,-0.303686,-1.13064e-07,-0.00968958,-0.00968958,-0.498441,-0.419242,-0.261668,-2.87682,-0.0980303,-0.0704531
-1.09931e-07,-0.0200522,-0.0200522,-0.487984,-0.464341,-0.312976,-2.81923,0.130268,0.190825,-0.645123,-0.610212,-0.467436,-0.724827,1.48899e-09,-8.76477e-09,-0.487984,4.5061e-09,-5.02573e-09,-2.81923,-4.82264e-08,-1.97776e-08,-0.645123,-2.05262e-09,-9.74782e-09,-0.724827,-0.333299,-0.29332,-1.09931e-07,-0.00472753,-0.00472753,-2.81923,0.0174843,-0.119129,-0.645123,-0.404778,-0.377192,-0.724827,0.627058,0.806879,-1.09931e-07,-0.187545,-0.187545,-0.487984,-0.244039,-0.475578,-0.645123,0.0366277,-0.420173,-0.724827,-0.487756,-0.29894,-1.09931e-07,-0.00937602,-0.00937602,-0.487984,-0.411605,-0.256105,-2.81923,-0.092028,-0.0690259
-1.06798e-07,-0.0196693,-0.0196693,-0.477527,-0.446567,-0.306364,-2.76164,0.129614,0.186796,-0.635078,-0.609086,-0.460283,-0.713477,1.03005e-09,-8.70409e-09,-0.477527,3.73478e-09,-5.0236e-09,-2.76164,-4.57678e-08,-1.94755e-08,-0.635078,-1.62155e-09,-9.6729e-09,-0.713477,-0.348746,-0.28875,-1.06798e-07,-0.00471828,-0.00471828,-2.76164,0.0177497,-0.116795,-0.635078,-0.397201,-0.371398,-0.713477,0.567534,0.794305,-1.06798e-07,-0.181597,-0.181597,-0.477527,-0.26173,-0.465038,-0.635078,0.0643115,-0.413459,-0.713477,-0.488323,-0.294194,-1.06798e-07,-0.00906245,-0.00906245,-0.477527,-0.402949,-0.250542,-2.76164,-0.0860257,-0.0675988
-1.03665e-07,-0.0192865,-0.0192865,-0.46707,-0.430595,-0.299752,-2.70405,0.128961,0.182767,-0.625034,-0.60796,-0.45313,-0.702128,5.60467e-10,-8.6434e-09,-0.46707,3.03473e-09,-5.02148e-09,-2.70405,-4.33092e-08,-1.91734e-08,-0.625034,-1.19047e-09,-9.59798e-09,-0.702128,-0.363998,-0.284181,-1.03665e-07,-0.00470904,-0.00470904,-2.70405,0.0180151,-0.114462,-0.625034,-0.389624,-0.365604,-0.702128,0.508367,0.78173,-1.03665e-07,-0.175649,-0.175649,-0.46707,-0.270951,-0.454499,-0.625034,0.0919953,-0.406745,-0.702128,-0.488672,-0.289448,-1.03665e-07,-0.00874889,-0.00874889,-0.46707,-0.392187,-0.244979,-2.70405,-0.0800234,-0.0661716
-1.00532e-07,-0.0189037,-0.0189037,-0.456613,-0.414623,-0.29314,-2.64646,0.128307,0.178739,-0.61499,-0.606834,-0.445977,-0.690778,-1.6208e-10,-8.58271e-09,-0.456613,2.33467e-09,-5.01936e-09,-2.64646,-4.08506e-08,-1.88714e-08,-0.61499,-7.59399e-10,-9.52307e-09,-0.690778,-0.37454,-0.279612,-1.00532e-07,-0.00469979,-0.00469979,-2.64646,0.0182805,-0.112128,-0.61499,-0.382048,-0.359811,-0.690778,0.457802,0.769155,-1.00532e-07,-0.169701,-0.169701,-0.456613,-0.280172,-0.443959,-0.61499,0.119679,-0.400031,-0.690778,-0.483823,-0.284703,-1.00532e-07,-0.00843532,-0.00843532,-0.456613,-0.381425,-0.239417,-2.64646,-0.0740211,-0.0647445
-9.73992e-08,-0.0185209,-0.0185209,-0.446156,-0.400868,-0.286528,-2.58888,0.127653,0.17471,-0.604945,-0.605708,-0.438824,-0.679429,-9.82189e-10,-8.52203e-09,-0.446156,1.71927e-09,-5.01724e-09,-2.58888,-3.8392e-08,-1.85693e-08,-0.604945,-3.28325e-10,-9.44815e-09,-0.679429,-0.383068,-0.275043,-9.73992e-08,-0.00469055,-0.00469055,-2.58888,0.0185459,-0.109795,-0.604945,-0.374471,-0.354017,-0.679429,0.411057,0.756581,-9.73992e-08,-0.163753,-0.163753,-0.446156,-0.279459,-0.433419,-0.604945,0.147363,-0.393317,-0.679429,-0.476843,-0.279957,-9.73992e-08,-0.00812176,-0.00812176,-0.446156,-0.3682,-0.233854,-2.58888,-0.0680188,-0.0633173
