rep,ID,eta_fi_simulated,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
0,1,-0.54729,-0.644631,-0.456288,-4.23146e-08,0.233953,All,#4682B4,0
1,1,-0.676744,-0.688777,-0.518847,-6.01472e-08,-0.106683,All,#4682B4,0
2,1,-0.695345,-0.702645,-0.35708,1.2465e-08,0.398276,All,#4682B4,0
3,1,-0.559437,-0.665205,-0.338532,5.46355e-08,0.334248,All,#4682B4,0
4,1,-0.495353,-0.737696,-0.239743,-3.59871e-08,0.683293,All,#4682B4,0
5,1,-0.603789,-0.68119,-0.480936,9.11019e-08,0.159231,All,#4682B4,0
6,1,-0.56867,-0.781574,-0.150943,5.98196e-08,0.74242,All,#4682B4,0
7,1,-0.600456,-0.679143,-0.54027,4.64532e-08,0.309606,All,#4682B4,0
8,1,-0.574385,-0.768512,-0.293684,-2.84807e-11,1.00815,All,#4682B4,0
9,1,-0.572853,-0.695857,-0.431729,-8.86434e-08,0.558135,All,#4682B4,0
0,2,0.0131153,0.220466,-0.0508436,-6.27782e-08,-0.334149,All,#4682B4,0
1,2,-0.036708,0.251804,-0.0249474,-6.43295e-08,-1.11822,All,#4682B4,0
2,2,0.0859221,0.287554,0.0722615,6.3667e-08,1.07826,All,#4682B4,0
3,2,-0.00469086,0.227873,0.125653,-6.66306e-08,-1.10305,All,#4682B4,0
4,2,-0.186389,0.103148,-0.0670902,3.3593e-08,0.5778,All,#4682B4,0
5,2,-0.0764785,0.178165,-0.0811196,-4.71168e-08,-0.71141,All,#4682B4,0
6,2,0.0951378,0.235947,0.0970684,-9.00866e-08,-0.612072,All,#4682B4,0
7,2,0.0391664,0.261205,0.0511423,6.61724e-09,-0.213456,All,#4682B4,0
8,2,0.0170357,0.183339,0.0566131,9.92269e-09,-0.676973,All,#4682B4,0
9,2,-0.0424834,0.256718,-0.108875,7.63674e-09,-1.00378,All,#4682B4,0
0,3,0.0493434,0.271395,0.0941409,1.2759e-08,-0.79877,All,#4682B4,0
1,3,0.0466447,0.208097,0.102109,-5.7712e-09,1.94181,All,#4682B4,0
2,3,-0.00418141,0.187549,0.0391445,-5.4374e-08,1.41267,All,#4682B4,0
3,3,-0.00699076,-0.121825,0.108542,1.84568e-07,2.59404,All,#4682B4,0
