standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,split
-2.47846,0.14769,-2.30931,0.0984546,-1.66494,0.130391,All
-2.1117,0.0632957,-1.91633,0.137836,-1.30887,0.23905,All
-1.74494,0.0632957,-1.52336,0.0393818,-0.952798,0.412904,All
-1.37819,0.126591,-1.13038,0.118146,-0.596725,0.130391,All
-1.01143,0.0632957,-0.7374,0.196909,-0.240653,0.434636,All
-0.644667,0.189887,-0.344422,0.334746,0.115419,0.543295,All
-0.277907,0.379774,0.0485555,0.630109,0.471492,0.347709,All
0.088852,0.759548,0.441533,0.551346,0.827564,0.325977,All
0.455611,0.337577,0.834511,0.374127,1.18364,0.195586,All
0.822371,0.337577,1.22749,0.157527,1.53971,0.130391,All
1.18913,0.29538,1.62047,0.0393818,1.89578,0.0869272,All
1.55589,0.189887,2.01344,0.0787637,2.25185,0.0651954,All
