rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
1,1,-2.64817,-1.9065,0.387115,-1.8988,0
2,1,-2.62185,-0.839331,0.224278,-0.91203,0
3,1,-2.52541,-1.41033,0.594807,-1.42426,0
4,1,-2.55946,-0.616435,0.382503,-0.659675,0
5,1,-2.6835,-2.01024,0.575808,-1.96028,0
6,1,-2.74328,-0.83142,0.451179,-0.896432,0
7,1,-2.55344,-1.47396,0.49316,-1.40948,0
8,1,-2.80799,-0.708647,0.188935,-0.699991,0
9,1,-2.4372,-1.77191,1.20654,-1.73289,0
10,1,-2.77449,-0.931113,-0.187438,-0.900503,0
11,1,-2.71384,-1.54402,0.348822,-1.56666,0
12,1,-2.51713,-0.3973,0.205318,-0.341598,0
13,1,-2.44197,-1.74969,1.00989,-1.68416,0
14,1,-2.48819,-0.98772,0.00704779,-1.07492,0
15,1,-2.59778,-1.43883,0.402972,-1.43197,0
16,1,-2.36673,-0.422868,0.293987,-0.429326,0
17,1,-2.65723,-1.68066,0.145852,-1.65128,0
18,1,-2.53824,-1.13294,0.122162,-0.997612,0
19,1,-2.77723,-1.72567,0.617378,-1.66964,0
20,1,-2.5711,-0.594694,-0.124599,-0.624237,0
21,1,-2.47112,-1.55932,0.78882,-1.58673,0
22,1,-2.50043,-0.754011,0.382488,-0.804285,0
23,1,-2.45683,-1.98363,0.116632,-2.01507,0
24,1,-2.82168,-0.553852,0.275105,-0.532852,0
25,1,-2.6026,-1.36669,0.483526,-1.37066,0
26,1,-2.87486,-0.69118,-0.0606836,-0.728737,0
27,1,-2.5022,-1.70941,0.191193,-1.68406,0
28,1,-2.77012,-0.595304,-0.300732,-0.666566,0
29,1,-2.59393,-1.54321,0.918112,-1.44844,0
30,1,-2.4319,-0.71351,0.721139,-0.749102,0
31,1,-2.4156,-1.74751,0.469654,-1.75739,0
32,1,-2.57323,-0.941604,0.241966,-0.85927,0
33,1,-2.67026,-1.42964,0.200717,-1.47278,0
34,1,-2.719,-0.853838,0.427201,-0.801719,0
35,1,-2.49065,-1.62589,0.383457,-1.65009,0
36,1,-2.46023,-0.850001,-0.146636,-0.83347,0
37,1,-2.53996,-1.40684,0.79366,-1.39209,0
38,1,-2.69173,-0.739433,1.01363,-0.712564,0
39,1,-2.48985,-1.70255,1.19443,-1.79701,0
40,1,-2.79232,-0.904146,-0.433633,-0.916316,0
41,1,-2.65282,-1.22494,0.0776359,-1.22975,0
42,1,-2.51813,-0.915218,0.281332,-0.919648,0
43,1,-2.50826,-1.84643,0.715534,-1.82246,0
44,1,-2.67767,-0.368784,-0.517991,-0.344075,0
45,1,-2.63589,-1.28398,0.407687,-1.30558,0
46,1,-2.64548,-1.30891,0.13971,-1.2984,0
47,1,-2.33379,-1.66748,0.544962,-1.68237,0
48,1,-2.71729,-0.389746,-0.139708,-0.366772,0
49,1,-2.47978,-1.24896,0.456641,-1.27701,0
50,1,-2.48832,-1.30243,0.183534,-1.31514,0
1,2,1.00746,-0.121793,0.553949,-0.148189,0
2,2,0.971428,0.857135,-0.660753,0.876073,0
3,2,1.03572,-0.45462,1.3628,-0.516907,0
4,2,0.867748,0.657652,-0.767627,0.674216,0
5,2,1.10871,0.073286,0.723306,0.0385341,0
6,2,0.963931,0.940099,-0.599058,0.946313,0
7,2,0.932976,-0.689616,1.69516,-0.647717,0
8,2,0.971138,0.537884,0.21739,0.483997,0
9,2,1.18677,0.168734,0.979161,0.154108,0
10,2,1.02966,-0.100438,0.536962,-0.147977,0
11,2,0.873322,-0.685406,0.852573,-0.621891,0
12,2,0.989608,0.35474,-0.29328,0.41633,0
13,2,1.11823,0.0139343,0.700399,0.0677337,0
14,2,1.16849,0.0252182,0.930843,-0.0110625,0
15,2,0.965089,-0.333689,0.859208,-0.37577,0
16,2,0.840142,0.317258,-0.100839,0.30584,0
17,2,0.978656,-0.108487,0.521187,-0.187193,0
18,2,1.04501,0.0399811,0.420378,0.0238139,0
19,2,0.988363,-0.349428,0.381859,-0.47095,0
20,2,1.05868,0.274873,-0.0711093,0.254242,0
21,2,0.979566,0.689123,0.0580395,0.688756,0
22,2,0.999906,0.0744383,0.668941,0.0911782,0
23,2,1.10159,-0.45601,1.25038,-0.440341,0
24,2,0.839245,0.399924,-0.475138,0.411303,0
25,2,0.997722,0.860789,-0.449623,0.898243,0
26,2,0.978768,0.02045,0.443353,-0.00269729,0
27,2,0.906575,0.563888,-0.400017,0.621549,0
28,2,0.895964,0.616349,-0.552435,0.54212,0
29,2,0.87221,0.848457,-0.591698,0.837677,0
30,2,0.972711,0.133398,0.603923,0.0941727,0
31,2,0.797188,0.610562,-0.559817,0.594463,0
32,2,0.697697,0.401379,-0.415323,0.455589,0
33,2,1.05607,0.549331,-0.141101,0.525812,0
34,2,1.08794,-0.0618863,0.739222,-0.0532294,0
35,2,0.840644,0.655101,-0.393149,0.5902,0
36,2,0.78772,0.239764,-0.0890483,0.190545,0
37,2,0.996435,0.532774,0.199473,0.549315,0
38,2,0.972531,-0.0224626,0.533219,-0.0786261,0
39,2,0.986518,0.665198,-0.111297,0.73348,0
40,2,1.11971,0.262933,0.493631,0.220716,0
41,2,0.946554,0.188791,0.0378031,0.155191,0
42,2,1.06815,-0.152128,0.526305,-0.156059,0
43,2,0.957231,0.825091,-0.491169,0.817818,0
44,2,1.01188,-0.152109,0.911841,-0.180786,0
45,2,1.00693,0.239111,0.0683112,0.233154,0
46,2,1.16787,-0.413533,1.61542,-0.424599,0
47,2,0.84001,0.684757,-0.493198,0.591866,0
48,2,0.991903,-0.519009,1.36487,-0.460089,0
49,2,1.15551,0.167202,0.578983,0.170762,0
50,2,0.853281,-0.465261,0.84597,-0.469124,0
1,3,0.720169,-0.127483,0.637197,-0.173482,0
