time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-60,0,0,0,0,0,0,0,0,0,0,0,All
-59.7129,6.22859,3.4777,4.65704,5.2221,5.64054,6.03499,6.43271,6.85727,7.37116,8.01987,9.26198,All
-59.4257,11.5641,6.44521,8.72049,9.74078,10.4912,11.1955,11.9072,12.7067,13.5668,14.7352,16.8604,All
-59.1386,16.1595,9.0606,12.3278,13.6944,14.7291,15.7019,16.6377,17.7022,18.8534,20.3935,23.1482,All
-58.8514,20.1752,11.3918,15.4675,17.1779,18.453,19.6378,20.7838,22.0305,23.4767,25.2824,28.6257,All
-58.5643,23.7622,13.3541,18.3264,20.2456,21.7648,23.0977,24.446,25.8064,27.5525,29.6002,33.4509,All
-58.2771,26.9232,15.1462,20.8817,23.0304,24.7376,26.234,27.6799,29.1642,31.1389,33.4298,37.6513,All
-57.99,29.5444,16.7059,23.0148,25.3085,27.1688,28.7999,30.3022,31.9841,34.0166,36.5943,41.1619,All
-57.7028,25.8217,17.1216,20.3757,22.19,23.7253,25.1669,26.5251,28.0116,29.6993,32.0861,35.9077,All
-57.4157,22.903,16.3538,18.4453,19.7714,21.0495,22.2981,23.4979,24.8473,26.4008,28.4119,32.0846,All
-57.1285,20.5607,15.1803,16.8455,17.9986,19.0211,20.0337,21.0998,22.3455,23.7142,25.4716,28.8463,All
-56.8414,18.7621,13.902,15.4157,16.4463,17.3847,18.2966,19.2572,20.3035,21.5407,23.2109,26.4508,All
-56.5542,17.1985,12.6353,14.1045,15.1006,15.9356,16.7763,17.6783,18.6873,19.8833,21.4577,24.5849,All
-56.2671,15.8643,11.4569,12.9543,13.8823,14.6966,15.4601,16.2847,17.2275,18.378,20.1585,23.4004,All
-55.9799,14.6883,10.3938,11.926,12.837,13.6142,14.3435,15.0658,15.9516,17.0302,18.8928,22.582,All
-55.6928,13.7043,9.47829,11.0253,11.8883,12.661,13.3883,14.015,14.7832,15.8428,17.4349,20.6103,All
-55.4056,12.8348,8.59947,10.1831,11.1016,11.8397,12.5387,13.1349,13.8535,14.7716,16.1699,18.895,All
-55.1185,12.0824,7.8685,9.45258,10.3841,11.1031,11.7509,12.3624,13.0188,13.8722,15.0949,17.5306,All
-54.8313,11.3691,7.22902,8.79806,9.71838,10.4386,11.0702,11.7013,12.3098,13.0807,14.2199,16.3686,All
-54.5442,10.7631,6.65635,8.15626,9.11467,9.85373,10.4455,11.0692,11.6776,12.4235,13.4357,15.431,All
-54.257,10.2135,6.12,7.63735,8.55998,9.29847,9.90228,10.52,11.1422,11.8381,12.7699,14.5899,All
-53.9699,9.71226,5.65319,7.1401,8.09607,8.81025,9.40348,9.99757,10.643,11.3133,12.2056,13.8379,All
-53.6827,9.25938,5.2418,6.71814,7.65667,8.34517,8.96081,9.55613,10.1683,10.827,11.6809,13.2346,All
-53.3956,8.84188,4.85266,6.32702,7.25896,7.93222,8.5601,9.1219,9.74162,10.3906,11.2046,12.7329,All
-53.1084,8.46249,4.53564,5.95404,6.87718,7.55403,8.17081,8.73695,9.33999,9.99761,10.8092,12.2944,All
-52.8213,8.11553,4.25083,5.62347,6.52945,7.20228,7.81225,8.38202,8.97205,9.62684,10.4479,11.8485,All
-52.5341,7.77434,4.00387,5.34068,6.20008,6.87999,7.4939,8.06054,8.64078,9.29083,10.0991,11.4739,All
-52.247,7.46769,3.76624,5.05294,5.90845,6.57697,7.19406,7.76185,8.33111,8.97597,9.78714,11.1069,All
-51.9598,7.18574,3.5399,4.81091,5.63881,6.30284,6.90667,7.4716,8.02704,8.68997,9.48741,10.7753,All
-51.6727,6.9098,3.34242,4.57764,5.40071,6.03969,6.65355,7.20605,7.75313,8.42778,9.21428,10.4638,All
