Cl_pop,0.12475,-0.013558,0.027756,-0.011974,-0.00016569,-0.00029154,-3.291e-5,0.0012535,0.00021317,-5.9036e-5,1.5326e-7
V1_pop,-0.013558,3.0418,-1.1677,4.3731,-0.00070429,0.011984,0.0013069,-0.065151,-0.0044103,-0.0010188,0.0017809
Q_pop,0.027756,-1.1677,2.9765,-0.96564,0.0022072,-0.021049,-0.0022276,0.095853,0.025734,0.00028347,-0.002044
V2_pop,-0.011974,4.3731,-0.96564,7.8079,0.0014313,-0.03244,-0.00034523,0.039802,-0.0033963,-0.002143,0.0018595
omega_Cl,-0.00016569,-0.00070429,0.0022072,0.0014313,0.0024203,-0.00015736,-5.6545e-6,0.00039699,-2.4224e-5,1.8886e-5,-1.1489e-5
omega_V1,-0.00029154,0.011984,-0.021049,-0.03244,-0.00015736,0.005735,0.00011448,-0.0072446,0.0043943,6.4567e-5,-3.6931e-5
corr_V2_V1,-3.291e-5,0.0013069,-0.0022276,-0.00034523,-5.6545e-6,0.00011448,1.1161e-5,-0.00025534,2.2273e-5,1.3634e-6,3.1519e-6
omega_Q,0.0012535,-0.065151,0.095853,0.039802,0.00039699,-0.0072446,-0.00025534,0.041708,-0.0015157,-6.6357e-5,-0.00011625
omega_V2,0.00021317,-0.0044103,0.025734,-0.0033963,-2.4224e-5,0.0043943,2.2273e-5,-0.0015157,0.0062414,4.736e-5,-8.8611e-5
a1,-5.9036e-5,-0.0010188,0.00028347,-0.002143,1.8886e-5,6.4567e-5,1.3634e-6,-6.6357e-5,4.736e-5,0.00051843,-1.3397e-5
a2,1.5326e-7,0.0017809,-0.002044,0.0018595,-1.1489e-5,-3.6931e-5,3.1519e-6,-0.00011625,-8.8611e-5,-1.3397e-5,4.1552e-5
