trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
97.5,1.13003,1.4326,52,1.45283,1.51915,-0.389961,1.11502,1.39507,97.5,2.07439,1.84758,52,1.60647,1.77092,-0.389961,2.07906,1.85926,97.5,2.80282,3.02277,52,2.95594,2.96684,-0.389961,2.79846,3.01186,97.5,3.4241,3.25653,52,3.51958,3.35992,-0.389961,3.42663,3.26286,All
98.5172,1.24297,1.43696,52.3232,1.49155,1.52276,-0.382795,1.19451,1.39974,98.5172,2.05443,1.84633,52.3232,1.81298,1.77155,-0.382795,2.06493,1.8579,98.5172,2.8884,3.02276,52.3232,2.96918,2.96863,-0.382795,2.85829,3.01207,98.5172,3.36673,3.25618,52.3232,3.47945,3.35608,-0.382795,3.3865,3.26241,All
99.5343,1.35592,1.44132,52.6465,1.53026,1.52637,-0.375629,1.27401,1.40441,99.5343,2.03447,1.84508,52.6465,2.0195,1.77218,-0.375629,2.0508,1.85654,99.5343,2.97397,3.02276,52.6465,2.98243,2.97042,-0.375629,2.91811,3.01229,99.5343,3.30935,3.25582,52.6465,3.43932,3.35225,-0.375629,3.34637,3.26197,All
100.552,1.46886,1.44569,52.9697,1.56898,1.52998,-0.368463,1.3535,1.40908,100.552,2.01451,1.84383,52.9697,2.22601,1.77281,-0.368463,2.03667,1.85519,100.552,3.05955,3.02276,52.9697,2.99567,2.97222,-0.368463,2.97794,3.0125,100.552,3.25198,3.25547,52.9697,3.39919,3.34841,-0.368463,3.30624,3.26152,All
101.569,1.49236,1.45005,53.2929,1.5951,1.53359,-0.361297,1.433,1.41376,101.569,2.0012,1.84258,53.2929,2.16088,1.77344,-0.361297,2.02255,1.85383,101.569,3.07147,3.02276,53.2929,3.0176,2.97401,-0.361297,3.03776,3.01271,101.569,3.23802,3.25511,53.2929,3.37726,3.34457,-0.361297,3.26611,3.26108,All
102.586,1.50057,1.45441,53.6162,1.61992,1.5372,-0.354131,1.47653,1.41843,102.586,1.98902,1.84133,53.6162,2.06766,1.77407,-0.354131,2.01089,1.85247,102.586,3.0708,3.02275,53.6162,3.04043,2.9758,-0.354131,3.06787,3.01293,102.586,3.23149,3.25476,53.6162,3.3572,3.34073,-0.354131,3.24338,3.26063,All
103.603,1.50878,1.45878,53.9394,1.64475,1.54082,-0.346966,1.48315,1.4231,103.603,1.97684,1.84008,53.9394,1.97444,1.7747,-0.346966,2.00177,1.85112,103.603,3.07013,3.02275,53.9394,3.06325,2.97759,-0.346966,3.06746,3.01314,103.603,3.22495,3.2544,53.9394,3.33715,3.33689,-0.346966,3.2385,3.26019,All
104.62,1.51698,1.46314,54.2626,1.66957,1.54443,-0.3398,1.48976,1.42777,104.62,1.96466,1.83883,54.2626,1.88121,1.77533,-0.3398,1.99265,1.84976,104.62,3.06946,3.02275,54.2626,3.08607,2.97938,-0.3398,3.06706,3.01335,104.62,3.21841,3.25405,54.2626,3.3171,3.33305,-0.3398,3.23362,3.25974,All
105.637,1.52519,1.4675,54.5859,1.69439,1.54804,-0.332634,1.49638,1.43245,105.637,1.95248,1.83758,54.5859,1.78799,1.77596,-0.332634,1.98353,1.8484,105.637,3.06879,3.02275,54.5859,3.1089,2.98117,-0.332634,3.06665,3.01357,105.637,3.21187,3.25369,54.5859,3.29705,3.32921,-0.332634,3.22875,3.2593,All
106.655,1.5334,1.47186,54.9091,1.71921,1.55165,-0.325468,1.503,1.43712,106.655,1.94031,1.83633,54.9091,1.69476,1.77659,-0.325468,1.97441,1.84705,106.655,3.06812,3.02274,54.9091,3.13172,2.98296,-0.325468,3.06624,3.01378,106.655,3.20533,3.25333,54.9091,3.27699,3.32538,-0.325468,3.22387,3.25885,All
107.672,1.54161,1.47623,55.2323,1.69208,1.55526,-0.318302,1.50961,1.44179,107.672,1.92813,1.83508,55.2323,1.66869,1.77721,-0.318302,1.96529,1.84569,107.672,3.06745,3.02274,55.2323,3.09232,2.98476,-0.318302,3.06584,3.01399,107.672,3.1988,3.25298,55.2323,3.25521,3.32154,-0.318302,3.219,3.25841,All
108.689,1.55376,1.48059,55.5556,1.64463,1.55887,-0.311136,1.51623,1.44646,108.689,1.86948,1.83383,55.5556,1.66889,1.77784,-0.311136,1.95617,1.84433,108.689,3.07077,3.02274,55.5556,3.02857,2.98655,-0.311136,3.06543,3.01421,108.689,3.1911,3.25262,55.5556,3.23274,3.3177,-0.311136,3.21412,3.25796,All
109.706,1.56705,1.48495,55.8788,1.59718,1.56248,-0.30397,1.52285,1.45114,109.706,1.79739,1.83258,55.8788,1.66909,1.77847,-0.30397,1.94705,1.84297,109.706,3.07525,3.02274,55.8788,2.96481,2.98834,-0.30397,3.06503,3.01442,109.706,3.18307,3.25227,55.8788,3.21028,3.31386,-0.30397,3.20925,3.25752,All
110.723,1.58035,1.48931,56.202,1.54973,1.56609,-0.296804,1.52946,1.45581,110.723,1.7253,1.83133,56.202,1.66929,1.7791,-0.296804,1.93793,1.84162,110.723,3.07972,3.02274,56.202,2.90106,2.99013,-0.296804,3.06462,3.01463,110.723,3.17504,3.25191,56.202,3.18782,3.31002,-0.296804,3.20437,3.25707,All
111.74,1.59364,1.49368,56.5253,1.50228,1.56971,-0.289638,1.53608,1.46048,111.74,1.65321,1.83008,56.5253,1.66949,1.77973,-0.289638,1.92881,1.84026,111.74,3.0842,3.02273,56.5253,2.83731,2.99192,-0.289638,3.06421,3.01485,111.74,3.16701,3.25156,56.5253,3.16536,3.30618,-0.289638,3.1995,3.25663,All
112.758,1.60693,1.49804,56.8485,1.45483,1.57332,-0.282472,1.54656,1.46515,112.758,1.58112,1.82883,56.8485,1.66969,1.78036,-0.282472,1.87791,1.8389,112.758,3.08867,3.02273,56.8485,2.77355,2.99371,-0.282472,3.0673,3.01506,112.758,3.15898,3.2512,56.8485,3.14289,3.30234,-0.282472,3.19323,3.25618,All
113.775,1.62023,1.5024,57.1717,1.44989,1.57693,-0.275306,1.55768,1.46983,113.775,1.50903,1.82758,57.1717,1.6542,1.78099,-0.275306,1.82,1.83755,113.775,3.09315,3.02273,57.1717,2.76627,2.9955,-0.275306,3.07097,3.01527,113.775,3.15094,3.25085,57.1717,3.14063,3.29851,-0.275306,3.18673,3.25574,All
114.792,1.63352,1.50676,57.4949,1.48246,1.58054,-0.268141,1.5688,1.4745,114.792,1.43694,1.82633,57.4949,1.62486,1.78162,-0.268141,1.76209,1.83619,114.792,3.09762,3.02273,57.4949,2.80883,2.9973,-0.268141,3.07464,3.01549,114.792,3.14291,3.25049,57.4949,3.15621,3.29467,-0.268141,3.18023,3.25529,All
