iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
1,1232.9,1,10.2275,11.1604,43.2233,60.344,1,1,0.3,0.3,0.8,1,1,1,1,1
2,1213.09,1,11.3456,11.5623,49.1679,76.3417,0.95,0.95,0.285,0.285,0.962269,0.974679,1.22632,0.974679,1.00394,0.974679
3,1186.93,1,11.5486,10.0203,51.3634,67.524,0.9025,0.9025,0.27075,0.27075,0.93521,0.95,1.2052,0.95,0.998223,0.95
4,1177.32,1,11.4517,9.57871,50.7741,58.7697,0.857375,0.857375,0.257212,0.257212,0.90604,0.925945,1.17469,0.925945,1.06273,0.925945
5,1162.36,1,11.5747,8.62589,53.5448,58.099,0.814506,0.814506,0.244352,0.244352,0.926418,0.9025,1.19221,0.9025,1.03582,0.9025
6,1133.68,1,11.508,9.80716,50.4026,60.2784,0.773781,0.773781,0.232134,0.232134,0.945887,0.879648,1.16202,0.879648,1.04803,0.879648
7,1122.84,1,11.2527,9.02042,52.1529,59.042,0.735092,0.735092,0.220528,0.220528,0.952161,0.857375,1.14708,0.857375,1.11603,0.857375
8,1111.9,1,11.1852,9.90517,50.7493,61.4567,0.698337,0.698337,0.209501,0.209501,0.95923,0.835666,1.11804,0.835666,1.08777,0.835666
9,1088.39,1,11.3346,9.78627,49.9761,73.7413,0.66342,0.66342,0.199026,0.199026,0.952899,0.814506,1.10838,0.814506,1.06023,0.814506
10,1058.29,1,11.058,9.71242,49.9247,72.7396,0.630249,0.630249,0.189075,0.189075,0.945423,0.793882,1.08032,0.793882,1.03338,0.793882
11,1048.74,1,11.0483,10.4598,52.0447,70.7796,0.598737,0.598737,0.179621,0.179621,0.946572,0.773781,1.05296,0.773781,1.00721,0.773781
12,1033.97,1,11.1082,9.62413,50.8827,60.7701,0.5688,0.5688,0.17064,0.17064,0.932691,0.754188,1.0263,0.754188,1.00407,0.754188
13,1019.82,1,11.2012,8.78231,52.6288,63.9437,0.54036,0.54036,0.162108,0.162108,0.950282,0.735092,1.09857,0.735092,1.00831,0.735092
14,1005.83,1,11.2215,9.37562,48.8567,68.2382,0.513342,0.513342,0.154003,0.154003,0.965024,0.716479,1.19849,0.716479,0.982775,0.716479
15,988.017,1,11.1869,11.4097,51.628,83.6162,0.487675,0.487675,0.146302,0.146302,0.963587,0.698337,1.23287,0.698337,0.95789,0.698337
16,981.166,1,11.2161,10.3851,51.8763,79.8502,0.463291,0.463291,0.138987,0.138987,0.960426,0.680655,1.20321,0.680655,0.933636,0.680655
17,956.077,1,11.047,9.98841,50.322,74.639,0.440127,0.440127,0.132038,0.132038,0.95135,0.66342,1.22684,0.66342,0.920418,0.66342
18,954.256,1,11.1343,9.21014,51.4662,62.7522,0.41812,0.41812,0.125436,0.125436,0.952539,0.646622,1.24311,0.646622,0.971019,0.646622
19,951.695,1,11.1893,8.37001,49.3335,58.2878,0.397214,0.403217,0.119164,0.125308,0.968758,0.630249,1.31953,0.630249,0.946432,0.630249
20,939.655,1,11.232,8.41976,49.4609,66.7598,0.377354,0.348317,0.113206,0.12791,0.95128,0.614291,1.28848,0.614291,1.00589,0.614291
21,927.578,1,11.2372,8.54986,50.5121,65.8701,0.151839,0.402438,0.121498,0.125391,0.955049,0.598737,1.25586,0.598737,0.980418,0.598737
22,917.061,1,11.1349,9.85648,50.1243,72.9416,2.22045e-16,0.437349,0.128125,0.11989,0.971622,0.583577,1.22406,0.583577,0.956332,0.583577
23,912.943,1,11.0685,10.8303,49.7955,76.0264,2.22045e-16,0.489672,0.124879,0.117551,0.968422,0.5688,1.19306,0.5688,1.04188,0.5688
24,912.42,1,11.076,11.9971,50.3344,82.2708,2.22045e-16,0.490175,0.122904,0.116989,0.978392,0.554398,1.16454,0.554398,1.07758,0.554398
25,900.94,1,11.061,12.1377,50.5102,75.0303,2.22045e-16,0.477453,0.120471,0.120006,0.966284,0.54036,1.13505,0.54036,1.0503,0.54036
26,896.199,1,11.0192,12.6175,49.2753,76.6685,2.22045e-16,0.444918,0.120157,0.12129,0.964021,0.526678,1.10631,0.526678,1.0237,0.526678
27,894.018,1,11.0636,12.8002,48.4682,74.6018,2.22045e-16,0.427122,0.122821,0.120228,0.961708,0.513342,1.0783,0.513342,0.997782,0.513342
28,895.732,1,11.0678,13.0582,49.2716,77.0293,2.22045e-16,0.435762,0.123379,0.119863,0.977729,0.500344,1.05099,0.500344,0.972518,0.500344
29,888.729,1,11.0377,12.8671,49.6791,77.6442,2.22045e-16,0.522647,0.119011,0.113502,0.964302,0.487675,1.06634,0.487675,0.985084,0.487675
30,883.698,1,11.0288,12.6287,48.7821,78.8627,2.22045e-16,0.491346,0.116437,0.115068,0.975425,0.475327,1.08267,0.475327,0.962204,0.475327
31,888.912,1,11.0222,11.7214,49.1488,76.1244,2.22045e-16,0.472657,0.121608,0.118274,0.965405,0.463291,1.05525,0.463291,0.937841,0.463291
32,891.923,1,11.0775,11.4458,49.2767,82.7206,2.22045e-16,0.424209,0.124107,0.120473,0.968276,0.45156,1.1297,0.45156,1.0025,0.45156
33,887.072,1,11.0005,12.2454,49.1547,86.0406,2.22045e-16,0.379508,0.12397,0.121926,0.966402,0.440127,1.13741,0.440127,0.987272,0.440127
34,880.015,1,11.0669,12.3372,48.9561,87.781,2.10942e-16,0.437207,0.117771,0.126741,0.962026,0.428982,1.10861,0.428982,0.962273,0.428982
35,884.201,1,11.033,12.7132,48.0005,81.8473,2.22045e-16,0.462192,0.116016,0.124611,0.969977,0.41812,1.08054,0.41812,0.9896,0.41812
36,882.901,1,10.9963,11.7638,47.954,80.7547,2.22045e-16,0.368595,0.118673,0.128911,0.958684,0.407533,1.05318,0.407533,0.964543,0.407533
37,877.586,1,10.9574,11.4948,48.3302,92.7065,2.22045e-16,0.32161,0.116789,0.136242,0.951017,0.397214,1.02651,0.397214,1.03342,0.397214
38,883.48,1,11.0148,11.3881,48.7063,84.8923,2.22045e-16,0.350035,0.121945,0.132453,0.963261,0.387157,1.07129,0.387157,1.00726,0.387157
39,874.817,1,10.9042,11.1677,48.2197,80.3103,2.22045e-16,0.466531,0.118458,0.122327,0.948269,0.377354,1.04417,0.377354,0.987711,0.377354
40,876.921,1,10.8595,11.3276,48.0705,85.2477,2.22045e-16,0.425809,0.121945,0.126737,0.945698,0.367799,1.01773,0.367799,0.973101,0.367799
41,869.905,1,10.8424,12.7636,49.0759,86.8695,2.22045e-16,0.442409,0.11727,0.123284,0.962416,0.358486,0.991958,0.358486,0.964319,0.358486
42,876.848,1,10.8799,13.5535,47.5211,89.4391,2.22045e-16,0.465616,0.1192,0.124505,0.954522,0.349409,1.07556,0.349409,1.01793,0.349409
43,867.231,1,10.8277,13.242,48.5612,96.2399,2.22045e-16,0.492235,0.116084,0.121073,0.966803,0.340562,1.04833,0.340562,1.03198,0.340562
44,864.791,1,10.8502,13.8908,49.1721,98.4627,2.22045e-16,0.50208,0.116492,0.120224,0.970223,0.331938,1.02178,0.331938,1.00966,0.331938
45,866.312,1,10.8219,12.199,49.5873,95.2439,2.22045e-16,0.385304,0.124216,0.124564,0.964463,0.323534,0.995911,0.323534,1.07721,0.323534
46,869.478,1,10.7924,12.0678,51.4523,93.2915,2.22045e-16,0.394452,0.122612,0.128371,0.962424,0.315341,0.970694,0.315341,1.12823,0.315341
47,859.62,1,10.7556,11.0817,51.7996,98.0607,2.22045e-16,0.414379,0.119863,0.121962,0.968523,0.307357,0.946115,0.307357,1.10582,0.307357
48,852.861,1,10.7706,10.0539,51.0569,95.4397,2.22045e-16,0.371156,0.121153,0.119587,0.969508,0.299574,0.922159,0.299574,1.09455,0.299574
49,855.755,1,10.7719,10.0216,50.37,92.3725,2.22045e-16,0.358016,0.120277,0.123905,0.962271,0.291989,0.931255,0.291989,1.06684,0.291989
50,854.01,1,10.9004,10.5356,51.4639,91.4412,2.22045e-16,0.339918,0.120555,0.126878,0.960453,0.284596,0.929818,0.284596,1.08638,0.284596
51,852.544,1,10.8985,10.1207,51.6616,97.0204,2.22045e-16,0.382832,0.117386,0.127182,0.987569,0.27739,0.906274,0.27739,1.12929,0.27739
52,847.008,1,10.8238,10.718,50.431,96.4405,2.22045e-16,0.441711,0.114434,0.121842,0.971451,0.270366,0.928305,0.270366,1.10305,0.270366
53,841.395,1,10.866,11.536,49.4569,94.9859,2.22045e-16,0.427466,0.114521,0.120655,0.968203,0.26352,0.918556,0.26352,1.08021,0.26352
54,839.636,1,10.8397,10.7843,49.5056,95.6056,2.22045e-16,0.487011,0.114888,0.117003,0.971221,0.256848,0.901777,0.256848,1.05286,0.256848
55,829.239,1,10.9224,11.5575,50.7696,90.0478,2.22045e-16,0.466719,0.116321,0.113624,0.95413,0.250344,0.883022,0.250344,1.0262,0.250344
56,837.325,1,10.8284,11.9867,49.4656,89.5305,2.22045e-16,0.441239,0.115877,0.119515,0.964689,0.244005,0.906908,0.244005,1.02583,0.244005
57,836.944,1,10.8692,11.356,48.8496,85.8377,2.22045e-16,0.424208,0.113367,0.127034,0.96444,0.237827,0.883944,0.237827,1.08337,0.237827
58,840.729,1,10.8562,11.1688,49.7283,87.6267,2.22045e-16,0.447841,0.114352,0.126789,0.958508,0.231805,0.95496,0.231805,1.07443,0.231805
59,842.356,1,10.8786,11.0018,49.2434,86.5083,2.22045e-16,0.452141,0.11492,0.124014,0.963415,0.225936,0.965323,0.225936,1.10587,0.225936
60,843.168,1,10.8482,11.539,49.0353,90.4321,2.22045e-16,0.549119,0.115305,0.116581,0.962705,0.220215,0.94088,0.220215,1.10894,0.220215
61,837.563,1,10.8321,12.2063,48.9586,89.6986,2.22045e-16,0.486861,0.113955,0.121586,0.962708,0.214639,0.922145,0.214639,1.1418,0.214639
62,831.916,1,10.9915,12.3664,49.7721,88.7917,2.22045e-16,0.461615,0.11344,0.122828,0.969979,0.209204,0.898796,0.214448,1.11289,0.209204
63,839.177,1,10.829,11.8692,48.9242,97.0128,2.22045e-16,0.45555,0.116339,0.125262,0.970269,0.203907,0.876038,0.209018,1.08471,0.203907
64,838.817,1,10.9228,11.2205,49.6286,91.8928,2.22045e-16,0.45931,0.114268,0.130756,0.975928,0.198744,0.853856,0.203725,1.08411,0.198744
65,825.896,1,10.8979,11.3709,49.3767,94.5418,2.22045e-16,0.560214,0.109715,0.117904,0.98032,0.193711,0.864358,0.198567,1.15654,0.193711
66,822.991,1,10.8987,12.8066,50.0096,88.6805,2.22045e-16,0.605181,0.110948,0.112502,0.96776,0.188807,0.878145,0.193539,1.18418,0.188807
67,830.371,1,10.872,12.5089,49.2705,88.0899,2.22045e-16,0.563197,0.114809,0.117604,0.963482,0.184026,0.862514,0.192417,1.1542,0.184026
68,820.707,1,10.8834,12.4523,49.0287,89.038,2.22045e-16,0.59063,0.112864,0.111661,0.968398,0.179366,0.847757,0.187545,1.12497,0.179366
69,828.388,1,10.9163,10.9871,50.2882,93.3956,2.22045e-16,0.477638,0.118854,0.117282,0.973306,0.174825,0.91396,0.191917,1.09649,0.174825
70,839.467,1,10.9812,10.577,50.497,89.1088,2.22045e-16,0.473567,0.122094,0.12291,0.974445,0.170398,0.913382,0.202662,1.06872,0.170398
71,831.021,1,10.9874,11.039,50.9454,85.8168,2.22045e-16,0.456024,0.121218,0.119881,0.964475,0.166083,0.894313,0.197531,1.05871,0.166083
72,815.783,1,11.0008,10.8876,51.3082,87.2096,2.10942e-16,0.42206,0.115158,0.120124,0.969676,0.161878,0.951387,0.192529,1.06589,0.161878
73,819.668,1,11.1544,12.4166,50.8976,81.7259,2.22045e-16,0.441619,0.117712,0.122002,0.960533,0.157779,0.927298,0.187654,1.05357,0.163743
74,825.139,1,11.011,12.2766,50.9666,87.7583,2.22045e-16,0.433826,0.121197,0.12371,0.957051,0.153784,0.903818,0.182903,1.02702,0.159597
75,817.592,1,11.1357,11.9346,50.4686,84.0362,2.22045e-16,0.577076,0.11987,0.110325,0.967839,0.14989,0.880933,0.178271,1.00102,0.155556
76,809.508,1,11.0559,11.8529,50.707,82.5196,2.22045e-16,0.522865,0.114486,0.114578,0.97389,0.146095,0.912951,0.173757,0.976463,0.151617
77,808.644,1,11.1831,11.4494,50.6208,80.9784,2.22045e-16,0.514813,0.115387,0.116089,0.980841,0.142396,0.889834,0.169358,0.977015,0.147847
78,806.01,1,11.2065,11.2709,52.1275,87.2043,2.22045e-16,0.510751,0.115621,0.115114,0.982556,0.13879,0.869674,0.16507,0.952277,0.15366
79,804.839,1,11.1734,11.1289,51.3136,85.6297,2.22045e-16,0.43794,0.116697,0.118677,0.981203,0.135276,0.860144,0.16089,0.970331,0.16374
80,807.505,1,11.2481,10.8963,52.475,82.2413,2.22045e-16,0.467737,0.11544,0.117085,0.982017,0.131851,0.899556,0.159801,0.989937,0.163772
81,810.254,1,11.1594,9.90105,51.7259,82.7194,2.22045e-16,0.472376,0.116806,0.117383,0.982343,0.128512,0.876779,0.158666,1.0666,0.159625
82,813.287,1,11.1424,10.5255,51.7545,80.2021,2.22045e-16,0.613022,0.116246,0.10851,0.969228,0.125258,0.913986,0.157062,1.06502,0.155583
83,812.87,1,11.1604,9.89634,51.9969,72.1738,2.22045e-16,0.566326,0.119136,0.110027,0.964242,0.122087,0.947784,0.153086,1.03805,0.168676
84,813.104,1,11.2026,10.0977,51.943,68.851,2.22045e-16,0.469726,0.118973,0.117693,0.964929,0.118995,0.97619,0.149209,1.03607,0.164405
85,807.891,1,11.1343,9.46211,51.0439,72.6512,2.22045e-16,0.533635,0.113692,0.116907,0.959913,0.115982,0.951473,0.151768,1.01853,0.160242
86,808.989,1,11.2116,9.30897,50.4044,66.3732,2.22045e-16,0.581873,0.116173,0.111867,0.967317,0.113045,0.927381,0.147925,1.05007,0.156184
87,808.342,1,11.2472,9.8815,50.7265,64.949,2.22045e-16,0.543281,0.119894,0.111155,0.961478,0.112884,0.903899,0.14418,1.04644,0.15223
88,806.383,1,11.3406,10.873,51.6072,61.5564,2.22045e-16,0.603412,0.120213,0.104686,0.974656,0.115641,0.881012,0.140529,1.01994,0.148375
89,803.935,1,11.2629,11.18,50.7969,61.2578,2.10942e-16,0.554544,0.114203,0.113115,0.977467,0.112713,0.90778,0.136971,0.994115,0.153398
90,810.398,1,11.2083,11.7037,49.2694,59.9118,2.22045e-16,0.56117,0.116342,0.112604,0.967793,0.109895,0.903152,0.133691,1.01848,0.156301
91,813.702,1,11.3239,13.3018,49.5622,61.9114,2.22045e-16,0.637928,0.114426,0.110689,0.967324,0.10741,0.964116,0.131894,1.09757,0.158552
92,803.138,1,11.3148,13.4705,48.4726,68.7864,2.22045e-16,0.622077,0.113477,0.110803,0.964304,0.111388,0.939704,0.128554,1.06978,0.154538
93,812.189,1,11.2694,14.0065,48.3994,63.8161,2.22045e-16,0.516021,0.116082,0.116946,0.972482,0.110841,0.995383,0.125299,1.04269,0.165476
94,814.422,1,11.2702,12.6187,47.8906,65.1639,2.22045e-16,0.500557,0.116949,0.120611,0.977573,0.108747,1.01235,0.122126,1.01629,0.161286
95,806.377,1,11.2098,11.7216,47.847,78.944,2.22045e-16,0.561986,0.117019,0.111436,0.967966,0.107776,1.05316,0.119034,0.99056,0.157202
96,804.812,1,11.2235,13.3848,47.981,73.7309,2.22045e-16,0.572186,0.11759,0.111396,0.961989,0.105047,1.08716,0.11602,0.965478,0.153221
97,801.954,1,11.312,13.4588,48.5887,74.9787,2.22045e-16,0.523129,0.118601,0.113113,0.97305,0.106491,1.09327,0.113082,0.967776,0.149342
98,801.392,1,11.166,12.2542,48.9082,70.7004,2.22045e-16,0.623294,0.115998,0.104331,0.96113,0.103795,1.06559,0.128328,0.995212,0.14556
99,801.289,1,11.2566,12.2529,49.5678,69.8721,2.22045e-16,0.584099,0.114486,0.110224,0.968315,0.101167,1.03861,0.125079,0.977775,0.153247
100,799.181,1,11.323,11.2567,50.0017,66.0914,2.22045e-16,0.527072,0.115924,0.113524,0.96398,0.098605,1.02214,0.123901,1.0013,0.150222
101,804.553,1,11.2542,10.9634,49.7151,68.06,2.22045e-16,0.503215,0.115003,0.118505,0.97078,0.0970923,0.996263,0.12624,1.06709,0.153033
102,802.883,1,11.248,10.6108,49.1504,70.0976,2.22045e-16,0.553263,0.113804,0.115951,0.96517,0.0994816,0.975266,0.123043,1.04007,0.159848
103,806.412,1,11.3207,10.3337,49.5821,69.7393,2.22045e-16,0.535721,0.115188,0.116717,0.96187,0.10589,0.967825,0.119928,1.04414,0.163308
104,799.884,1,11.3307,10.9194,49.5093,70.7512,2.22045e-16,0.415844,0.113829,0.123612,0.971238,0.110316,0.94332,0.116891,1.0177,0.166103
105,807.807,1,11.3969,10.955,49.2306,73.7677,2.22045e-16,0.528126,0.114733,0.119121,0.966006,0.107523,1.02424,0.115776,0.991934,0.16718
106,804.907,1,11.3637,11.1926,49.4608,74.1649,2.22045e-16,0.56517,0.115566,0.11706,0.986157,0.104801,0.998301,0.121722,0.966818,0.162947
107,803.719,1,11.3846,11.2407,49.2825,75.1403,2.22045e-16,0.604071,0.116708,0.111308,0.989096,0.102147,0.973024,0.131181,0.942337,0.158821
108,795.205,1,11.3979,11.0723,50.0808,76.8727,2.22045e-16,0.631451,0.116882,0.110123,0.975386,0.0995606,0.948386,0.127859,0.918477,0.1548
109,793.271,1,11.4577,9.78325,51.2575,71.099,2.22045e-16,0.67043,0.113135,0.105098,0.976634,0.0974797,1.07883,0.124622,0.89522,0.15088
110,794.606,1,11.5582,10.2209,50.3662,63.3634,2.22045e-16,0.638476,0.114561,0.108074,0.983197,0.100835,1.14097,0.121466,0.872553,0.14706
111,793.084,1,11.5366,9.57785,51.0826,66.1422,2.22045e-16,0.561846,0.119584,0.110099,0.988245,0.0993088,1.1679,0.118391,0.850459,0.143336
112,793.137,1,11.4446,10.3126,50.409,69.4008,2.22045e-16,0.631571,0.118191,0.105667,0.978499,0.0995563,1.13832,0.115393,0.828925,0.145619
113,798.954,1,11.4099,9.9092,49.6607,83.1172,2.22045e-16,0.516111,0.11792,0.116258,0.98754,0.100673,1.19661,0.112471,0.807936,0.148076
114,794.338,1,11.3645,9.99743,50.5155,72.8959,2.22045e-16,0.642392,0.118099,0.107275,0.974635,0.0981238,1.16631,0.109623,0.787479,0.144326
115,781.466,1,11.5001,9.2281,50.2311,69.6699,2.22045e-16,0.616107,0.115605,0.108619,0.969853,0.0956393,1.13678,0.109959,0.76754,0.140672
116,784.331,1,11.4412,9.45658,50.3777,72.3656,2.22045e-16,0.644435,0.116931,0.10635,0.962952,0.0932177,1.1606,0.107175,0.748105,0.137513
117,785.674,1,11.3952,9.88167,50.2493,67.6272,2.22045e-16,0.594319,0.121923,0.104873,0.972097,0.0908573,1.14091,0.104461,0.729163,0.136707
118,790.772,1,11.4468,10.7535,50.5832,72.6935,2.22045e-16,0.60709,0.119872,0.106379,0.969271,0.0970997,1.14429,0.101816,0.7107,0.147592
119,791.012,1,11.4308,11.2676,50.0529,64.1181,2.22045e-16,0.641226,0.117498,0.107153,0.976579,0.100273,1.14733,0.0992379,0.692705,0.143855
120,783.25,1,11.5528,11.0239,49.6455,63.072,2.22045e-16,0.632547,0.116158,0.106887,0.980477,0.107211,1.11828,0.0967251,0.675165,0.140213
121,789.103,1,11.4712,10.2145,49.2239,68.4482,2.22045e-16,0.533132,0.118315,0.11359,0.981044,0.104744,1.12008,0.094276,0.658069,0.148356
122,792.175,1,11.4809,10.0598,49.6741,72.2347,2.22045e-16,0.553996,0.118507,0.116959,0.978417,0.104634,1.16094,0.0918889,0.641407,0.144599
123,801.659,1,11.5297,9.2475,49.3194,69.1952,2.22045e-16,0.557793,0.121154,0.119838,0.978175,0.10525,1.1811,0.0926244,0.625166,0.148602
124,785.81,1,11.4824,9.1076,49.6051,63.9001,2.22045e-16,0.529904,0.116336,0.113847,0.965164,0.105181,1.24988,0.0956516,0.609336,0.15686
