iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,10.7851,0.0792872,52.7908,0.1615,34.5957,1.0893,381.196,1.55896
2,10.8126,0.0671274,52.9834,0.136758,35.3759,0.949605,317.16,1.2978
3,10.8164,0.0652955,53.0691,0.132679,35.7832,0.89643,278.852,1.20964
4,10.8036,0.0647924,53.0995,0.129377,35.77,0.881708,256.506,1.19036
5,10.8039,0.0641822,53.2366,0.135846,37.0565,0.881033,266.52,1.1674
6,10.8157,0.0653756,53.218,0.136231,37.4424,0.886714,257.982,1.16235
7,10.8141,0.067875,53.4508,0.137061,35.9215,0.858351,252.56,1.14658
8,10.7979,0.0685855,53.4956,0.13684,34.968,0.838359,263.799,1.15229
9,10.7976,0.0686494,53.5396,0.135699,33.9056,0.831348,271.948,1.16304
10,10.8057,0.0701343,53.5473,0.13455,33.9389,0.82985,268.519,1.16587
11,10.8004,0.0696172,53.479,0.133166,34.1208,0.82405,270.67,1.16885
12,10.7918,0.0702895,53.5706,0.133754,34.1775,0.835018,275.511,1.17122
13,10.7786,0.0706884,53.512,0.134572,33.9778,0.822148,276.485,1.1679
14,10.7703,0.071672,53.4927,0.133847,33.9031,0.812137,293.413,1.17817
15,10.7677,0.0720719,53.4893,0.134051,33.545,0.806158,300.298,1.17994
16,10.7768,0.073093,53.4812,0.133543,34.0268,0.808316,302.074,1.1731
17,10.7757,0.0738547,53.4638,0.134965,34.1006,0.804201,302.015,1.17221
18,10.7814,0.0741785,53.5243,0.13483,34.3069,0.798719,301.819,1.1724
19,10.7749,0.0751355,53.5318,0.134208,34.4354,0.799482,313.862,1.18389
20,10.779,0.0755433,53.5538,0.133837,34.1965,0.801797,330.657,1.19582
21,10.7776,0.0762209,53.5782,0.133522,33.9263,0.802374,333.177,1.20321
22,10.7721,0.0766028,53.4981,0.133635,34.2723,0.803813,328.127,1.19961
23,10.7749,0.0771935,53.4637,0.133038,34.4308,0.805457,322.874,1.20671
24,10.78,0.0777148,53.4494,0.133041,34.0307,0.803126,317.448,1.20223
25,10.7737,0.0780614,53.375,0.133286,33.9402,0.805947,312.995,1.2091
26,10.7765,0.0783538,53.3469,0.133308,33.8446,0.804958,312.65,1.21164
27,10.7867,0.0780866,53.3521,0.133136,33.7463,0.804273,312.015,1.20745
28,10.7958,0.0787058,53.3609,0.132407,33.8928,0.807902,315.38,1.20434
29,10.7951,0.0787806,53.3387,0.13218,34.3119,0.815684,318.251,1.21133
30,10.7934,0.0788885,53.3406,0.132043,34.3466,0.814536,320.797,1.22176
31,10.7976,0.0790717,53.3739,0.131698,34.2959,0.815002,323.349,1.22545
32,10.7986,0.0794177,53.3434,0.131266,34.2905,0.818714,325.816,1.22553
33,10.7955,0.0794506,53.3462,0.130709,34.1611,0.816656,327.852,1.22624
34,10.7964,0.0798072,53.3282,0.130903,34.1809,0.817993,323.984,1.22111
35,10.7946,0.0797364,53.3354,0.1302,33.9369,0.815438,321.755,1.21628
36,10.7989,0.079679,53.3625,0.129519,33.7781,0.814882,320.58,1.21461
37,10.7935,0.0796121,53.3736,0.129766,33.8584,0.816655,318.763,1.21666
38,10.7941,0.0792496,53.4325,0.130364,33.8117,0.818478,325.039,1.22048
39,10.7911,0.0790654,53.4592,0.130356,33.6323,0.818553,322.258,1.21714
40,10.7917,0.0789125,53.4451,0.130177,33.8121,0.820649,319.76,1.21519
41,10.7943,0.0787571,53.4468,0.130245,33.5782,0.82077,316.887,1.21056
42,10.7981,0.0783293,53.4375,0.129648,33.5009,0.818841,313.719,1.20845
