Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
-1.97386,0.0591369,0.0230142,-0.903597,-0.574327,-0.407013,-0.885137,0.0522524,0.00864603,-0.763513,0.0117242,0.0351578,-0.903597,0.308973,-0.251625,-0.885137,-0.670413,-0.294103,-0.763513,-0.199765,-0.349809,-1.97386,0.0608491,-0.0644121,-0.885137,-0.0085591,-0.180948,-0.763513,0.352634,0.0171942,-1.97386,0.104584,-0.0955701,-0.903597,0.0679983,-0.230542
-1.93353,0.0730581,0.0225517,-0.887328,-0.542395,-0.399693,-0.867157,0.0589358,0.00848631,-0.752671,0.148265,0.034249,-0.887328,0.277443,-0.247626,-0.867157,-0.60077,-0.288765,-0.752671,-0.261503,-0.344809,-1.93353,0.0796342,-0.0630221,-0.867157,-0.0875518,-0.177253,-0.752671,0.27375,0.0170676,-1.93353,0.0392169,-0.093417,-0.887328,0.0285244,-0.226254
-1.8932,0.0869792,0.0220892,-0.871058,-0.510463,-0.392374,-0.849176,0.057443,0.00832659,-0.741829,0.201993,0.0333402,-0.871058,0.245912,-0.243628,-0.849176,-0.537707,-0.283428,-0.741829,-0.295434,-0.339808,-1.8932,0.0984194,-0.0616321,-0.849176,-0.138748,-0.173559,-0.741829,0.222884,0.016941,-1.8932,-0.0261502,-0.0912639,-0.871058,-0.0109495,-0.221967
-1.85287,0.1009,0.0216268,-0.854789,-0.478531,-0.385054,-0.831195,0.0538783,0.00816687,-0.730986,0.239549,0.0324314,-0.854789,0.214382,-0.239629,-0.831195,-0.476313,-0.27809,-0.730986,-0.323834,-0.334808,-1.85287,0.117205,-0.0602422,-0.831195,-0.1829,-0.169864,-0.730986,0.177516,0.0168144,-1.85287,-0.0915173,-0.0891108,-0.854789,-0.0504234,-0.21768
-1.81255,0.112968,0.0211643,-0.83852,-0.446599,-0.377734,-0.813215,0.0503135,0.00800715,-0.720144,0.244547,0.0315226,-0.83852,0.182852,-0.235631,-0.813215,-0.414919,-0.272753,-0.720144,-0.339694,-0.329808,-1.81255,0.13321,-0.0588522,-0.813215,-0.227053,-0.16617,-0.720144,0.143574,0.0166878,-1.81255,-0.148465,-0.0869577,-0.83852,-0.0898974,-0.213392
-1.77222,0.112531,0.0207018,-0.822251,-0.414668,-0.370414,-0.795234,0.0456378,0.00784743,-0.709302,0.219418,0.0306139,-0.822251,0.151322,-0.231632,-0.795234,-0.355143,-0.267415,-0.709302,-0.342314,-0.324808,-1.77222,0.130926,-0.0574622,-0.795234,-0.266755,-0.162475,-0.709302,0.120621,0.0165612,-1.77222,-0.149673,-0.0848046,-0.822251,-0.129371,-0.209105
-1.73189,0.110656,0.0202394,-0.805982,-0.382736,-0.363095,-0.777254,0.0340863,0.00768771,-0.69846,0.18896,0.0297051,-0.805982,0.119791,-0.227634,-0.777254,-0.308068,-0.262078,-0.69846,-0.339151,-0.319808,-1.73189,0.126659,-0.0560723,-0.777254,-0.276422,-0.15878,-0.69846,0.100489,0.0164346,-1.73189,-0.144741,-0.0826515,-0.805982,-0.168845,-0.204818
-1.69156,0.10775,0.0197769,-0.789713,-0.350804,-0.355775,-0.759273,0.0225348,0.00752799,-0.687617,0.169215,0.0287963,-0.789713,0.088261,-0.223635,-0.759273,-0.260993,-0.25674,-0.687617,-0.334188,-0.314808,-1.69156,0.121074,-0.0546823,-0.759273,-0.286089,-0.155086,-0.687617,0.0781079,0.016308,-1.69156,-0.135649,-0.0804984,-0.789713,-0.208319,-0.20053
-1.65123,0.0998657,0.0193144,-0.773444,-0.318872,-0.348455,-0.741292,0.0100796,0.00736828,-0.676775,0.172545,0.0278875,-0.773444,0.0567307,-0.219636,-0.741292,-0.219877,-0.251403,-0.676775,-0.331001,-0.309808,-1.65123,0.109806,-0.0532923,-0.741292,-0.287821,-0.151391,-0.676775,0.0495246,0.0161814,-1.65123,-0.108002,-0.0783453,-0.773444,-0.247793,-0.196243
-1.6109,0.091438,0.0188519,-0.757174,-0.28694,-0.341135,-0.723312,-0.00269565,0.00720856,-0.665933,0.191033,0.0269787,-0.757174,0.0252004,-0.215638,-0.723312,-0.187383,-0.246065,-0.665933,-0.329561,-0.304808,-1.6109,0.0980444,-0.0519024,-0.723312,-0.280693,-0.147697,-0.665933,0.0174803,0.0160547,-1.6109,-0.0786195,-0.0761922,-0.757174,-0.287267,-0.191956
