standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_bias_abscissa,standEta_bias_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.56427,0.00142857,-2.56037,0.00142857,-2.84593,0.00142857,-2.6385,0.00142857,-2.89756,0.00142857,All
-2.44088,0.00285714,-2.51094,0.00285714,-2.79509,0.00285714,-2.28178,0.00285714,-2.88705,0.00285714,All
-2.43903,0.00428571,-2.36487,0.00428571,-2.77967,0.00428571,-2.2595,0.00428571,-2.69231,0.00428571,All
-2.42535,0.00571429,-2.32232,0.00571429,-2.6711,0.00571429,-2.13215,0.00571429,-2.5971,0.00571429,All
-2.32129,0.00714286,-2.31372,0.00714286,-2.67093,0.00714286,-2.12969,0.00714286,-2.42794,0.00714286,All
-2.32051,0.00857143,-2.29259,0.00857143,-2.57987,0.00857143,-2.08954,0.00857143,-2.41815,0.00857143,All
-2.30902,0.01,-2.27956,0.01,-2.49811,0.01,-2.05524,0.01,-2.35327,0.01,All
-2.30279,0.0114286,-2.24012,0.0114286,-2.42455,0.0114286,-2.05494,0.0114286,-2.34378,0.0114286,All
-2.30183,0.0128571,-2.19839,0.0128571,-2.39324,0.0128571,-2.03231,0.0128571,-2.33862,0.0128571,All
-2.29191,0.0142857,-2.16544,0.0142857,-2.39257,0.0142857,-1.99298,0.0142857,-2.28847,0.0142857,All
-2.29162,0.0157143,-2.14202,0.0157143,-2.38885,0.0157143,-1.98593,0.0157143,-2.28486,0.0157143,All
-2.28827,0.0171429,-2.14126,0.0171429,-2.38386,0.0171429,-1.98086,0.0171429,-2.24037,0.0171429,All
-2.26791,0.0185714,-2.1363,0.0185714,-2.37511,0.0185714,-1.96002,0.0185714,-2.23499,0.0185714,All
-2.25269,0.02,-2.1228,0.02,-2.34624,0.02,-1.94202,0.02,-2.20651,0.02,All
-2.23613,0.0214286,-2.10483,0.0214286,-2.34114,0.0214286,-1.94146,0.0214286,-2.19261,0.0214286,All
-2.22782,0.0228571,-2.0949,0.0228571,-2.32329,0.0228571,-1.90308,0.0228571,-2.08471,0.0228571,All
-2.22139,0.0242857,-2.07149,0.0242857,-2.32264,0.0242857,-1.88284,0.0242857,-2.05349,0.0242857,All
-2.20851,0.0257143,-2.06817,0.0257143,-2.26183,0.0257143,-1.87965,0.0257143,-2.02723,0.0257143,All
-2.19475,0.0271429,-2.06637,0.0271429,-2.24128,0.0271429,-1.87774,0.0271429,-2.00934,0.0271429,All
-2.18586,0.0285714,-2.06175,0.0285714,-2.23529,0.0285714,-1.85701,0.0285714,-1.99395,0.0285714,All
