standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_bias_abscissa,standEta_bias_pdf,split
-2.48399,0.0369076,-2.45449,0.0209878,-2.74919,0.0382854,-2.53272,0.00700286,-2.76649,0.0169546,All
-2.32343,0.0922691,-2.24273,0.0629633,-2.55571,0.0153141,-2.32117,0.0140057,-2.50436,0.0169546,All
-2.16287,0.202992,-2.03096,0.15391,-2.36223,0.0765707,-2.10962,0.0420171,-2.24222,0.0508638,All
-2.00231,0.129177,-1.8192,0.146914,-2.16875,0.114856,-1.89806,0.112046,-1.98008,0.0678183,All
-1.84175,0.0830422,-1.60744,0.104939,-1.97527,0.0995419,-1.68651,0.154063,-1.71794,0.0847729,All
-1.68119,0.221446,-1.39567,0.174898,-1.78179,0.0689137,-1.47495,0.182074,-1.4558,0.124334,All
-1.52063,0.11995,-1.18391,0.174898,-1.58831,0.137827,-1.2634,0.224091,-1.19367,0.248667,All
-1.36007,0.0276807,-0.972145,0.15391,-1.39483,0.160799,-1.05185,0.154063,-0.931527,0.276925,All
-1.19951,0.00922691,-0.760381,0.174898,-1.20136,0.0995419,-0.840292,0.19608,-0.669389,0.305183,All
-1.03894,0.00922691,-0.548618,0.195886,-1.00788,0.153141,-0.628738,0.189077,-0.407251,0.350395,All
-0.878384,0.193765,-0.336854,0.314817,-0.814398,0.168456,-0.417184,0.301123,-0.145112,0.401259,All
-0.717823,0.396757,-0.125091,0.3428,-0.62092,0.283312,-0.20563,0.455186,0.117026,0.395607,All
-0.557262,0.295261,0.0866727,0.433747,-0.427441,0.267998,0.00592336,0.34314,0.379164,0.429516,All
-0.396701,0.258353,0.298436,0.475723,-0.233962,0.390511,0.217477,0.511209,0.641302,0.305183,All
-0.23614,0.249126,0.5102,0.587658,-0.0404831,0.513024,0.429031,0.476194,0.90344,0.265622,All
-0.0755785,0.341396,0.721963,0.538686,0.152996,0.459424,0.640585,0.462189,1.16558,0.203455,All
0.0849825,0.65511,0.933727,0.41276,0.346475,0.459424,0.852139,0.308126,1.42772,0.135637,All
0.245543,0.535161,1.14549,0.118931,0.539953,0.375197,1.06369,0.231094,1.68985,0.124334,All
0.406104,0.415211,1.35725,0.0279837,0.733432,0.44411,1.27525,0.2451,1.95199,0.0904245,All
0.566665,0.525934,1.56902,0.0419755,0.926911,0.344568,1.4868,0.0770314,2.21413,0.0169546,All
0.727226,0.304488,1.78078,0.0979429,1.12039,0.229712,1.69835,0.0770314,2.47627,0.0339092,All
0.887787,0.221446,1.99254,0.0419755,1.31387,0.176113,1.90991,0.0630257,2.73841,0.00565153,All
1.04835,0.313715,2.20431,0.0349796,1.50735,0.13017,2.12146,0.0280114,3.00055,0,All
1.20891,0.322942,2.41607,0.0489715,1.70083,0.0459424,2.33302,0.0280114,3.26268,0,All
1.36947,0.221446,2.62784,0,1.89431,0.0459424,2.54457,0.00700286,3.52482,0,All
1.53003,0.193765,2.8396,0.00699592,2.08778,0.0459424,2.75612,0,3.78696,0,All
1.69059,0.0830422,3.05136,0.00699592,2.28126,0.0153141,2.96768,0.0140057,4.0491,0.00565153,All
