time,Q1,Q2,Q3
72,6.39975,13.995,27.24625
72.83,15.734,24.995,41.0625
73.66,21.62875,32.7,50.0635
74.48,25.94975,38.105,57.85025
75.31,28.87875,42.41,63.96825
76.14,29.43975,43.52,65.79075
76.97,22.96875,35.075,54.13725
77.79,18.61625,29.635,46.09375
78.62,15.38775,25.69,40.8655
79.45,13.15925,22.705,37.72275
80.28,11.37825,20.41,35.06025
81.1,9.75,18.645,33.00475
81.93,8.5175,17.01,31.39075
82.76,7.66325,15.74,29.8045
83.59,6.85675,14.595,28.3215
84.41,11.66,20.145,34.80325
85.24,18.95675,29.205,45.96475
86.07,24.038,35.65,54.74025
86.9,27.5395,40.47,61.299
87.72,30.08925,44.28,66.89975
88.55,25.81525,38.83,59.64325
89.38,20.47975,32.19,50.1855
90.21,16.82575,27.54,43.1855
91.03,14.15775,24.13,39.44025
91.86,12.28675,21.6,36.493
92.69,10.5865,19.52,34.1625
93.52,9.03925,17.85,32.3635
94.34,8.07525,16.38,30.80125
95.17,7.2745,15.175,29.274
96,6.52725,14.125,27.8035
