time,Q1,Q2,Q3
72,17.07,26.42,41.4905
72.83,17.07,26.435,41.5405
73.66,17.07,26.45,41.59025
74.48,17.07,26.465,41.64
75.31,17.07975,26.47,41.69
76.14,17.07975,26.48,41.73
76.97,17.08,26.495,41.77025
77.79,17.08,26.51,41.8005
78.62,17.08,26.525,41.8405
79.45,17.08,26.53,41.87075
80.28,17.08,26.54,41.9105
81.1,17.08,26.54,41.94075
81.93,17.08,26.55,41.97075
82.76,17.08,26.555,42.001
83.59,17.08,26.565,42.031
84.41,17.08,26.57,42.061
85.24,17.08,26.58,42.08125
86.07,17.08,26.59,42.11125
86.9,17.08,26.59,42.13125
87.72,17.08,26.6,42.16125
88.55,17.08975,26.605,42.1815
89.38,17.08975,26.615,42.2015
90.21,17.08975,26.625,42.2215
91.03,17.08975,26.63,42.24175
91.86,17.08975,26.64,42.26175
92.69,17.08975,26.64,42.28175
93.52,17.08975,26.645,42.30175
94.34,17.08975,26.645,42.312
95.17,17.08975,26.65,42.332
96,17.08975,26.65,42.352
