time,Q1,Q2,Q3
72,6.23975,11.7,21.3225
72.83,9.96925,16.09,26.80375
73.66,12.4,18.885,30.176
74.48,13.809,20.91,32.8115
75.31,15.0285,22.555,34.648
76.14,15.09875,22.755,34.66525
76.97,11.84925,18.68,29.63575
77.79,9.7795,15.975,26.12025
78.62,8.15975,14.07,23.884
79.45,6.8895,12.555,22.30025
80.28,7.63975,13.42,23.7615
81.1,10.9585,17.15,28.2115
81.93,12.95975,19.675,31.3405
82.76,14.2685,21.57,33.57025
83.59,15.3295,23.02,35.33725
84.41,13.69825,21.175,33.061
85.24,11.1,17.72,28.3455
86.07,9.22925,15.34,25.234
86.9,7.68975,13.55,23.38075
87.72,6.6085,12.16,21.93025
88.55,8.94,14.915,25.59175
89.38,11.8095,18.115,29.414
90.21,13.38975,20.355,32.40175
91.03,14.7265,22.11,34.33275
91.86,15.699,23.465,36.08275
92.69,12.6995,19.865,31.31175
93.52,10.41925,16.82,27.28325
94.34,8.66975,14.71,24.7105
95.17,7.26975,13.065,22.91175
96,6.25,11.79,21.57075
