time,Q1,Q2,Q3
72,22.579,35.745,54.9895
72.83,22.589,35.755,55.0395
73.66,22.589,35.765,55.08925
74.48,22.589,35.77,55.139
75.31,22.589,35.775,55.18875
76.14,22.59875,35.785,55.22875
76.97,22.59875,35.795,55.2785
77.79,22.59875,35.8,55.3185
78.62,22.59875,35.805,55.35825
79.45,22.599,35.815,55.39825
80.28,22.599,35.82,55.438
81.1,22.599,35.825,55.468
81.93,22.60875,35.83,55.50775
82.76,22.60875,35.835,55.53775
83.59,22.60875,35.84,55.56775
84.41,22.609,35.84,55.5975
85.24,22.609,35.85,55.6275
86.07,22.609,35.85,55.65725
86.9,22.609,35.855,55.68725
87.72,22.609,35.865,55.70725
88.55,22.609,35.87,55.737
89.38,22.609,35.87,55.757
90.21,22.609,35.875,55.78675
91.03,22.60925,35.875,55.80675
91.86,22.60925,35.875,55.82675
92.69,22.619,35.88,55.84675
93.52,22.619,35.885,55.86675
94.34,22.619,35.885,55.8865
95.17,22.619,35.89,55.9065
96,22.619,35.89,55.92625
