time,Q1,Q2,Q3
72,11.09,22.4,40.81425
72.83,23.66775,37.495,59.54175
73.66,31.29825,47.92,74.3405
74.48,36.6195,55.955,84.164
75.31,40.5475,61.785,92.741
76.14,41.84925,63.565,93.827
76.97,34.764,52.315,77.6535
77.79,29.039,44.73,66.754
78.62,25.1025,39.075,59.91625
79.45,21.17975,35.02,55.7955
80.28,18.4385,31.795,52.3055
81.1,16.17975,29.05,49.321
81.93,14.4965,26.88,46.709
82.76,13.04925,25.04,44.28025
83.59,11.79675,23.32,42.30225
84.41,18.30875,30.94,52.2385
85.24,28.035,43.325,67.97025
86.07,34.26825,52.335,80.34225
86.9,38.697,59.085,89.63025
87.72,42.26975,64.47,96.035
88.55,38.05925,57.45,85.42025
89.38,31.68125,48.29,72.70125
90.21,27.188,41.785,63.57225
91.03,23.291,37.025,58.153
91.86,19.8165,33.4,54.536
92.69,17.30775,30.45,51.25575
93.52,15.39575,27.975,48.10725
94.34,13.74875,26.04,45.6915
95.17,12.48775,24.26,43.61025
96,11.2965,22.67,41.76025
