time,Q1,Q2,Q3
72,6.33925,11.185,17.73325
72.83,9.139,14.4,22.21
73.66,10.9465,16.555,25.1615
74.48,12.11,18.165,27.331
75.31,13.16825,19.375,28.77125
76.14,13.28,19.6,28.8905
76.97,10.99625,16.625,25.0125
77.79,9.23925,14.585,22.0355
78.62,7.96975,13.045,20.0845
79.45,6.89,11.885,18.5635
80.28,7.52825,12.48,19.6035
81.1,9.73925,15.24,23.41425
81.93,11.38,17.215,26.00575
82.76,12.519,18.655,27.991
83.59,13.4485,19.78,29.32075
84.41,12.428,18.5,27.61225
85.24,10.45575,15.895,24.11075
86.07,8.78975,14.01,21.5005
86.9,7.56925,12.715,19.703
87.72,6.61925,11.575,18.312
88.55,8.41975,13.6,21.31025
89.38,10.34925,15.975,24.53375
90.21,11.769,17.77,26.94425
91.03,12.85,19.09,28.485
91.86,13.68925,20.15,29.81075
92.69,11.64875,17.535,26.57125
93.52,9.819,15.24,23.231
94.34,8.41875,13.525,20.83825
95.17,7.22875,12.345,19.331
96,6.37925,11.28,18.04075
