time,Q1,Q2,Q3
72,3.54875,6.165,10.59025
72.83,6.51975,9.64,14.95075
73.66,8.14,11.98,17.671
74.48,7.57975,11.18,16.78025
75.31,6.089,9.32,14.325
76.14,5.0695,7.99,12.8525
76.97,4.29,7.035,11.6705
77.79,3.7465,6.345,10.81275
78.62,5.8685,8.91,14.0705
79.45,7.78825,11.465,17.102
80.28,8.06,11.83,17.62225
81.1,6.429,9.74,14.8705
81.93,5.2995,8.32,13.361
82.76,4.5375,7.27,12.03
83.59,3.86675,6.5,11.0315
84.41,5.247,8.12,13.02125
85.24,7.38925,10.92,16.561
86.07,8.59,12.56,18.53075
86.9,6.76975,10.16,15.50175
87.72,5.53925,8.65,13.71125
88.55,4.69875,7.51,12.37075
89.38,3.998,6.67,11.25025
90.21,4.4595,7.21,11.93375
91.03,6.969,10.33,15.8505
91.86,8.52,12.515,18.49075
92.69,7.13,10.66,16.26025
93.52,5.77,8.99,14.18125
94.34,4.88,7.765,12.731
95.17,4.13925,6.86,11.55
96,3.60725,6.205,10.743
