time,Q1,Q2,Q3
72,16.639,27.8,44.78625
72.83,27.68975,41.83,62.27625
73.66,35.12875,51.575,74.2085
74.48,33.246,48.585,70.8095
75.31,27.259,40.825,59.485
76.14,22.81975,35.21,52.97125
76.97,19.56975,31.275,48.94725
77.79,17.1795,28.46,46.07
78.62,25.48,38.935,58.88425
79.45,33.47925,49.545,71.99325
80.28,35.20325,51.065,74.5755
81.1,28.577,42.535,62.3405
81.93,23.88775,36.49,54.54475
82.76,20.22825,32.25,49.819
83.59,17.77825,29.14,47.28025
84.41,22.81,35.705,54.71325
85.24,31.6495,47.28,68.91675
86.07,37.00475,53.945,78.1565
86.9,29.9275,44.415,64.96025
87.72,24.87875,37.875,56.34675
88.55,20.9195,33.285,51.20725
89.38,18.34825,29.895,48.029
90.21,20.1495,32.025,50.21525
91.03,29.87725,44.82,66.07125
91.86,36.7655,53.81,78.09275
92.69,31.50825,46.51,67.72225
93.52,26.08,39.33,59.03025
94.34,21.874,34.31,52.4915
95.17,18.9685,30.61,48.7545
96,16.66975,27.995,45.941
