time,Q1,Q2,Q3
72,9.07475,18.06,32.7375
72.83,20.967,32.94,51.22075
73.66,28.99925,43.165,62.77575
74.48,34.5275,50.715,72.9835
75.31,38.618,56.38,80.782
76.14,39.58975,57.55,83.46375
76.97,31.2195,46.365,67.62075
77.79,25.916,38.97,57.44775
78.62,21.52925,33.8,50.0825
79.45,18.3545,29.695,45.97275
80.28,15.6595,26.64,42.61375
81.1,13.69825,24.14,39.99575
81.93,11.8595,22.2,37.861
82.76,10.649,20.435,35.951
83.59,9.48825,18.94,34.101
84.41,15.8975,26.485,43.2585
85.24,25.40425,38.54,57.306
86.07,32.01975,47.23,68.147
86.9,36.577,53.775,77.50075
87.72,40.31925,58.73,84.587
88.55,35.19475,51.5,74.70225
89.38,28.51825,42.315,62.24325
90.21,23.6585,36.125,53.971
91.03,19.909,31.625,47.9615
91.86,16.95925,28.16,44.742
92.69,14.727,25.42,41.29575
93.52,12.78875,23.165,39.03325
94.34,11.23,21.355,37.01075
95.17,10.14675,19.71,35.1035
96,9.08625,18.34,33.305
