time,Q1,Q2,Q3
72,2.11,4.26,7.9305
72.83,5.97975,9.25,14.1025
73.66,8.36925,12.67,18.52475
74.48,7.7275,11.565,17.3235
75.31,5.8195,9.145,14.00025
76.14,4.72975,7.565,11.68
76.97,3.82,6.46,10.46025
77.79,3.17,5.68,9.5215
78.62,2.66975,5.05,8.8805
79.45,2.3,4.54,8.3105
80.28,3.669,6.19,10.27075
81.1,6.869,10.54,15.93
81.93,9.07775,13.54,20.0105
82.76,6.9595,10.61,16.0505
83.59,5.3885,8.55,13.12375
84.41,4.42975,7.17,11.17175
85.24,3.5895,6.19,10.18025
86.07,2.98,5.46,9.3005
86.9,2.53,4.875,8.71025
87.72,2.20975,4.405,8.1705
88.55,4.89,7.815,12.65
89.38,7.6295,11.675,17.3215
90.21,8.58775,12.72,19.04275
91.03,6.3975,9.825,14.90025
91.86,5.00925,8.015,12.48075
92.69,4.1195,6.79,10.79025
93.52,3.35975,5.94,9.86125
94.34,2.859,5.26,9.111
95.17,2.4,4.72,8.54025
96,2.12975,4.28,8.0305
