time,Q1,Q2,Q3
72,2.0495,4.735,8.91
72.83,4.99,8.395,13.90275
73.66,6.91925,10.88,17.01325
74.48,8.2695,12.81,19.47175
75.31,9.249,14.22,21.4805
76.14,9.40975,14.51,21.9265
76.97,7.36875,11.72,17.8705
77.79,5.8895,9.88,15.21025
78.62,4.959,8.57,13.541
79.45,4.17,7.62,12.46175
80.28,3.55,6.87,11.641
81.1,3.08975,6.24,10.9415
81.93,2.71975,5.73,10.273
82.76,2.44,5.3,9.71
83.59,2.17875,4.915,9.22025
84.41,3.71975,6.81,11.85225
85.24,6.03975,9.8,15.79125
86.07,7.649,11.965,18.41025
86.9,8.75,13.605,20.573
87.72,9.65975,14.82,22.4725
88.55,8.2195,13.005,19.72175
89.38,6.64925,10.75,16.6325
90.21,5.36975,9.19,14.5205
91.03,4.54,8.065,13.00275
91.86,3.84975,7.24,12.0205
92.69,3.31975,6.54,11.351
93.52,2.9,6,10.6815
94.34,2.57,5.52,10.0625
95.17,2.29975,5.12,9.4915
96,2.06925,4.765,9.061
