time,Q1,Q2,Q3
72,7.3695,16.57,30.65425
72.83,18.32975,29.635,46.48
73.66,25.63725,38.57,58.40225
74.48,30.4295,45.115,67.593
75.31,33.84675,50.065,75.11
76.14,34.72625,51.195,76.75325
76.97,26.49475,41.185,62.392
77.79,21.70975,34.675,53.4905
78.62,18.017,29.85,47.5775
79.45,15.16875,26.475,43.19175
80.28,12.8495,23.83,40.042
81.1,11.2095,21.755,37.75075
81.93,9.78925,19.99,35.3355
82.76,8.7275,18.55,33.562
83.59,7.83975,17.265,31.78125
84.41,13.7285,23.695,39.7835
85.24,22.4195,34.47,53.2945
86.07,28.30825,42.34,64.13275
86.9,32.199,47.68,71.8355
87.72,35.39975,52.135,78.2965
88.55,30.01975,45.55,68.75625
89.38,23.83875,37.72,57.615
90.21,19.93775,32.045,50.58875
91.03,16.45975,28.045,45.52025
91.86,14.04975,25.02,42.032
92.69,12.01925,22.795,38.8735
93.52,10.47,20.915,36.64475
94.34,9.24825,19.28,34.5525
95.17,8.27825,17.95,32.81225
96,7.4695,16.695,31.03675
