rep,ID,eta_fi_simulated,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
0,1,-0.614179,-0.662662,-0.0600415,-0.269533,0.0765094,All,#4682B4,0
1,1,-0.456393,-0.734091,-0.0831878,0.388434,0.677499,All,#4682B4,0
2,1,-0.721121,-0.669225,-0.260901,-0.249385,-0.870216,All,#4682B4,0
3,1,-0.564209,-0.622992,-0.0834802,-0.29712,-0.608616,All,#4682B4,0
4,1,-0.519972,-0.721004,0.0750652,-0.332349,0.329006,All,#4682B4,0
5,1,-0.555294,-0.775579,-0.0748861,-0.539202,0.816327,All,#4682B4,0
6,1,-0.635446,-0.687245,-0.128428,-0.26504,-0.441576,All,#4682B4,0
7,1,-0.519591,-0.765355,-0.151561,-0.133742,0.511569,All,#4682B4,0
8,1,-0.762258,-0.590378,-0.203783,-0.687031,-0.898382,All,#4682B4,0
9,1,-0.618041,-0.750807,-0.0607448,-0.220808,0.528555,All,#4682B4,0
0,2,-0.0874054,0.212619,0.0465363,-0.655036,-0.652626,All,#4682B4,0
1,2,0.0871341,0.277358,0.0399494,0.282288,-0.535902,All,#4682B4,0
2,2,0.255486,0.232249,0.0493986,-0.467758,0.364696,All,#4682B4,0
3,2,0.10933,0.310844,0.0137245,0.0230952,-0.0139437,All,#4682B4,0
4,2,0.093383,0.310628,0.136639,0.0589429,0.0995872,All,#4682B4,0
5,2,0.213827,0.314293,-0.0191698,0.0124383,-0.245203,All,#4682B4,0
6,2,0.227757,0.226621,0.117438,-0.114067,1.17442,All,#4682B4,0
7,2,0.00862127,0.276656,-0.041802,0.327189,0.0380849,All,#4682B4,0
8,2,0.196042,0.256411,0.0257191,-0.151557,-0.686434,All,#4682B4,0
9,2,0.0957463,0.271772,0.0572756,0.0170196,0.770893,All,#4682B4,0
0,3,-0.10034,0.16033,-0.00685662,-0.301569,0.0850195,All,#4682B4,0
1,3,-0.00192294,0.225143,0.0240107,0.16854,-0.16758,All,#4682B4,0
2,3,0.057039,0.0715791,0.0622539,-0.282847,1.25229,All,#4682B4,0
3,3,-0.0540796,0.0417783,-0.0515875,-0.0688848,1.41369,All,#4682B4,0
4,3,-0.144786,0.137251,-0.0285736,-0.241955,0.32629,All,#4682B4,0
5,3,0.0392327,-0.0036868,-0.0821708,-0.204517,1.40418,All,#4682B4,0
6,3,0.0505921,0.167138,-0.0403565,0.157294,0.971518,All,#4682B4,0
7,3,-0.0440254,0.171369,0.0499888,0.129288,1.28062,All,#4682B4,0
8,3,0.00078417,0.19399,0.235358,-0.0945069,0.870715,All,#4682B4,0
9,3,-0.105282,0.0778047,0.0213531,-0.239957,1.07065,All,#4682B4,0
0,4,0.25595,0.0634264,0.027269,-0.126384,0.38847,All,#4682B4,0
1,4,0.363962,-0.0102465,-0.0803535,-0.336413,-1.30889,All,#4682B4,0
2,4,0.190494,-0.0297684,-0.0321511,-0.453728,0.71549,All,#4682B4,0
3,4,0.235156,-0.0125959,0.100404,-0.598299,-0.121752,All,#4682B4,0
4,4,0.222554,0.0209942,-0.138046,0.0347868,-1.04197,All,#4682B4,0
5,4,0.252668,-0.0161957,-0.000329288,-0.698677,0.119154,All,#4682B4,0
6,4,0.148358,-0.0251245,-0.100564,-0.161939,-0.388211,All,#4682B4,0
7,4,0.288101,0.0272637,-0.0237125,-0.387292,0.291783,All,#4682B4,0
8,4,0.211763,-0.0843616,-0.100859,-0.183353,1.06011,All,#4682B4,0
9,4,0.258703,0.0212899,0.0397159,-0.358325,-0.380113,All,#4682B4,0
0,5,-0.281874,-0.0909749,-0.016601,-0.0810843,-0.713789,All,#4682B4,0
1,5,-0.207781,-0.155624,0.0623802,-0.0624989,0.524137,All,#4682B4,0
2,5,-0.0718541,-0.103105,0.090324,0.127368,0.708,All,#4682B4,0
3,5,-0.0654742,-0.125995,0.0416069,-0.312813,0.32708,All,#4682B4,0
4,5,-0.204362,-0.144815,0.0405373,0.00928211,-0.0774205,All,#4682B4,0
5,5,-0.212171,-0.0910339,0.0178427,0.32874,0.537495,All,#4682B4,0
6,5,-0.102159,-0.0974216,-0.0853018,0.1018,-0.173345,All,#4682B4,0
7,5,-0.245858,-0.112107,-0.0902748,0.339165,-0.26953,All,#4682B4,0
8,5,-0.138253,-0.104354,-0.0369351,0.404163,-0.0862561,All,#4682B4,0
9,5,-0.0789065,-0.0776459,0.139195,0.0186772,-0.893626,All,#4682B4,0
0,6,-0.0839272,0.11068,0.274145,0.528986,0.220002,All,#4682B4,0
1,6,-0.0308666,0.205526,-0.133056,1.62099,0.657124,All,#4682B4,0
2,6,-0.0920735,0.172826,0.0422385,1.46488,0.0911073,All,#4682B4,0
3,6,0.132416,0.180726,0.0230729,1.54832,-0.0645894,All,#4682B4,0
4,6,-0.0246264,0.116414,-0.0652971,0.958678,-0.380379,All,#4682B4,0
5,6,-0.171107,0.160237,0.0493806,1.28169,0.41839,All,#4682B4,0
6,6,0.00888218,0.215724,-0.0741212,1.42497,0.394302,All,#4682B4,0
7,6,-0.0948553,0.125951,-0.00275305,1.26644,-0.425041,All,#4682B4,0
8,6,0.0349272,0.181036,0.24568,0.709047,-0.0417214,All,#4682B4,0
9,6,-0.0757817,0.16742,0.213829,1.32607,-0.308438,All,#4682B4,0
0,7,-0.286019,-0.0872703,-0.123443,-1.44083,1.41899,All,#4682B4,0
1,7,-0.249727,0.00658262,-0.150131,-2.73428,0.0748196,All,#4682B4,0
2,7,-0.218075,0.0841511,-0.173828,0.300221,-2.54641,All,#4682B4,0
3,7,-0.167782,0.172987,-0.0260497,2.01005,-2.22137,All,#4682B4,0
4,7,-0.214436,-0.0977771,-0.0667013,-1.535,2.05338,All,#4682B4,0
5,7,-0.194713,-0.0724483,-0.117967,-2.15524,1.63015,All,#4682B4,0
6,7,-0.117548,0.060516,-0.18439,0.176241,-2.61728,All,#4682B4,0
7,7,-0.14098,0.149625,-0.0493745,0.214548,-2.76303,All,#4682B4,0
8,7,-0.217282,0.0371486,-0.0856587,-1.80217,0.853176,All,#4682B4,0
9,7,-0.206744,-0.00195689,0.0237559,-1.51726,1.66488,All,#4682B4,0
0,8,-0.184424,0.233891,-0.0182471,-0.69294,0.0398435,All,#4682B4,0
1,8,-0.319789,0.173767,-0.10921,-0.350706,0.895237,All,#4682B4,0
2,8,-0.237413,0.27637,0.0411703,-0.531908,-0.627871,All,#4682B4,0
3,8,-0.198762,0.323392,0.154695,-0.13484,0.798821,All,#4682B4,0
4,8,-0.163666,0.308452,-0.00374861,-0.212932,-0.345253,All,#4682B4,0
5,8,-0.222321,0.266068,-0.153707,-0.242585,-0.574508,All,#4682B4,0
6,8,-0.218943,0.272035,-0.108339,-0.351981,-0.288401,All,#4682B4,0
7,8,-0.220367,0.176235,-0.0605561,-0.646565,1.03219,All,#4682B4,0
8,8,-0.141413,0.340263,-0.0932795,-0.162854,-0.00451861,All,#4682B4,0
9,8,-0.24135,0.22899,-0.0143267,-0.550865,0.0463292,All,#4682B4,0
0,9,0.0513359,0.00339083,-0.0403813,0.408928,0.409501,All,#4682B4,0
1,9,0.19765,0.0160114,-0.102593,0.230967,-0.0122461,All,#4682B4,0
2,9,0.0301743,0.0187866,-0.063672,0.373374,-0.228632,All,#4682B4,0
3,9,0.139174,-0.079711,-0.195588,0.483344,-0.0807522,All,#4682B4,0
4,9,0.0797798,0.0196411,0.0570642,0.639814,-0.334874,All,#4682B4,0
5,9,0.148686,0.0615494,-0.0480766,0.749812,-0.198652,All,#4682B4,0
6,9,0.141463,-0.011533,0.0786038,-0.084788,0.48597,All,#4682B4,0
7,9,0.0749692,-0.0194603,-0.0182818,0.672049,-0.330913,All,#4682B4,0
8,9,0.0684426,0.00228264,0.0619523,0.0274312,0.658401,All,#4682B4,0
9,9,0.102402,-0.0549219,-0.0978997,0.680592,0.574665,All,#4682B4,0
0,10,0.182927,-0.356147,-0.0665358,-0.564171,-0.114528,All,#4682B4,0
1,10,0.112865,-0.345428,-0.1572,0.117406,-0.0572494,All,#4682B4,0
2,10,0.0367895,-0.384132,0.0975811,-0.353201,0.269839,All,#4682B4,0
3,10,0.133626,-0.351752,-0.0997821,-0.266867,-0.728916,All,#4682B4,0
4,10,0.163329,-0.333125,-0.0403428,-0.435274,-0.210069,All,#4682B4,0
5,10,0.145737,-0.337574,-0.193754,-0.159495,-0.391485,All,#4682B4,0
6,10,0.15015,-0.542773,-0.0277397,-0.640275,0.918786,All,#4682B4,0
7,10,0.123348,-0.312926,-0.0207578,-0.48647,-0.660302,All,#4682B4,0
8,10,0.186597,-0.288495,-0.108017,0.509574,-0.871815,All,#4682B4,0
9,10,0.251663,-0.425417,-0.0702593,-1.06369,0.34868,All,#4682B4,0
0,11,0.203342,0.247723,0.124831,0.48268,-0.455469,All,#4682B4,0
1,11,0.28041,0.239462,0.0321158,0.392418,-0.813962,All,#4682B4,0
2,11,0.258638,0.209644,0.08879,0.197745,-0.12752,All,#4682B4,0
3,11,0.210033,0.220836,0.139207,0.278956,-1.18228,All,#4682B4,0
4,11,0.393603,0.260903,0.130595,0.404521,-0.267,All,#4682B4,0
5,11,0.223588,0.184877,-0.126247,0.512611,-0.897462,All,#4682B4,0
6,11,0.11646,0.0808178,0.126569,-1.43444,0.0773211,All,#4682B4,0
7,11,0.330713,0.18548,0.118252,-0.26563,-0.63105,All,#4682B4,0
8,11,0.306867,0.27798,-0.0459259,0.723868,-0.498969,All,#4682B4,0
9,11,0.295423,0.209008,0.115935,-0.296388,-0.66924,All,#4682B4,0
0,12,0.112986,-0.0126888,-0.048615,0.754236,-0.150601,All,#4682B4,0
