parameter,res_sa
Cl_pop,5.85729
beta_Cl_logtCLCRMLMIN,39.4783
V1_pop,8.34869
Q_pop,20.56
V2_pop,14.0855
bias_pop,14.5223
beta_bias_lcat_2,14.4641
omega_Cl,19.2194
omega_V1,25.9754
omega_Q,28.3711
omega_V2,34.7595
bias_sd,21.1244
corr_V2_V1,31.799
a1,9.25805
a2,11.9143
plcat_1,96.3624
plcat_2,7.41249
