simulations, -2LL
1000,597.13
2000,596.222
3000,596.081
4000,596.237
5000,596.304
6000,596.189
7000,596.336
8000,596.284
9000,595.553
10000,595.611
11000,595.599
12000,595.763
13000,595.896
14000,595.982
15000,596.008
16000,596.111
17000,596.177
18000,596.23
19000,596.298
20000,596.297
21000,596.294
22000,596.351
23000,596.344
24000,596.334
25000,596.245
26000,596.098
27000,596.126
28000,596.093
29000,596.115
30000,596.113
