simulations,OFV
500,954.954
1000,957.119
1500,957.648
2000,958.104
2500,958.341
3000,958.841
3500,957.984
4000,957.95
4500,958.359
5000,958.382
5500,958.374
6000,958.069
6500,957.483
7000,957.8
7500,957.637
8000,957.744
8500,957.808
9000,957.552
9500,957.192
10000,957.099
10500,957.155
11000,956.843
11500,956.977
12000,956.962
12500,956.469
13000,956.029
13500,956.099
14000,956.267
14500,955.931
15000,955.96
15500,956.062
16000,956.085
16500,956.019
17000,956.121
17500,956.221
18000,956.238
18500,956.275
19000,956.307
19500,956.369
20000,956.356
20500,955.973
21000,955.978
21500,955.972
22000,956.057
22500,956.125
23000,956.111
23500,955.996
24000,956.064
24500,956.171
25000,956.172
25500,955.83
26000,955.857
26500,955.905
27000,955.953
27500,955.903
28000,956.011
28500,956.022
29000,956.063
29500,956.102
30000,956.117
