iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,651.66,1,10.2275,11.1604,43.2233,60.344,0.3,1,1,1,1
2,622.889,1,9.79882,12.5142,40.8912,75.8724,0.24,0.894427,1.03279,0.894427,0.89652
3,574.915,1,9.75618,10.9871,44.0902,74.8771,0.192,0.8,1.06862,0.8,0.865684
4,529.307,1,9.70637,11.0304,45.6042,82.0679,0.1536,0.715542,1.04215,0.715542,0.809336
5,498.208,1,9.63144,9.63557,47.0992,85.2761,0.12288,0.64,0.992757,0.64,0.774174
6,458.619,1,9.77191,8.89373,44.5028,74.8345,0.100914,0.572433,0.958367,0.572433,0.788574
7,429.889,1,9.7346,8.46504,42.8454,68.4572,0.088892,0.512,1.00461,0.512,0.771345
8,407.986,1,9.73716,9.09627,42.6944,64.1767,0.0802216,0.457947,1.01119,0.457947,0.832656
9,379.589,1,9.68075,9.17902,42.7274,63.8096,0.0712414,0.4096,0.90508,0.4096,0.823805
10,380.976,1,9.65229,9.28976,43.45,67.3575,0.0725336,0.366357,0.869541,0.366357,0.819634
11,366.548,1,9.67526,9.10223,43.7045,69.2615,0.0701591,0.32768,0.777741,0.32768,0.751801
12,345.906,1,9.68009,8.63867,43.4836,68.3912,0.0634204,0.293086,0.810163,0.293086,0.751115
13,336.387,1,9.71424,8.53954,42.7449,70.0364,0.0620688,0.279369,0.798927,0.28004,0.671817
14,334.794,1,9.73669,8.61127,42.1869,63.0556,0.0611098,0.282852,0.823942,0.279534,0.657216
15,336.37,1,9.79179,9.14956,42.1065,62.4703,0.061693,0.280248,0.867272,0.266545,0.668343
16,325.188,1,9.80149,9.09705,43.048,60.9149,0.0595661,0.280924,0.833842,0.239275,0.661484
17,323.833,1,9.77782,9.08832,42.6636,64.3721,0.0586498,0.281575,0.862624,0.244262,0.664194
18,310.428,1,9.81383,9.64963,41.9508,60.5568,0.0564988,0.280627,0.853303,0.218475,0.642751
19,307.602,1,9.83866,10.1433,42.4987,59.6362,0.0559868,0.279841,0.837418,0.214015,0.617508
20,304.352,1,9.87515,9.97889,42.8306,60.5881,0.054457,0.279101,0.848035,0.233921,0.622261
21,297.847,1,9.91553,10.2814,42.397,59.7816,0.0534077,0.272033,0.867187,0.222696,0.59029
22,296.541,1,9.91328,10.3647,42.2425,59.6034,0.0536887,0.271958,0.865784,0.200014,0.603784
23,294.18,1,9.91222,10.0512,41.9522,58.3235,0.0537486,0.27234,0.887315,0.184136,0.576333
24,284.468,1,9.90505,9.57859,42.3725,60.1994,0.0523149,0.271849,0.843484,0.174173,0.553722
25,292.959,1,9.89045,9.40655,41.9668,58.6342,0.0535043,0.275469,0.901891,0.18182,0.556729
26,284.428,1,9.87056,9.08617,42.5514,60.2962,0.0519738,0.278737,0.881033,0.167466,0.563421
27,284.001,1,9.83075,9.19448,42.8472,60.0184,0.0518284,0.279337,0.865446,0.170594,0.542331
28,276.775,1,9.82945,9.19203,42.668,56.5813,0.0502661,0.275056,0.852573,0.173251,0.520644
29,270.757,1,9.86108,9.43359,42.689,58.8325,0.0487744,0.274132,0.863561,0.176624,0.515731
30,273.033,1,9.9047,9.18369,42.528,60.4641,0.0501191,0.273033,0.896269,0.173609,0.465721
31,270.511,1,9.91368,8.65394,43.0507,60.9006,0.0503555,0.273239,0.877274,0.165443,0.444014
32,267.136,1,9.90045,8.45212,43.3645,59.2743,0.0499003,0.272409,0.835088,0.164474,0.44212
33,272.314,1,9.8754,8.34115,43.745,57.9103,0.0510815,0.275592,0.809885,0.16706,0.444177
34,268.397,1,9.82014,8.48263,43.5229,59.8406,0.0500027,0.277186,0.776282,0.164195,0.461083
35,270.44,1,9.86524,8.37044,43.729,64.0813,0.0512746,0.270327,0.773748,0.157908,0.460385
36,266.325,1,9.83853,8.92867,43.2866,62.3541,0.0504159,0.277872,0.803617,0.147327,0.427301
37,264.609,1,9.8556,8.25261,43.595,63.988,0.0505857,0.275933,0.814181,0.139466,0.429606
38,264.718,1,9.86738,8.42022,43.9184,63.1225,0.0501519,0.276315,0.791951,0.148135,0.445661
39,261.253,1,9.88234,8.31407,44.3334,63.4617,0.0495153,0.281572,0.765556,0.167998,0.398611
40,253.094,1,9.91749,8.27623,44.6419,62.6722,0.0471774,0.26399,0.797797,0.167787,0.416135
41,261.065,1,9.88401,8.39595,44.2645,63.9989,0.0482889,0.263572,0.817123,0.171332,0.443474
42,264.58,1,9.87878,8.03201,44.45,62.6534,0.0496558,0.264617,0.770621,0.168762,0.444285
43,267.465,1,9.89585,8.27625,43.7335,61.3682,0.0503318,0.262751,0.801602,0.172336,0.42389
44,265.881,1,9.88537,8.37645,44.203,65.5457,0.0503907,0.266961,0.829193,0.163061,0.397556
45,258.63,1,9.86335,8.01867,43.8923,64.105,0.0493661,0.267397,0.872073,0.159751,0.355585
46,257.548,1,9.85881,7.84172,43.7964,62.8729,0.0498402,0.26394,0.886401,0.148514,0.325096
47,260.901,1,9.89214,8.08177,43.5418,62.6295,0.0502065,0.262637,0.899209,0.14966,0.350802
48,256.266,1,9.8853,8.29862,43.2501,65.9858,0.0500149,0.265452,0.932958,0.137594,0.320641
49,255.09,1,9.86531,8.61177,43.3316,65.5886,0.0499868,0.263677,0.928295,0.12967,0.321202
50,258.401,1,9.8623,8.3871,43.2535,63.3514,0.050824,0.260306,0.889708,0.137818,0.318946
51,251.287,1,9.96499,8.59517,43.3948,63.1191,0.0513713,0.257789,0.873557,0.123268,0.286525
52,253.812,1,9.94911,8.72417,43.2118,64.7348,0.0518423,0.252812,0.888646,0.123013,0.277933
53,255.293,1,9.91215,8.96144,42.5846,62.8177,0.0524057,0.250468,0.871704,0.122073,0.273074
54,253.103,1,9.93034,8.832,42.9421,61.3086,0.0518719,0.251759,0.946323,0.124519,0.248613
55,252.794,1,9.93834,8.95873,43.1891,64.006,0.0513538,0.257417,0.90572,0.137199,0.245858
56,253.837,1,9.94419,8.6359,43.1003,65.4985,0.052754,0.254579,0.886322,0.138104,0.219902
