parameter,value,se_lin,rse_lin
Cl_pop,5.23346901488746,0.29751964846916,5.68494143411982
beta_Cl_logtCLCRMLMIN,0.625388582288664,0.244744916997869,39.1348553410112
V1_pop,20.6097869819402,1.6650731572375,8.07904108226136
Q_pop,5.66605922286477,1.1600108823114,20.4729748963848
V2_pop,28.4126359354866,4.16671958236461,14.6650229560732
omega_Cl,0.209298015922818,0.0401837542191224,19.1993001185165
omega_V1,0.281160935841351,0.060825290417049,21.6336207001994
omega_Q,0.711580799296891,0.153885534089448,21.6258693659949
omega_V2,0.2341126264728,0.176682443189398,75.4689936426499
corr_V2_V1,0.998890845543981,0.557082708158781,55.7701285024193
a1,0.305558392249143,0.0224014476191404,7.33131479526668
a2,0.0617123513003317,0.00611220181919376,9.90434117385657
