standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.99761,0.00714286,-3.17139,0.00714286,-2.01109,0.00714286,-3.98899,0.00714286,All
-2.8509,0.0142857,-2.48681,0.0142857,-1.99273,0.0142857,-3.31727,0.0142857,All
-2.69707,0.0214286,-2.21109,0.0214286,-1.98999,0.0214286,-2.19564,0.0214286,All
-2.62098,0.0285714,-2.173,0.0285714,-1.98371,0.0285714,-2.18764,0.0285714,All
-2.60039,0.0357143,-2.15779,0.0357143,-1.92089,0.0357143,-2.00734,0.0357143,All
-2.6003,0.0428571,-2.14958,0.0428571,-1.86193,0.0428571,-2.00119,0.0428571,All
-2.54011,0.05,-2.1108,0.05,-1.5012,0.05,-1.87975,0.05,All
-2.49195,0.0571429,-2.06071,0.0571429,-1.4945,0.0571429,-1.87674,0.0571429,All
-2.43361,0.0642857,-2.05684,0.0642857,-1.48769,0.0642857,-1.80417,0.0642857,All
-2.30249,0.0714286,-2.05434,0.0714286,-1.43462,0.0714286,-1.62017,0.0714286,All
-2.00458,0.0785714,-1.96304,0.0785714,-1.36741,0.0785714,-1.59942,0.0785714,All
-1.80326,0.0857143,-1.91151,0.0857143,-1.34907,0.0857143,-1.59421,0.0857143,All
-1.74164,0.0928571,-1.87274,0.0928571,-1.32915,0.0928571,-1.52187,0.0928571,All
-1.61187,0.1,-1.85476,0.1,-1.29372,0.1,-1.48702,0.1,All
-1.56871,0.107143,-1.74489,0.107143,-1.27016,0.107143,-1.38569,0.107143,All
-1.55196,0.114286,-1.46105,0.114286,-1.26924,0.114286,-1.37915,0.114286,All
-1.52459,0.121429,-1.44617,0.121429,-1.25751,0.121429,-1.37342,0.121429,All
-1.50607,0.128571,-1.33037,0.128571,-1.24279,0.128571,-1.30247,0.128571,All
-1.48231,0.135714,-1.24341,0.135714,-1.22554,0.135714,-1.30215,0.135714,All
-1.37865,0.142857,-1.22278,0.142857,-1.17848,0.142857,-1.29109,0.142857,All
-0.656403,0.15,-1.19745,0.15,-1.14855,0.15,-1.28186,0.15,All
-0.519781,0.157143,-1.15165,0.157143,-1.13896,0.157143,-1.22016,0.157143,All
-0.514495,0.164286,-1.01366,0.164286,-1.10768,0.164286,-1.15243,0.164286,All
-0.468956,0.171429,-0.96571,0.171429,-1.056,0.171429,-1.13288,0.171429,All
-0.447652,0.178571,-0.92024,0.178571,-1.04991,0.178571,-1.07429,0.178571,All
-0.446136,0.185714,-0.913916,0.185714,-1.0494,0.185714,-1.06674,0.185714,All
-0.427035,0.192857,-0.911957,0.192857,-1.01575,0.192857,-1.03811,0.192857,All
