standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.65895,0.166901,-2.7202,0.0646589,-2.03853,0.0372708,-3.55036,0.014485,All
-2.33441,0.0715291,-2.2415,0.0484942,-1.6233,0.167719,-3.01615,0,All
-2.00987,0.023843,-1.7628,0.113153,-1.20806,0.260896,-2.48193,0.014485,All
-1.68532,0.166901,-1.2841,0.0808236,-0.792823,0.24226,-1.94772,0.11588,All
-1.36078,0.0476861,-0.805392,0.2748,-0.377587,0.428614,-1.4135,0.188305,All
-1.03624,0,-0.32669,0.30713,0.0376491,0.540427,-0.879286,0.246245,All
-0.711693,0.0715291,0.152013,0.355624,0.452885,0.298166,-0.345071,0.434549,All
-0.38715,0.286117,0.630716,0.678918,0.868122,0.204989,0.189144,0.376609,All
-0.062607,0.619919,1.10942,0.177812,1.28336,0.186354,0.723359,0.333154,All
0.261936,0.405332,1.58812,0.0808236,1.69859,0.186354,1.25757,0.217275,All
0.586479,0.739134,2.06682,0.0484942,2.11383,0.0372708,1.79179,0.02897,All
0.911022,0.739134,2.54553,0.0323294,2.52907,0.0186354,2.32601,0.0579399,All
