iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2,E_bias,sd_bias
1,5.45005,0.0554249,22.4892,0.123061,6.45448,0.409471,28.4794,0.2998,0.599114,0.813224
2,5.4415,0.0458918,22.3958,0.106471,6.37992,0.369422,27.9324,0.270673,0.607283,0.711976
3,5.4444,0.0442922,22.3723,0.10174,6.28482,0.353667,27.3638,0.265884,0.598825,0.701415
4,5.43997,0.0436978,22.2902,0.0988543,6.36451,0.339286,27.1565,0.255287,0.600645,0.670856
5,5.44042,0.0421606,22.2379,0.0970307,6.40189,0.326246,26.9556,0.248462,0.595733,0.671964
6,5.44295,0.0421276,22.231,0.0940958,6.43364,0.32037,26.8086,0.241367,0.584618,0.674556
7,5.44888,0.0426314,22.1742,0.0940781,6.44632,0.321035,26.5656,0.238503,0.592071,0.673105
8,5.44894,0.0421862,22.1425,0.0958347,6.43665,0.322154,26.3954,0.238918,0.586268,0.660868
9,5.45,0.0417357,22.1255,0.0971362,6.41075,0.329001,26.2969,0.241723,0.589872,0.649738
10,5.45036,0.0416155,22.1064,0.0981398,6.39479,0.331346,26.2715,0.250569,0.59175,0.64274
11,5.45485,0.0413508,22.1288,0.0984646,6.39006,0.330574,26.3038,0.253124,0.608837,0.651844
12,5.45928,0.0413013,22.1547,0.0984103,6.37103,0.3291,26.4159,0.254052,0.625397,0.662967
13,5.46178,0.0414766,22.174,0.0980021,6.35964,0.327595,26.4761,0.25291,0.633323,0.664499
14,5.46328,0.0413056,22.1826,0.0973395,6.35482,0.326479,26.5736,0.251592,0.641745,0.662752
15,5.46534,0.0414138,22.1672,0.0976383,6.37343,0.327928,26.6167,0.249989,0.647696,0.663361
16,5.46482,0.0414531,22.1476,0.0979982,6.38863,0.328148,26.5693,0.247709,0.651076,0.668157
17,5.46459,0.0416352,22.1496,0.0984905,6.38378,0.329301,26.5906,0.245935,0.647521,0.672089
18,5.46485,0.0417121,22.17,0.0992628,6.38637,0.333174,26.5916,0.243956,0.650073,0.672072
19,5.46728,0.041811,22.1823,0.0995228,6.39787,0.334621,26.5759,0.243399,0.654096,0.670813
20,5.46941,0.041659,22.1783,0.100273,6.39477,0.336869,26.6287,0.246194,0.662176,0.672823
21,5.46822,0.0416573,22.1951,0.100485,6.37405,0.33888,26.7226,0.247967,0.667532,0.676852
22,5.46798,0.041812,22.2148,0.100751,6.35813,0.34026,26.7756,0.248768,0.670368,0.679771
23,5.46802,0.0418023,22.2245,0.100778,6.34794,0.341227,26.8627,0.249614,0.675351,0.680261
24,5.46858,0.0418735,22.232,0.100916,6.33884,0.341046,26.941,0.249902,0.679598,0.683339
25,5.47066,0.0419234,22.2542,0.100871,6.3331,0.340698,27.0428,0.251364,0.688121,0.685273
26,5.47214,0.0418841,22.2834,0.101095,6.32298,0.340432,27.0974,0.25418,0.695068,0.684977
27,5.47217,0.0420841,22.2978,0.101223,6.30404,0.341619,27.1418,0.254471,0.700096,0.685115
28,5.47147,0.0422401,22.308,0.10158,6.29154,0.342029,27.1834,0.255328,0.697332,0.685046
29,5.47034,0.0425097,22.3148,0.101761,6.28798,0.342903,27.2284,0.256159,0.695787,0.685341
30,5.47014,0.0426504,22.327,0.101846,6.28651,0.343214,27.2822,0.256498,0.694271,0.688698
31,5.47031,0.0428688,22.3247,0.102338,6.29316,0.343192,27.296,0.255688,0.692195,0.689644
32,5.46988,0.0430968,22.324,0.10238,6.29502,0.342578,27.2782,0.255261,0.690867,0.690647
33,5.46969,0.0433514,22.3145,0.1025,6.2925,0.343123,27.2584,0.255279,0.692148,0.693418
34,5.46997,0.0434817,22.3096,0.102603,6.28856,0.343494,27.273,0.255611,0.693055,0.694561
35,5.47012,0.0434865,22.3079,0.102901,6.28789,0.344406,27.2847,0.255942,0.692329,0.694901
36,5.46917,0.0434771,22.3066,0.10276,6.29589,0.344846,27.2865,0.255995,0.687773,0.697426
37,5.46987,0.0434944,22.3073,0.102851,6.29979,0.345754,27.278,0.256105,0.687178,0.696778
38,5.47013,0.0433889,22.3126,0.102961,6.30291,0.345873,27.2791,0.256194,0.685267,0.694279
39,5.4705,0.04352,22.3085,0.103468,6.31227,0.347476,27.2572,0.255652,0.684272,0.695563
40,5.47058,0.0435234,22.2968,0.103669,6.31989,0.349042,27.239,0.255468,0.682067,0.696055
41,5.47104,0.0433775,22.2834,0.103851,6.32785,0.349505,27.1723,0.255413,0.682222,0.693574
42,5.47116,0.0432323,22.272,0.103987,6.32983,0.34957,27.1228,0.256896,0.682284,0.692806
43,5.47148,0.0431151,22.2709,0.104137,6.34333,0.349607,27.1395,0.257531,0.681719,0.693161
