trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_bias_vs_CLCRMLMIN_abscissa,trans_bias_vs_CLCRMLMIN_spline,trans_bias_vs_CLCRMLMIN_regression,trans_bias_vs_WTKG_abscissa,trans_bias_vs_WTKG_spline,trans_bias_vs_WTKG_regression,trans_bias_vs_logtCLCRMLMIN_abscissa,trans_bias_vs_logtCLCRMLMIN_spline,trans_bias_vs_logtCLCRMLMIN_regression,split
97.5,1.61971,1.56949,52,1.418,1.53993,-0.389961,1.61772,1.56758,97.5,1.82415,1.71429,52,1.82184,1.71081,-0.389961,1.87743,1.7159,97.5,3.0803,3.15611,52,3.04163,3.05848,-0.389961,3.09508,3.15379,97.5,3.24008,3.3663,52,3.11487,3.17286,-0.389961,3.26487,3.36592,97.5,7.26767,3.001,52,-1.46057,0.452867,-0.389961,8.3108,3.76804,All
98.5172,1.62081,1.57178,52.3232,1.44381,1.54424,-0.382795,1.61964,1.56968,98.5172,1.80998,1.7153,52.3232,1.80216,1.7124,-0.382795,1.85722,1.71678,98.5172,3.08336,3.15437,52.3232,3.04154,3.05906,-0.382795,3.09442,3.15226,98.5172,3.24097,3.36206,52.3232,3.11371,3.17285,-0.382795,3.26003,3.3621,98.5172,6.80885,2.9501,52.3232,-1.14593,0.460112,-0.382795,7.83526,3.70703,All
99.5343,1.62192,1.57408,52.6465,1.46961,1.54855,-0.375629,1.62156,1.57179,99.5343,1.79582,1.71631,52.6465,1.78247,1.71399,-0.375629,1.83701,1.71766,99.5343,3.08642,3.15262,52.6465,3.04145,3.05964,-0.375629,3.09376,3.15073,99.5343,3.24185,3.35781,52.6465,3.11254,3.17284,-0.375629,3.25518,3.35828,99.5343,6.35004,2.89921,52.6465,-0.831296,0.467357,-0.375629,7.35971,3.64602,All
100.552,1.62303,1.57637,52.9697,1.49542,1.55286,-0.368463,1.62347,1.5739,100.552,1.78166,1.71732,52.9697,1.76279,1.71558,-0.368463,1.8168,1.71854,100.552,3.08947,3.15088,52.9697,3.04137,3.06022,-0.368463,3.09311,3.14921,100.552,3.24273,3.35356,52.9697,3.11138,3.17283,-0.368463,3.25033,3.35446,100.552,5.89122,2.84831,52.9697,-0.516662,0.474602,-0.368463,6.88417,3.58501,All
101.569,1.62363,1.57867,53.2929,1.5155,1.55717,-0.361297,1.62539,1.576,101.569,1.77103,1.71833,53.2929,1.74903,1.71717,-0.361297,1.79659,1.71941,101.569,3.09219,3.14913,53.2929,3.042,3.0608,-0.361297,3.09245,3.14768,101.569,3.2441,3.34931,53.2929,3.11223,3.17281,-0.361297,3.24549,3.35064,101.569,5.5027,2.79742,53.2929,-0.279499,0.481848,-0.361297,6.40862,3.52399,All
102.586,1.62414,1.58096,53.6162,1.53498,1.56148,-0.354131,1.62674,1.57811,102.586,1.76101,1.71934,53.6162,1.73589,1.71876,-0.354131,1.78009,1.72029,102.586,3.09485,3.14739,53.6162,3.04271,3.06138,-0.354131,3.09227,3.14616,102.586,3.24555,3.34507,53.6162,3.11328,3.1728,-0.354131,3.24215,3.34682,102.586,5.1262,2.74652,53.6162,-0.0503504,0.489093,-0.354131,5.98928,3.46298,All
103.603,1.62465,1.58326,53.9394,1.55446,1.56579,-0.346966,1.62752,1.58022,103.603,1.75099,1.72035,53.9394,1.72274,1.72035,-0.346966,1.7674,1.72117,103.603,3.0975,3.14565,53.9394,3.04342,3.06196,-0.346966,3.0926,3.14463,103.603,3.247,3.34082,53.9394,3.11434,3.17279,-0.346966,3.24037,3.343,103.603,4.74969,2.69563,53.9394,0.178798,0.496338,-0.346966,5.62762,3.40197,All
104.62,1.62516,1.58556,54.2626,1.57394,1.5701,-0.3398,1.6283,1.58232,104.62,1.74097,1.72136,54.2626,1.7096,1.72194,-0.3398,1.7547,1.72205,104.62,3.10016,3.1439,54.2626,3.04413,3.06253,-0.3398,3.09292,3.14311,104.62,3.24845,3.33657,54.2626,3.11539,3.17278,-0.3398,3.23858,3.33918,104.62,4.37319,2.64473,54.2626,0.407947,0.503583,-0.3398,5.26597,3.34096,All
105.637,1.62567,1.58785,54.5859,1.59343,1.57441,-0.332634,1.62908,1.58443,105.637,1.73095,1.72237,54.5859,1.69645,1.72353,-0.332634,1.74201,1.72292,105.637,3.10281,3.14216,54.5859,3.04483,3.06311,-0.332634,3.09324,3.14158,105.637,3.24991,3.33232,54.5859,3.11644,3.17277,-0.332634,3.2368,3.33536,105.637,3.99668,2.59384,54.5859,0.637096,0.510829,-0.332634,4.90432,3.27995,All
106.655,1.62618,1.59015,54.9091,1.61291,1.57872,-0.325468,1.62986,1.58654,106.655,1.72092,1.72337,54.9091,1.68331,1.72512,-0.325468,1.72932,1.7238,106.655,3.10547,3.14041,54.9091,3.04554,3.06369,-0.325468,3.09356,3.14005,106.655,3.25136,3.32808,54.9091,3.1175,3.17276,-0.325468,3.23502,3.33154,106.655,3.62017,2.54294,54.9091,0.866244,0.518074,-0.325468,4.54267,3.21894,All
