Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25,Run_26,Run_27,Run_28,Run_29,Run_30
Cl_pop,10.1908,10.19,9.62091,10.1537,10.1753,10.206,10.2128,10.203,8.68158,10.17,10.1803,10.1334,10.1554,10.1903,10.2156,10.186,10.1961,10.1828,10.0904,10.1892,10.1792,10.2016,10.1917,10.1753,10.2108,10.1779,10.1945,10.2018,10.1961,10.1919
Q_pop,10.0942,9.89456,9.63535,12.5312,9.83804,10.2588,9.85729,9.68321,8.84757,9.37069,9.86229,12.4682,13.2832,9.5325,9.81726,9.86034,9.58763,9.99693,11.9224,9.80012,9.28828,9.64621,10.2241,9.51029,9.96886,9.60878,10.1293,9.7272,13.4052,9.55486
V1_pop,43.4745,43.6949,46.3835,43.5933,43.3556,43.2387,43.6306,44.3088,48.0285,44.3121,43.395,44.0639,43.1642,44.3,44.2268,43.4324,44.1437,43.8552,45.0265,43.6956,44.7562,44.2571,43.1321,43.9165,43.5727,44.0718,43.5683,44.0094,43.2763,44.0234
V2_pop,54.2935,52.6949,78.818,45.4031,54.4695,48.2697,52.1593,56.4513,193.537,53.4812,56.9443,40.0559,41.5671,55.4273,53.0907,52.0572,55.6524,53.1235,41.4468,54.4204,59.9003,56.9879,54.8205,53.5343,54.6285,57.3524,57.4361,55.6444,40.3257,57.4116
b,0.0935852,0.0923387,0.0952162,0.0943532,0.0923928,0.0944654,0.0928952,0.0940818,0.0980287,0.0960063,0.0922994,0.0955867,0.0943012,0.094391,0.0946886,0.0932885,0.0925518,0.0941128,0.0937947,0.0935955,0.0950702,0.0931023,0.0917137,0.0929991,0.0930163,0.0920247,0.0945937,0.0929025,0.0951483,0.0931721
omega_Cl,0.262753,0.262751,0.262723,0.265419,0.261508,0.260712,0.260956,0.264638,0.272099,0.260727,0.263036,0.256565,0.25886,0.260278,0.260082,0.264052,0.262341,0.263204,0.260537,0.261593,0.264148,0.263481,0.262316,0.263063,0.263616,0.265469,0.262508,0.264743,0.258457,0.261986
omega_Q,0.960746,0.969021,0.502767,0.700727,0.993914,0.996265,0.970237,0.936691,0.435442,0.992789,0.951729,0.376486,0.537503,0.936506,0.948304,0.972148,0.972902,0.976398,0.212265,0.951503,0.946753,0.989007,0.990069,0.985789,0.995796,1.01056,0.950804,0.994156,0.490854,0.952055
omega_V1,0.0710131,0.0857891,0.14586,0.103231,0.0696721,0.0569328,0.0751775,0.0731044,0.145118,0.0332218,0.0802753,0.160671,0.159698,0.0602792,0.059948,0.0757972,0.101405,0.0576232,0.199397,0.0674863,0.055556,0.067592,0.058332,0.0727135,0.0753134,0.0706883,0.0672825,0.0668081,0.149086,0.0794426
omega_V2,0.134552,0.153389,1.09627,0.822643,0.092639,0.0927677,0.129353,0.121525,0.867624,0.100472,0.109758,0.953957,0.881152,0.112225,0.150101,0.181679,0.16627,0.118818,1.06801,0.101097,0.1598,0.0947772,0.192587,0.0942631,0.140237,0.118239,0.193156,0.116403,0.844022,0.149132
-2LL,427.834,427.715,440.258,437.716,427.878,427.652,427.536,427.665,439.972,427.682,428.23,437.335,438.805,427.544,427.483,427.856,428.156,427.5,435.562,427.617,428.305,427.697,428.451,427.466,427.885,427.962,428.542,427.696,438.183,428.046
