standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.8377,0.0480433,-2.31693,0.0335013,-2.80907,0.0143847,-2.32979,0.0164885,All
-2.68352,0.220999,-2.14005,0.0586273,-2.60309,0.0503463,-2.15009,0.0494655,All
-2.52934,0.182564,-1.96316,0.12563,-2.39711,0.0503463,-1.97039,0.181373,All
-2.37516,0.028826,-1.78628,0.142381,-2.19113,0.043154,-1.79069,0.098931,All
-2.22098,0,-1.60939,0.226134,-1.98515,0.115077,-1.61099,0.206106,All
-2.0668,0,-1.4325,0.201008,-1.77917,0.115077,-1.43129,0.21435,All
-1.91261,0.028826,-1.25562,0.192633,-1.57319,0.165424,-1.2516,0.189618,All
-1.75843,0.153738,-1.07873,0.159131,-1.36721,0.172616,-1.0719,0.173129,All
-1.60425,0.259434,-0.901843,0.0921286,-1.16123,0.151039,-0.892198,0.0906867,All
-1.45007,0.0384346,-0.724957,0.100504,-0.955248,0.172616,-0.712499,0.107175,All
-1.29589,0,-0.54807,0.326638,-0.749267,0.208578,-0.532801,0.346258,All
-1.1417,0,-0.371184,0.326638,-0.543286,0.165424,-0.353102,0.354503,All
-0.987521,0,-0.194297,0.527646,-0.337305,0.345232,-0.173403,0.478166,All
-0.833339,0,-0.0174109,0.485769,-0.131324,0.345232,0.00629591,0.478166,All
-0.679157,0.0480433,0.159476,0.477394,0.0746564,0.374001,0.185995,0.511143,All
-0.524975,0.269042,0.336362,0.51927,0.280637,0.287693,0.365694,0.519388,All
-0.370793,0.307477,0.513248,0.561147,0.486618,0.503463,0.545392,0.519388,All
-0.216611,0.49965,0.690135,0.37689,0.692599,0.40277,0.725091,0.379235,All
-0.0624294,0.653389,0.867021,0.309887,0.89858,0.366809,0.90479,0.296793,All
0.0917525,0.480433,1.04391,0.167507,1.10456,0.381193,1.08449,0.140152,All
0.245935,0.220999,1.22079,0.0921286,1.31054,0.194193,1.26419,0.0824425,All
0.400116,0.470824,1.39768,0.0921286,1.51652,0.201385,1.44389,0.107175,All
0.554298,0.768692,1.57457,0.117255,1.7225,0.107885,1.62359,0.098931,All
0.70848,0.64378,1.75145,0.0921286,1.92848,0.043154,1.80328,0.0741982,All
0.862662,0.720649,1.92834,0.0335013,2.13446,0.0287693,1.98298,0.032977,All
1.01684,0.586128,2.10523,0.00837533,2.34045,0.0143847,2.16268,0.00824425,All
1.17103,0.0960866,2.28211,0.0167507,2.54643,0.0143847,2.34238,0.0164885,All
