iteration,convergenceIndicator,phase,Cl_pop,Q2_pop,Q3_pop,V1_pop,V2_pop,V3_pop,a1,a2,f_pop,omega_Cl,omega_Q2,omega_Q3,omega_V1,omega_V2,omega_V3,omega_f
1,1264.09,1,10.2441,10.7153,0.740719,42.7805,56.1663,1.32241,3,3,0.8,1.5,1,1,1.5,1.5,1,1.5
2,1230.11,1,9.55027,11.9443,0.673398,42.6591,64.846,1.35491,2.99946,2.95353,0.944395,1.34164,0.992972,0.920321,1.34164,1.40851,0.894427,1.34164
3,1193.87,1,9.07748,13.1307,0.56968,42.7126,78.0824,1.57883,2.7621,2.77197,0.912733,1.2,1.00328,1.01282,1.2,1.32042,0.821252,1.2
4,1166.45,1,9.19537,15.1323,0.535828,43.3661,76.6842,1.38353,2.58483,2.68854,0.922723,1.07331,1.01421,1.00376,1.07331,1.26917,0.840919,1.07331
5,1128.74,1,9.33759,13.6343,0.428663,42.0613,85.4819,1.52652,2.3425,2.68644,0.911982,0.96,0.90714,0.979491,0.96,1.17167,0.755834,0.96
6,1113.52,1,9.2935,14.2119,0.517457,41.8384,87.0156,1.61273,2.23198,2.71921,0.916682,0.85865,0.948041,0.920896,0.85865,1.12996,0.729146,0.85865
7,1085.21,1,9.30486,15.0452,0.533256,41.347,83.8181,1.88331,2.12566,2.66246,0.911295,0.768,0.924121,0.823674,0.768,1.13446,0.661064,0.768
8,1074.77,1,9.23378,12.8365,0.520008,40.9232,82.6256,1.74772,2.09591,2.64446,0.909602,0.68692,0.952729,0.766153,0.68692,1.20986,0.637618,0.68692
9,1052.96,1,9.42126,14.8933,0.458416,40.5417,80.2259,1.80377,1.92661,2.63553,0.907501,0.6144,0.994372,0.825886,0.6144,1.13555,0.677691,0.6144
10,1038.6,1,9.4859,14.9123,0.504801,41.4656,85.9727,1.93155,1.92701,2.62146,0.912616,0.549536,0.889394,0.84173,0.549536,1.17891,0.611333,0.549536
11,1041.35,1,9.40325,15.6446,0.550379,40.795,76.9876,1.97937,2.01697,2.59917,0.915883,0.49152,0.88045,0.877441,0.49152,1.12306,0.650742,0.49152
12,1040.23,1,9.34454,15.4536,0.543661,41.1092,79.6707,1.75843,2.0684,2.60409,0.917413,0.439629,0.873014,0.915841,0.439629,1.09706,0.608737,0.439629
13,1028.07,1,9.42276,15.9399,0.527249,40.7711,73.7099,1.86626,1.98507,2.64895,0.91012,0.393216,0.87247,0.914647,0.393216,1.15124,0.609864,0.393216
14,1017.94,1,9.50528,16.008,0.499349,40.8264,65.0042,1.80843,1.94678,2.61099,0.911173,0.351703,0.870065,0.935057,0.351703,1.11749,0.626342,0.351703
15,1019.13,1,9.5137,15.9316,0.457118,41.1211,59.0309,2.0688,1.97355,2.612,0.901873,0.314573,0.920353,0.983717,0.314573,1.16023,0.601561,0.314573
16,1013.73,1,9.53451,15.4674,0.405617,43.2364,60.4794,2.08735,1.94167,2.6257,0.896461,0.297571,0.823189,1.08944,0.2814,1.16462,0.69557,0.281362
17,1006.48,1,9.53901,15.5644,0.424471,42.7662,57.964,1.92211,1.98656,2.59978,0.90512,0.301363,0.736283,1.00734,0.251691,1.11679,0.655572,0.251658
18,1010.69,1,9.61056,16.0482,0.411955,44.102,57.9495,1.87567,2.02356,2.59339,0.902698,0.304314,0.721848,1.17,0.242883,1.149,0.592701,0.22509
19,1015.47,1,9.61567,15.4549,0.527628,44.6713,68.6649,1.77122,2.06893,2.56173,0.921321,0.305496,0.791094,1.28489,0.245847,1.03947,0.634309,0.207558
20,1007.56,1,9.60383,14.5417,0.586063,42.9408,65.8679,1.94536,2.09366,2.51524,0.913911,0.312748,0.707576,1.33702,0.219892,1.04613,0.611514,0.217182
21,1003.75,1,9.62209,14.2975,0.703722,42.565,62.9286,2.22398,2.03016,2.59643,0.910024,0.312192,0.705796,1.40428,0.196678,1.02493,0.559024,0.206968
22,992.12,1,9.6249,14.445,0.703448,42.8885,63.5386,2.19637,1.94685,2.67001,0.895767,0.287092,0.657065,1.25602,0.21696,0.996721,0.567381,0.209518
23,992.043,1,9.63925,15.0007,0.619754,43.3761,57.8234,2.08525,1.99216,2.59966,0.898698,0.27892,0.621355,1.24873,0.213867,0.981524,0.538922,0.216615
24,986.524,1,9.63102,16.4288,0.560661,43.0512,65.6508,2.07834,1.99335,2.57955,0.900719,0.273631,0.612386,1.17081,0.224152,0.935418,0.554614,0.200481
25,979.537,1,9.64198,15.19,0.583108,44.1682,63.3191,1.95219,1.99325,2.50998,0.90739,0.268924,0.595569,1.20577,0.212792,0.924152,0.536069,0.211218
26,977.121,1,9.5504,13.9678,0.473325,44.2182,70.575,1.90973,2.00571,2.44445,0.909085,0.271739,0.621082,1.14709,0.219763,0.947905,0.517877,0.216961
27,970.922,1,9.65966,12.7365,0.52106,44.6988,67.4985,1.97475,1.94811,2.43712,0.903973,0.270544,0.644137,1.14568,0.21195,0.925401,0.527101,0.219306
28,967.717,1,9.6742,11.9623,0.455809,45.2991,63.4968,2.10115,1.93603,2.46289,0.898017,0.272717,0.663422,1.10378,0.204162,0.851352,0.524225,0.21543
29,968.816,1,9.71142,11.9249,0.367714,45.4368,68.4153,2.02775,1.87864,2.54554,0.898136,0.278694,0.708708,1.12127,0.196295,0.817968,0.54269,0.207082
30,966.407,1,9.7592,12.0908,0.345778,46.0089,68.3553,2.07694,1.91863,2.43881,0.907226,0.265829,0.738868,1.19391,0.199796,0.812257,0.547391,0.204361
31,972.179,1,9.77775,12.3296,0.296419,45.9133,74.9557,1.96492,1.95971,2.49016,0.896822,0.270629,0.749416,1.23028,0.178703,0.812732,0.550912,0.205075
32,966.099,1,9.71402,12.3168,0.285962,45.7971,70.3163,2.12554,1.95057,2.42006,0.900221,0.267512,0.762473,1.25555,0.186092,0.843619,0.49275,0.208312
33,976.341,1,9.65071,12.1512,0.284994,46.1423,73.5412,2.23797,2.04183,2.43139,0.913675,0.265425,0.780033,1.32996,0.166446,0.822374,0.489926,0.222188
34,970.873,1,9.85594,12.6553,0.253643,44.9545,69.9446,2.28685,1.95104,2.40931,0.915554,0.275592,0.816694,1.33325,0.187966,0.775112,0.498546,0.222007
35,967.164,1,9.74163,12.8049,0.220317,45.4396,75.6879,2.39091,1.88997,2.46057,0.91136,0.269255,0.73171,1.46719,0.211218,0.769621,0.445914,0.21916
36,966.736,1,9.81134,12.733,0.205061,45.6738,71.9511,2.2682,1.88034,2.49759,0.907494,0.268618,0.714471,1.53941,0.203654,0.762675,0.44229,0.206969
37,974.818,1,9.76878,13.0923,0.24968,44.9258,75.9691,2.34361,1.90573,2.47526,0.908725,0.272199,0.671468,1.86029,0.212811,0.774019,0.469047,0.207023
