Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
4.96396,0.0798435,18.2797,0.00113252,3.26523,0.0425921,19.1632,0.00360427,All
5.3165,0.117664,20.8959,0.000566261,5.80439,0.0484266,26.5618,0.00961139,All
5.66905,0.0126069,23.5122,0.0124577,8.34354,0.0525108,33.9604,0.0128152,All
6.02159,0.00840458,26.1284,0.0220842,10.8827,0.0478432,41.359,0.0220261,All
6.37413,0.0378206,28.7447,0.0169878,13.4219,0.0490101,48.7577,0.0234278,All
6.72667,0.0966527,31.3609,0.0147228,15.961,0.050177,56.1563,0.0186221,All
7.07921,0.0672366,33.9772,0.0283131,18.5002,0.0344238,63.5549,0.0136161,All
7.43175,0,36.5934,0.0351082,21.0393,0.0221712,70.9536,0.0120142,All
7.78429,0,39.2097,0.0322769,23.5785,0.0163367,78.3522,0.00680807,All
8.13684,0,41.8259,0.039072,26.1177,0.00641799,85.7508,0.00580688,All
8.48938,0.00840458,44.4422,0.0396383,28.6568,0.0110856,93.1495,0.00360427,All
8.84192,0.0504275,47.0584,0.0402045,31.196,0.0087518,100.548,0.00300356,All
9.19446,0.134473,49.6747,0.0413371,33.7351,0.00350072,107.947,0.00100119,All
9.547,0.134473,52.2909,0.0243492,36.2743,0.00175036,115.345,0.00100119,All
9.89954,0.319374,54.9072,0.0141565,38.8135,0.00408417,122.744,0.00100119,All
10.2521,0.20171,57.5234,0.00906018,41.3526,0.00291727,130.143,0.000400475,All
10.6046,0.155485,60.1397,0.00339757,43.8918,0.000583453,137.541,0.000600712,All
10.9572,0.0756412,62.7559,0.00226504,46.4309,0.00116691,144.94,0.000200237,All
11.3097,0.163889,65.3722,0.00339757,48.9701,0,152.339,0.000200237,All
11.6623,0.226924,67.9884,0.00339757,51.5093,0.00175036,159.737,0.000400475,All
12.0148,0.226924,70.6047,0.00339757,54.0484,0,167.136,0,All
12.3673,0.176496,73.221,0.00226504,56.5876,0.000583453,174.534,0,All
12.7199,0.231126,75.8372,0.00396383,59.1267,0.000583453,181.933,0.000200237,All
13.0724,0.222721,78.4535,0.00113252,61.6659,0.000583453,189.332,0,All
13.425,0.155485,81.0697,0.000566261,64.2051,0,196.73,0,All
13.7775,0.0336183,83.686,0,66.7442,0,204.129,0,All
14.13,0.00420229,86.3022,0.00113252,69.2834,0.00116691,211.528,0.000200237,All
