standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.59586,0.026621,-3.43608,0.0123172,-2.50984,0.0150827,-2.70748,0.0133498,All
-2.4289,0.0976104,-3.19552,0,-2.31339,0.0150827,-2.48553,0,All
-2.26195,0.150852,-2.95497,0,-2.11694,0.0829547,-2.26358,0.0333744,All
-2.095,0.115358,-2.71441,0.00615861,-1.9205,0.0904961,-2.04163,0.0734236,All
-1.92805,0.053242,-2.47386,0.0123172,-1.72405,0.120661,-1.81969,0.0800985,All
-1.76109,0.0177473,-2.2333,0.0985378,-1.5276,0.196075,-1.59774,0.106798,All
-1.59414,0.00887367,-1.99275,0.153965,-1.33115,0.248864,-1.37579,0.146847,All
-1.42719,0.079863,-1.7522,0.129331,-1.1347,0.173451,-1.15384,0.213596,All
-1.26024,0.310579,-1.51164,0.123172,-0.938256,0.158368,-0.931889,0.160197,All
-1.09328,0.292831,-1.27109,0.110855,-0.741808,0.150827,-0.70994,0.327069,All
-0.926331,0.1686,-1.03053,0.153965,-0.54536,0.263947,-0.487991,0.480591,All
-0.759379,0.00887367,-0.789978,0.240186,-0.348912,0.377067,-0.266043,0.407167,All
-0.592426,0,-0.549423,0.332565,-0.152464,0.316736,-0.0440936,0.574039,All
-0.425474,0.0976104,-0.308869,0.307931,0.043984,0.369526,0.177855,0.413842,All
-0.258522,0.239589,-0.0683147,0.369517,0.240432,0.475104,0.399804,0.413842,All
-0.091569,0.789757,0.17224,0.437262,0.43688,0.550518,0.621753,0.380468,All
0.0753834,1.16245,0.412794,0.480372,0.633328,0.437398,0.843702,0.233621,All
0.242336,0.638904,0.653348,0.523482,0.829776,0.346902,1.06565,0.220271,All
0.409288,0.310579,0.893903,0.314089,1.02622,0.286571,1.2876,0.146847,All
0.576241,0.26621,1.13446,0.190917,1.22267,0.135744,1.50955,0.0867734,All
0.743193,0.248463,1.37501,0.0739034,1.41912,0.203616,1.7315,0.0600739,All
0.910146,0.177473,1.61557,0.0307931,1.61557,0.0904961,1.95345,0.0333744,All
1.0771,0.0976104,1.85612,0.0677448,1.81202,0.0829547,2.1754,0.0333744,All
1.24405,0.1686,2.09667,0.0492689,2.00846,0.0301654,2.39734,0.0133498,All
1.411,0.230715,2.33723,0.0677448,2.20491,0.022624,2.61929,0.00667488,All
1.57796,0.301705,2.57778,0.0123172,2.40136,0.0150827,2.84124,0.00667488,All
1.74491,0.150852,2.81834,0.0123172,2.59781,0.022624,3.06319,0.00667488,All
